0B;8B;16B;32B;64B;128B;256B;512B;1024B
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;125;165;244;404;720;1356;2623
86;106;125;165;245;402;720;1355;2624
86;106;125;165;244;404;720;1356;2623
86;106;125;166;244;402;720;1354;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1355;2624
87;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;166;244;402;720;1354;2624
86;106;125;165;244;404;720;1354;2623
86;106;125;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1355;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;244;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1354;2624
86;106;127;165;244;402;720;1356;2624
86;106;125;165;245;404;719;1355;2624
86;106;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1355;2624
86;107;126;165;244;402;720;1356;2623
86;106;125;165;245;403;719;1354;2624
