0B;8B;16B;32B;64B;128B;256B;512B;1024B
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;136;203;336;601;1133;2193
70;87;103;137;204;335;600;1132;2193
70;87;103;137;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;104;136;203;335;601;1133;2193
70;87;103;136;204;335;600;1132;2193
70;88;103;136;203;335;601;1132;2193
70;87;103;136;204;336;600;1132;2193
70;87;105;136;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;136;203;336;600;1132;2193
70;87;105;137;203;335;601;1132;2194
70;87;103;137;203;336;600;1132;2193
70;87;103;137;203;335;601;1132;2194
70;87;103;136;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2194
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;601;1132;2193
70;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
71;87;103;137;203;336;601;1132;2193
70;87;103;138;203;335;600;1132;2193
