0B;8B;16B;32B;64B;128B;256B;512B;1024B
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
136;169;201;268;399;661;1189;2242;4349
137;169;201;267;400;662;1190;2242;4348
136;169;203;267;398;662;1189;2242;4349
136;169;201;267;400;662;1189;2242;4348
136;170;202;267;398;662;1189;2243;4348
