0B;8B;16B;32B;64B;128B;256B;512B;1024B
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
144;175;206;269;393;642;1141;2139;4134
145;175;206;268;394;643;1143;2139;4134
144;175;207;268;393;643;1141;2139;4135
144;175;206;268;394;643;1142;2139;4134
144;176;206;268;393;643;1141;2140;4134
