0B;8B;16B;32B;64B;128B;256B;512B;1024B
2;2;2;2;2;4;8;14;26
1;1;2;3;3;4;7;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;3;5;8;13;27
2;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;5;7;14;27
1;1;1;2;2;5;8;13;27
2;2;2;2;3;5;8;13;27
1;1;1;2;2;5;8;13;27
2;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;3;5;8;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;3;5;8;13;27
2;2;2;2;2;4;8;14;26
1;1;2;1;3;4;7;14;26
1;1;2;2;3;5;7;22;26
1;1;1;2;3;5;7;14;27
1;2;1;2;2;5;8;13;26
1;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;4;7;14;36
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;2;5;8;13;27
2;1;1;2;3;5;8;13;26
1;2;2;2;3;4;7;14;26
1;1;1;2;3;4;8;13;27
1;2;2;2;3;4;7;14;26
1;1;1;2;2;5;8;14;26
1;1;2;2;3;4;7;14;27
2;2;2;2;3;4;7;14;26
1;1;1;2;3;5;17;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;2;4;8;23;27
2;2;1;2;2;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
2;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;35
1;1;2;2;3;4;7;14;26
1;1;3;2;3;5;8;13;27
1;2;2;1;3;4;7;14;27
2;2;2;2;3;4;7;14;37
1;2;1;2;3;5;8;13;26
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;1;3;4;7;14;26
1;1;1;2;3;5;7;14;36
1;1;2;2;3;4;7;14;26
1;1;1;2;2;5;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;26
1;2;2;1;3;4;7;14;27
1;1;2;2;3;5;7;14;27
2;2;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
1;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;5;7;14;27
2;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;2;2;3;4;16;14;27
1;1;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;3;5;8;22;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;27
2;2;1;2;3;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;2;2;3;4;7;14;35
2;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;5;8;13;26
1;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;35
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;26
1;1;1;2;3;5;7;14;27
1;1;1;2;3;5;8;13;27
1;1;1;2;2;4;8;14;27
2;2;10;2;2;5;8;13;27
1;2;1;2;2;4;8;14;27
2;2;2;2;2;4;8;14;27
2;2;2;2;2;4;8;14;27
2;2;2;2;3;4;8;14;27
2;2;2;2;3;5;8;14;26
1;1;2;1;3;4;7;14;27
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;14;27
1;1;1;2;2;5;8;14;26
1;1;2;2;25;5;8;13;26
1;1;2;2;3;4;7;14;26
1;1;1;3;2;5;8;13;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;1;3;4;7;14;26
1;1;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;2;5;8;13;26
1;1;2;1;3;4;7;14;26
1;1;1;10;3;4;7;14;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;1;2;2;4;7;14;27
1;1;1;2;3;5;8;14;27
1;1;1;2;2;5;8;13;27
1;2;1;2;2;5;8;13;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;23;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;36
1;1;2;2;3;4;7;14;26
1;1;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;14;26
1;1;2;2;3;4;7;14;35
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
2;2;11;2;3;5;7;14;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;7;35;26
2;11;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;5;8;14;26
1;2;2;2;3;4;8;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;12;5;8;14;27
1;1;1;2;2;4;8;14;27
2;2;2;2;3;4;8;14;26
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;16;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
1;1;1;2;2;5;8;22;27
1;1;1;2;3;5;7;14;27
1;1;1;2;2;4;8;14;27
1;2;1;2;2;4;8;14;27
2;2;2;2;3;4;8;14;27
1;2;2;2;3;4;8;14;35
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;26
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;35
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;27
2;2;2;2;2;5;8;13;26
1;1;2;1;3;4;7;14;26
1;1;1;2;3;5;8;13;26
1;2;2;1;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;27
2;2;2;2;3;4;8;14;27
1;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;47
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;7;14;31
2;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
1;2;1;2;2;5;8;13;26
1;2;2;2;3;4;8;14;26
1;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;2;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;5;8;14;27
1;2;1;2;2;5;8;13;26
1;1;2;2;3;4;16;14;26
1;1;2;1;3;4;7;14;26
1;1;1;2;3;5;7;14;27
2;2;1;2;2;5;8;13;26
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;7;22;27
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;35
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;26
1;2;2;1;3;4;7;14;26
1;2;2;1;3;4;7;14;35
1;2;2;2;3;4;7;14;26
1;2;2;2;2;4;8;14;27
1;2;2;2;3;4;8;14;27
2;2;2;2;3;4;8;14;27
2;2;2;2;3;4;8;14;26

