0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;218;435;265;529;311;622
101;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
102;199;126;250;172;343;220;435;265;528;311;622
101;199;126;250;172;343;220;436;265;528;311;622
101;200;126;250;172;342;220;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;126;250;172;342;219;436;265;528;311;622
101;200;127;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;622
101;199;128;250;172;342;219;436;266;528;311;621
101;199;128;250;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;436;266;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;172;342;219;435;265;529;311;621
101;199;126;251;173;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;251;174;342;219;435;265;529;312;621
101;199;126;250;174;342;219;435;265;529;312;622
101;199;126;250;174;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
101;199;126;250;172;343;219;435;265;529;312;622
