0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
40;81;57;115;81;160;107;215;134;271;162;325
40;81;57;115;80;161;107;215;134;270;161;326
40;81;57;115;80;160;107;215;134;270;161;325
40;83;57;115;80;160;107;216;135;270;161;325
40;81;57;115;80;160;107;215;134;271;161;325
