0B;8B;16B;32B;64B;128B;256B;512B;1024B
2;1;2;2;4;6;10;18;35
1;2;3;3;4;6;10;19;35
2;2;2;2;3;6;10;19;36
2;1;2;2;4;5;10;18;35
1;10;2;2;4;6;10;18;35
1;2;2;3;4;6;10;18;35
2;2;2;2;3;6;10;19;36
2;1;2;2;4;5;10;18;35
1;2;2;3;3;6;19;18;35
1;2;2;3;4;6;10;19;36
2;1;2;2;4;6;10;18;35
1;2;2;3;4;6;10;18;35
2;2;2;2;3;6;10;19;35
1;2;2;3;3;6;10;18;35
1;2;2;3;4;5;10;18;35
2;2;2;2;3;6;9;19;36
2;1;2;2;4;6;10;18;43
2;1;2;2;4;5;10;18;35
1;2;2;3;3;6;10;18;35
1;2;2;3;3;6;28;19;36
1;1;2;2;4;5;10;18;35
1;11;2;2;4;5;10;18;35
2;2;2;3;3;6;11;19;36
2;1;2;2;4;6;10;18;35
1;2;2;3;4;6;10;19;36
2;1;2;2;4;6;10;18;35
1;2;2;3;3;6;11;19;36
2;1;2;2;4;6;10;18;35
1;2;1;3;3;6;9;19;35
2;2;2;2;4;6;10;19;35
1;2;2;3;4;5;10;18;35
2;2;2;2;3;6;10;27;35
1;2;2;3;3;6;10;19;35
2;1;2;2;4;6;10;18;35
1;2;2;3;3;6;10;19;35
2;2;2;2;3;6;10;18;43
2;2;2;2;4;6;10;18;35
1;2;2;3;4;6;10;18;35
2;2;2;2;3;6;10;18;35
1;2;2;2;4;5;10;18;35
1;2;2;3;3;6;10;19;36
2;1;2;2;4;5;10;18;35
1;2;2;3;3;6;10;19;36
2;2;2;2;4;6;10;18;35
1;2;2;3;4;5;10;19;35
1;2;2;3;4;5;10;18;35
1;2;2;3;3;6;10;19;36
2;1;2;2;4;6;10;18;35
1;2;2;3;4;5;10;18;44
2;2;2;3;4;5;10;18;35
1;2;2;3;3;6;10;19;35
2;2;2;2;4;6;10;18;35
1;2;2;3;4;5;10;18;35
1;2;2;2;4;6;10;18;35
1;2;2;2;3;6;10;19;36
2;1;2;2;4;6;11;20;38
2;1;2;3;4;6;11;19;37
2;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;37
1;2;3;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;6;11;20;38
2;1;2;3;4;14;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;3;3;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;20;37
1;2;3;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;4;6;10;19;37
2;2;2;2;4;6;10;28;37
1;2;2;3;4;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;44
2;1;2;3;4;6;11;20;38
2;1;2;2;4;6;11;20;37
2;1;2;3;4;6;11;20;37
2;1;2;3;4;6;11;19;45
1;2;2;2;4;6;10;20;37
2;2;2;2;4;6;10;20;38
2;2;2;2;4;6;11;20;38
2;2;2;2;4;6;11;20;38
2;1;10;3;3;6;32;20;38
2;1;2;2;4;6;11;20;37
2;1;2;2;4;6;11;20;37
2;1;2;3;4;6;11;19;37
1;2;3;3;4;6;10;20;37
2;2;2;2;4;6;10;20;47
1;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;5;11;20;38
2;2;2;2;4;6;11;20;37
2;1;2;2;4;6;11;20;38
2;1;2;2;4;5;11;20;37
2;1;2;3;4;6;11;20;37
2;1;2;3;4;6;11;19;37
1;2;2;3;4;6;10;20;37
2;2;2;2;4;6;10;20;37
2;2;2;2;4;6;10;20;38
2;1;2;2;4;5;11;20;38
2;1;2;3;4;6;19;19;37
2;1;2;2;4;6;11;20;37
2;1;2;2;4;6;11;20;37
1;2;2;3;4;6;11;19;37
1;2;2;3;4;6;11;27;37
2;2;2;2;4;6;10;20;37
2;2;2;2;4;6;10;20;37
2;2;2;2;4;6;10;20;38
2;2;2;2;4;6;11;20;44
2;1;2;3;4;6;11;20;38
2;1;2;2;4;6;11;20;37
2;1;2;2;4;6;11;20;37
2;1;2;2;4;6;11;20;45
2;2;2;2;4;5;11;20;38
2;1;2;2;4;6;11;19;37
1;1;2;3;4;25;11;19;37
1;2;2;3;3;6;10;19;46
2;1;2;3;4;6;11;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;4;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;12;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;4;6;10;19;37
2;2;2;2;4;6;19;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;4;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;28;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;37
1;2;3;3;3;6;10;19;45
2;1;2;2;4;6;11;19;37
1;2;2;3;4;6;11;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;45
1;2;2;3;4;6;10;20;37
2;2;2;2;4;6;11;20;38
2;1;2;2;4;6;11;20;37
2;1;2;3;4;6;11;19;37
9;2;2;2;4;6;11;20;38
2;1;2;2;4;6;11;20;37
2;1;2;3;4;6;32;19;37
2;2;2;2;4;6;10;20;38
2;2;2;3;3;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;20;37
2;2;2;2;4;5;10;18;35
1;2;2;3;3;6;9;19;36
1;1;2;2;4;6;10;19;35
1;1;2;3;4;6;11;19;37
1;2;2;3;4;6;11;19;37
1;2;2;3;4;6;11;19;37
1;2;2;3;13;5;10;20;37
2;2;2;2;4;5;11;20;38
2;2;2;2;4;5;11;20;38
2;2;2;2;4;6;11;20;38
2;2;2;2;4;6;18;19;35
1;2;2;3;4;6;11;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;19;37
1;2;2;3;4;6;10;27;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;19;37
1;2;2;3;3;6;10;19;45
2;1;2;3;4;6;11;19;37
1;2;2;3;4;6;11;19;37
1;2;2;3;4;6;11;20;37
2;1;2;3;4;6;11;19;45
1;2;2;3;3;6;10;18;35
2;2;2;3;3;6;10;19;37
2;2;2;2;4;6;10;20;37
2;2;2;2;4;6;10;19;37
2;2;10;3;4;6;35;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;4;6;11;19;37
1;1;2;3;4;6;11;19;37
