0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
129;262;183;357;252;520;341;700;433;871;515;1057
130;261;178;364;252;514;340;698;428;879;520;1057
132;268;176;359;261;515;347;693;434;879;514;1058
129;263;176;357;252;520;341;700;433;871;515;1058
129;262;176;365;252;515;339;700;428;880;520;1058
132;261;183;359;252;520;339;693;433;879;514;1057
136;261;176;365;252;512;339;698;428;878;520;1057
129;262;184;359;252;514;339;693;433;878;514;1058
136;263;176;357;252;520;342;700;433;879;515;1058
129;261;176;365;252;512;340;698;428;879;520;1057
131;261;176;359;252;514;339;693;433;878;515;1057
136;263;176;364;255;520;341;698;428;879;520;1058
129;261;176;359;260;515;347;692;434;879;515;1057
129;263;176;365;254;520;342;698;426;871;522;1057
129;261;178;357;253;514;347;700;428;878;520;1057
131;261;184;358;253;519;339;700;433;871;515;1057
129;263;176;364;254;519;341;698;428;879;521;1059
130;261;176;359;259;514;339;693;434;879;515;1057
136;264;176;365;254;520;342;699;426;871;521;1057
129;268;176;357;260;515;346;693;428;876;520;1057
129;261;183;359;252;515;339;693;433;879;515;1058
136;263;176;365;255;520;342;698;428;880;520;1059
130;269;176;359;260;514;346;693;433;877;513;1058
129;261;183;357;252;519;341;701;433;872;515;1057
129;261;176;364;252;514;339;700;428;879;520;1058
131;268;176;359;260;514;347;693;433;879;515;1058
129;264;176;357;253;519;341;701;434;871;515;1057
130;261;176;365;254;519;341;698;428;879;520;1057
129;268;176;359;260;514;346;693;433;879;515;1058
129;262;176;358;252;520;341;700;433;871;515;1058
129;263;176;365;254;520;341;699;428;879;520;1057
129;269;176;359;261;514;347;693;433;877;513;1057
129;263;176;358;252;520;341;700;426;872;522;1057
129;262;178;357;252;514;347;700;428;880;520;1058
131;262;184;359;253;514;339;693;433;879;515;1057
137;263;176;364;255;520;341;698;428;878;520;1057
129;261;176;359;260;514;347;693;433;878;515;1057
130;263;176;357;253;520;341;700;434;871;515;1057
130;261;176;364;253;513;339;699;428;879;520;1057
131;262;176;359;253;514;339;693;433;879;514;1058
137;263;176;364;255;520;341;698;426;871;522;1058
129;261;176;364;253;513;339;698;427;879;520;1057
131;261;183;359;253;515;339;693;434;879;515;1057
137;263;176;365;254;521;342;698;428;879;520;1057
129;268;176;357;260;514;347;693;428;877;520;1057
129;262;183;360;253;520;339;700;433;871;515;1057
129;262;176;364;254;519;341;698;428;878;520;1057
129;268;176;359;260;514;346;693;433;878;515;1057
129;262;184;359;252;519;339;700;433;878;515;1058
129;262;176;364;252;515;339;699;428;879;520;1057
131;261;176;359;253;514;346;693;434;879;514;1058
129;263;176;358;252;520;342;701;426;871;522;1058
129;261;178;357;253;515;347;700;428;879;520;1058
131;261;176;359;253;514;339;693;433;879;515;1057
129;263;176;358;253;520;342;700;426;872;522;1058
129;261;176;364;253;512;339;698;428;879;520;1057
131;262;183;359;252;514;339;693;433;879;515;1057
136;263;176;364;254;519;341;698;426;879;521;1057
130;262;177;357;252;515;347;700;428;879;520;1058
131;261;176;359;252;514;339;693;433;879;515;1057
136;264;176;365;255;520;341;698;428;879;520;1059
129;269;176;359;260;514;347;693;434;879;515;1057
129;261;183;359;253;520;339;700;434;879;515;1057
129;263;176;365;255;520;341;698;428;879;520;1060
129;269;176;359;259;514;346;693;434;879;514;1057
129;264;176;364;255;520;342;698;426;879;520;1059
129;268;176;359;260;515;346;693;433;876;513;1058
129;263;176;357;252;519;341;701;433;872;515;1057
129;261;178;357;252;514;339;698;428;878;520;1057
131;261;176;359;253;514;347;693;433;879;515;1058
130;264;176;364;254;520;341;699;426;879;521;1057
129;268;178;357;260;514;347;693;428;877;520;1058
129;261;183;357;253;521;339;700;433;871;515;1057
129;261;176;364;255;520;342;698;428;879;520;1058
129;268;176;359;260;514;347;693;433;877;513;1057
129;263;176;364;254;520;341;698;426;871;522;1057
129;261;178;357;253;514;346;700;428;878;520;1057
131;262;184;359;252;514;340;693;433;879;515;1057
137;263;176;364;255;520;341;698;428;879;520;1057
129;268;176;359;260;515;347;693;434;877;515;1057
129;261;183;359;253;520;340;700;434;879;515;1058
129;263;176;365;254;519;341;699;428;879;520;1058
129;269;176;359;260;514;347;693;433;879;515;1058
129;263;176;364;255;520;341;698;426;878;520;1057
129;268;176;359;260;514;347;693;433;878;514;1058
129;263;176;357;253;520;342;700;433;872;515;1058
130;261;176;365;252;512;339;698;428;879;521;1057
131;261;183;359;253;514;339;693;433;878;515;1057
137;263;176;364;255;520;341;698;426;872;522;1057
129;268;176;357;261;514;347;693;433;877;515;1057
129;263;176;357;252;520;342;700;433;871;515;1058
129;261;176;364;253;513;339;698;428;879;521;1058
131;261;183;359;252;514;339;693;433;879;515;1057
137;261;176;364;255;520;341;699;428;879;520;1058
130;269;176;359;259;515;347;693;433;879;514;1058
129;263;176;357;252;519;341;700;426;871;522;1057
129;261;178;357;253;514;347;701;427;879;520;1057
131;261;176;359;253;514;339;693;433;878;515;1057
129;263;176;364;254;519;341;699;426;871;522;1058
130;262;176;364;254;520;340;698;428;878;520;1057
129;269;176;359;260;514;347;693;434;879;515;1058
129;261;176;358;253;521;341;700;433;871;515;1057
129;261;176;364;253;513;339;698;428;878;520;1058
131;269;176;359;260;514;346;693;433;878;515;1058
130;261;183;359;252;520;339;700;433;871;515;1057
129;261;176;364;252;512;340;698;428;878;520;1057
132;270;176;359;260;515;347;693;433;877;515;1057
129;261;183;359;253;519;339;700;434;872;515;1058
129;264;176;364;254;519;341;699;428;879;520;1057
129;268;176;357;260;515;346;693;428;877;520;1057
130;261;183;359;253;514;339;693;434;879;515;1058
136;263;176;364;254;519;341;698;426;878;520;1058
129;269;178;358;260;514;346;693;428;877;520;1057
129;263;176;357;252;520;341;700;433;871;515;1057
129;261;176;364;252;512;341;699;428;879;520;1058
129;268;176;359;260;515;346;693;433;880;514;1058
129;262;176;357;253;520;341;700;434;871;515;1058
130;261;176;365;252;513;342;699;428;879;520;1057
129;261;183;359;253;515;339;693;433;879;515;1057
136;263;176;364;254;519;341;698;428;879;520;1058
129;268;176;359;259;515;347;693;434;877;515;1058
129;261;183;359;252;520;339;700;433;871;514;1057
129;262;176;364;253;514;339;698;428;879;520;1058
131;269;176;359;260;514;347;693;434;879;515;1057
129;261;183;357;252;520;339;700;433;872;515;1057
129;261;178;364;253;514;340;698;428;878;520;1057
131;261;176;359;253;514;340;693;433;879;515;1057
136;263;176;364;254;519;341;698;428;879;521;1059
129;269;178;357;260;515;347;693;428;877;520;1057
130;261;183;359;253;519;339;700;433;879;515;1058
130;261;176;365;252;519;341;699;428;879;520;1057
131;261;176;359;260;514;346;693;433;879;514;1058
130;263;176;364;254;519;341;698;428;879;520;1060
129;268;178;357;260;514;347;693;428;877;520;1057
129;261;183;359;253;521;339;701;433;878;515;1057
137;263;176;364;254;519;341;698;428;879;520;1059
129;269;178;357;260;514;346;693;428;876;520;1057
129;262;183;357;253;519;341;700;433;872;515;1057
129;261;176;365;253;512;340;698;428;878;520;1057
131;269;176;360;260;515;346;693;433;878;515;1058
129;263;176;358;252;520;341;700;426;872;522;1057
130;262;178;357;253;515;346;700;428;878;520;1057
131;261;176;359;252;514;339;693;434;879;515;1057
137;261;176;365;255;520;341;699;428;879;521;1057
130;261;176;359;253;514;340;693;434;880;515;1057
137;263;176;364;255;520;341;698;426;871;522;1058
129;261;176;365;253;513;342;698;428;878;520;1058
129;269;176;359;260;515;347;693;434;879;515;1057
129;263;176;357;252;520;341;700;434;872;515;1057
130;261;176;364;253;512;339;698;428;879;520;1057
131;268;176;359;260;515;346;693;433;879;515;1057
130;263;176;357;253;519;341;700;433;871;514;1058
129;261;176;364;252;514;340;698;428;879;520;1057
131;261;176;359;260;514;347;693;433;879;515;1057
129;263;176;364;254;521;341;699;426;879;522;1058
129;269;176;359;260;514;347;693;433;878;515;1057
129;263;176;364;254;519;341;699;428;878;521;1059
130;269;176;357;260;514;347;693;428;877;520;1057
129;262;183;359;252;519;340;700;434;879;515;1057
129;263;176;365;255;520;341;698;428;879;521;1057
129;269;176;359;259;514;346;693;433;879;515;1057
129;261;183;359;253;520;339;700;434;872;515;1058
129;261;176;364;252;514;339;698;428;879;520;1057
131;269;176;359;260;514;347;693;433;879;515;1057
129;263;176;357;252;520;341;700;434;871;515;1057
129;261;176;365;253;513;341;698;428;879;520;1057
131;262;176;359;253;514;339;693;434;879;514;1057
136;263;176;365;254;520;342;698;428;878;521;1057
129;268;176;359;259;515;347;693;433;879;515;1058
129;262;176;357;252;520;341;700;433;871;515;1058
129;261;176;364;255;520;342;698;428;879;520;1058
129;262;176;359;260;515;346;692;433;879;514;1057
129;261;183;360;253;514;339;693;433;879;515;1058
136;261;176;357;252;520;340;700;434;879;515;1057
130;263;176;364;255;520;341;698;426;872;522;1057
129;261;176;364;252;513;339;699;427;879;520;1058
132;268;176;359;259;514;347;693;433;879;515;1057
129;261;176;357;253;519;341;700;433;872;515;1058
129;261;176;365;252;512;340;698;428;878;520;1057
131;269;176;359;260;514;347;692;433;879;515;1057
129;263;176;365;255;520;341;698;426;878;520;1057
130;262;178;357;252;514;347;700;428;879;520;1057
131;261;184;359;252;514;339;693;433;878;515;1057
137;263;176;365;255;520;342;698;428;878;520;1057
129;268;176;359;260;514;346;693;433;879;515;1057
129;263;176;364;254;520;342;698;426;871;522;1057
129;261;177;357;253;514;346;701;428;879;520;1057
131;261;176;359;252;514;339;693;433;879;514;1057
129;263;176;365;254;520;341;698;428;879;520;1059
129;269;178;357;259;514;347;692;428;876;520;1057
129;262;183;359;253;521;339;701;433;878;514;1057
137;263;176;364;254;520;341;698;428;878;520;1057
129;261;176;359;253;515;340;693;434;879;515;1058
136;263;176;365;254;520;341;699;426;879;520;1058
129;269;176;359;260;514;347;693;433;879;515;1058
129;263;176;357;253;520;342;700;434;871;514;1057
129;262;178;357;252;514;347;700;428;878;520;1057
131;261;176;359;260;515;339;693;434;880;515;1057
137;263;176;364;254;520;342;699;426;872;522;1058
129;261;176;364;255;520;341;698;428;878;520;1058
129;269;176;359;259;514;347;693;433;877;515;1057
129;263;176;357;252;520;341;700;434;871;514;1057
130;261;176;364;253;513;339;699;428;879;520;1057
131;261;176;359;253;514;347;693;434;879;515;1057
129;263;176;364;254;520;341;699;428;879;520;1060
129;268;178;357;259;515;346;693;428;877;520;1057
129;262;183;359;253;519;339;700;433;871;515;1057
129;261;176;364;254;520;341;698;428;879;520;1058
131;261;176;359;252;514;339;693;433;878;514;1058
136;263;176;364;254;519;341;698;428;879;521;1058
129;261;178;357;252;515;346;700;428;878;520;1057
131;261;183;359;253;515;339;693;434;879;515;1057
136;263;176;365;255;520;341;698;426;871;522;1057
129;261;176;365;252;513;339;698;428;878;520;1057
131;269;176;359;260;515;347;692;434;879;515;1057
129;263;176;357;253;520;341;700;427;871;522;1057
129;261;176;364;253;512;340;698;428;878;520;1058
131;268;176;359;260;515;346;693;434;879;515;1058
130;263;176;357;253;520;341;700;426;872;522;1057
129;261;176;364;253;515;339;698;428;879;520;1057
132;268;176;359;260;514;347;693;433;879;515;1057
129;263;176;364;254;519;341;699;426;878;521;1058
129;261;178;357;253;514;346;700;428;878;520;1057
131;261;183;359;253;515;339;693;434;879;515;1057
136;264;176;365;255;520;341;698;427;879;520;1057
129;268;178;357;259;514;346;692;428;877;520;1057
130;262;184;359;253;515;339;693;434;879;515;1057
136;263;176;365;254;520;341;699;428;878;520;1057
129;269;176;359;260;514;346;693;434;878;515;1058
129;262;183;359;253;519;340;700;434;879;515;1057
130;262;176;364;253;515;339;698;428;879;520;1057
131;268;176;359;259;515;347;693;433;879;515;1058
129;262;183;359;252;520;340;700;433;872;515;1057
129;262;176;365;253;513;341;699;428;878;521;1058
129;262;183;359;253;514;340;693;434;879;515;1057
136;263;176;364;254;519;341;698;426;879;520;1057
129;268;176;357;261;514;347;693;428;876;520;1057
130;262;184;359;253;520;340;700;433;879;515;1057
129;263;176;365;254;519;341;698;428;880;520;1058
129;269;176;359;259;515;346;693;433;879;515;1057
129;261;183;359;253;521;339;700;433;879;515;1058
129;261;176;365;252;513;341;698;428;879;520;1057
131;261;176;359;260;514;346;693;433;878;515;1057
136;264;176;364;255;520;341;699;428;879;520;1059
129;269;176;359;260;515;347;693;434;877;515;1057
129;261;176;357;252;520;341;700;433;872;515;1058
129;261;178;358;252;515;346;700;428;879;520;1057
131;262;176;359;252;515;339;693;433;879;515;1057
137;263;176;357;253;521;342;700;433;872;515;1057
130;261;178;357;252;514;347;700;428;878;520;1057
131;261;176;359;260;514;347;693;434;879;515;1057
129;263;176;357;253;520;342;700;433;872;515;1058
129;261;176;364;253;512;340;698;428;879;520;1057
131;269;176;359;260;515;346;693;434;879;515;1058
129;262;184;357;253;520;341;700;433;871;515;1058
129;262;176;364;254;512;339;699;428;878;520;1057
131;269;176;359;259;514;346;693;433;876;515;1057
129;263;176;357;252;519;341;700;433;871;515;1058
129;262;176;364;252;512;340;698;428;879;520;1058
129;261;176;359;260;515;339;693;433;878;515;1057
136;263;176;364;254;521;341;699;428;879;520;1059
129;269;176;357;259;514;346;693;428;877;520;1057
129;261;183;359;252;520;339;700;433;880;515;1057
129;261;176;364;254;513;339;698;428;878;520;1057
129;269;176;359;260;514;346;693;433;879;515;1057
129;262;184;357;253;520;341;700;433;871;515;1058
129;262;176;364;254;512;340;698;428;879;520;1058
132;261;176;359;252;515;340;693;434;879;515;1057
136;263;176;365;254;520;341;699;428;879;520;1059
129;268;176;359;260;514;346;693;434;877;515;1058
129;261;183;359;252;521;339;700;433;879;514;1057
136;261;176;365;255;512;339;698;428;879;520;1057
129;269;176;359;259;515;347;693;433;879;515;1057
130;263;176;358;253;520;342;700;433;871;515;1058
129;261;176;365;252;513;339;698;428;879;521;1057
129;268;176;359;260;514;347;693;433;879;514;1057
129;263;176;358;253;520;342;700;433;872;515;1058
129;261;176;365;252;512;340;698;428;879;520;1057
129;261;176;359;252;515;339;693;433;878;515;1057
136;263;176;365;254;520;341;699;426;871;522;1058
129;261;176;364;254;512;342;698;428;879;520;1057
129;261;176;359;259;514;347;693;433;878;515;1057
130;263;176;364;255;520;341;698;426;871;522;1057
129;261;178;357;252;514;346;700;428;879;520;1057
131;261;183;359;253;515;339;693;433;879;515;1057
136;263;176;364;254;519;342;698;426;871;522;1058
129;261;178;357;252;514;346;700;428;878;521;1057
131;261;176;359;260;514;347;693;433;879;514;1057
129;263;176;365;254;520;341;698;426;878;522;1058
129;261;178;357;253;514;347;700;427;879;520;1058
131;261;176;359;253;515;339;693;434;879;514;1057
136;263;176;364;254;519;341;698;428;879;520;1059
130;269;178;357;260;514;346;693;433;877;513;1058
129;261;183;359;253;520;340;700;434;879;515;1057
129;261;176;364;253;514;339;698;428;879;520;1057
129;268;176;359;260;514;346;693;433;879;514;1058
129;263;176;365;255;520;342;699;426;878;522;1057
129;261;177;357;253;514;346;700;428;879;520;1057
131;261;176;359;252;515;339;692;433;878;515;1058
129;263;176;365;254;520;341;699;428;879;520;1059
130;268;176;357;260;514;347;693;433;877;515;1057
130;263;176;357;253;521;341;700;433;872;515;1057
129;261;176;364;253;512;340;698;428;879;520;1057
130;261;183;359;252;514;339;693;433;879;515;1057
136;263;176;364;255;519;341;698;428;879;520;1059
129;261;176;359;253;514;339;693;434;879;514;1058
136;263;176;365;254;520;341;698;428;878;520;1059
130;268;177;357;260;514;346;693;428;877;520;1058
130;261;183;359;253;519;339;701;434;871;515;1057
129;261;176;365;254;513;339;699;428;879;520;1057
131;261;176;359;252;514;339;693;433;879;514;1057
137;263;176;364;254;519;341;698;428;879;520;1060
129;268;178;358;259;515;347;693;428;876;520;1057
129;261;183;359;252;520;339;701;434;879;515;1057
137;261;176;365;255;513;339;698;428;879;520;1057
129;269;176;359;260;514;346;693;433;879;515;1058
130;263;176;364;254;519;341;698;426;872;522;1057
129;261;176;364;254;520;341;699;428;879;520;1058
129;261;176;359;252;515;339;693;434;879;515;1058
129;263;176;364;255;519;341;698;426;871;522;1057
130;261;178;357;252;515;346;700;428;879;520;1057
131;261;176;359;253;515;339;693;433;879;515;1058
130;264;176;365;254;520;342;699;428;879;520;1059
130;270;176;359;259;514;347;693;434;879;515;1058
130;261;183;359;253;520;339;700;433;872;514;1057
129;261;176;365;252;514;339;699;428;878;520;1058
131;261;176;359;259;515;339;693;433;878;515;1057
136;263;176;364;255;520;341;698;428;879;520;1058
129;269;178;357;253;520;341;699;428;879;520;1059
129;269;176;357;260;515;347;700;428;878;520;1057
131;261;183;359;253;515;346;693;433;878;515;1058
129;263;176;357;252;520;341;700;433;872;515;1057
129;263;176;364;255;520;341;698;428;880;520;1059
129;262;178;357;252;514;347;700;428;878;520;1058
131;262;184;359;252;522;339;701;433;879;514;1058
137;261;176;364;254;512;341;698;428;878;520;1057
129;269;176;359;260;514;346;693;433;878;514;1058
129;261;176;358;252;520;341;701;433;871;515;1057
129;262;176;365;254;512;341;698;428;879;520;1057
132;262;176;359;260;514;340;693;434;879;515;1058
137;263;176;364;255;520;341;698;428;879;520;1059
130;268;178;357;260;514;347;693;428;877;520;1057
129;261;183;359;253;521;340;700;434;879;515;1057
129;263;176;364;254;520;341;698;428;878;520;1057
129;261;176;359;260;514;339;693;433;879;515;1057
137;264;176;365;255;520;341;698;428;878;520;1057
129;268;176;359;260;514;347;692;433;878;515;1057
129;263;176;365;254;520;341;698;427;871;522;1057
130;262;178;357;253;514;346;700;428;879;520;1058
131;261;183;359;252;520;339;700;434;879;515;1057
129;261;176;364;252;512;341;698;428;878;520;1057
129;268;176;359;260;514;347;693;433;879;515;1057
129;263;176;357;252;519;341;700;433;871;515;1057
129;261;178;357;253;514;347;700;428;879;520;1057
131;261;176;359;253;515;339;693;434;879;515;1057
129;262;176;357;253;520;341;701;426;871;522;1058
129;261;178;357;252;514;346;700;428;879;521;1057
131;262;176;359;260;515;346;693;433;878;514;1057
129;263;176;357;253;519;341;700;433;871;515;1057
129;261;176;365;253;512;339;698;428;879;520;1057
131;269;176;359;260;514;347;693;433;879;515;1058
129;263;176;358;252;520;342;700;426;871;522;1057
130;261;176;364;253;513;341;698;428;879;520;1057
129;269;176;359;259;514;347;693;434;879;515;1057
129;263;176;357;253;520;341;701;434;872;514;1057
129;261;176;365;252;519;341;699;427;879;520;1057
129;268;176;359;259;514;347;693;433;876;514;1057
130;263;176;357;253;520;341;700;434;872;514;1058
129;261;176;365;254;512;341;698;428;879;521;1058
129;261;176;359;260;514;346;693;433;878;515;1057
129;264;176;364;254;519;341;698;426;878;520;1057
129;269;176;359;260;514;346;693;433;878;515;1058
129;261;176;357;252;519;342;700;433;872;515;1058
130;261;176;365;252;514;340;699;428;879;520;1057
131;261;176;359;260;515;339;693;433;878;515;1057
136;263;176;364;254;519;341;698;426;872;522;1058
129;261;178;357;253;514;347;700;428;879;520;1057
131;261;176;359;253;514;339;693;433;879;514;1057
137;263;176;364;255;520;341;699;428;878;520;1057
129;268;176;357;260;514;347;693;428;877;520;1057
129;261;183;359;252;519;339;700;433;878;515;1058
129;261;176;365;252;512;339;698;428;879;521;1058
131;269;176;359;260;514;346;693;433;879;515;1057
130;263;176;357;252;520;341;700;433;871;515;1057
129;262;178;357;252;515;347;700;428;879;520;1058
131;262;183;359;252;520;339;700;433;880;515;1058
136;261;176;364;252;512;340;698;428;878;520;1057
131;269;176;359;260;514;347;693;433;879;515;1057
130;263;176;365;254;519;341;698;426;879;520;1057
130;269;178;357;259;514;346;692;428;879;521;1058
129;262;176;357;253;519;342;700;434;871;514;1057
130;262;176;364;253;513;341;698;428;879;520;1057
130;261;183;359;252;521;339;700;434;879;514;1057
137;261;176;365;253;512;339;698;428;879;520;1057
131;269;176;359;260;515;346;693;433;879;515;1057
129;263;176;365;254;520;341;699;428;879;521;1060
129;268;178;357;260;515;346;693;427;877;520;1057
130;263;176;357;252;520;341;700;433;871;514;1058
130;261;178;357;252;514;347;700;428;879;520;1057
131;269;176;359;260;514;347;693;433;879;515;1057
129;261;183;358;252;521;339;700;433;872;515;1057
129;261;176;364;254;513;339;699;428;879;520;1058
129;262;183;359;252;514;340;693;433;879;515;1057
137;263;176;364;255;519;341;698;426;879;520;1057
129;268;176;359;260;514;346;693;433;879;515;1057
129;261;184;357;253;519;339;700;434;872;514;1057
129;263;176;364;254;520;341;698;428;879;520;1058
129;261;176;359;260;514;346;693;434;879;515;1057
130;263;176;365;254;519;341;698;428;879;520;1059
129;269;176;359;260;514;347;693;428;879;520;1058
129;263;176;357;253;519;341;700;426;872;522;1057
130;269;178;357;259;515;347;693;428;877;520;1057
129;261;176;357;252;520;342;701;426;871;521;1057
129;261;176;365;252;513;340;698;428;879;520;1057
131;261;176;359;252;515;339;692;433;878;515;1058
137;261;176;364;255;519;341;698;428;879;520;1057
129;268;176;359;259;514;346;693;433;879;515;1057
129;261;183;359;252;522;339;700;433;879;515;1057
136;263;176;364;255;520;341;699;428;878;520;1059
129;261;176;359;253;514;339;693;434;879;515;1057
130;263;176;364;255;519;341;698;428;878;520;1059
129;268;176;358;260;514;346;692;428;878;520;1057
129;261;176;357;252;520;341;700;433;872;515;1057
129;268;178;357;259;515;347;693;428;877;520;1057
129;261;176;357;253;520;341;700;426;871;515;1058
129;261;177;357;253;514;346;700;428;878;520;1057
131;261;176;359;253;514;347;693;433;879;515;1058
130;263;176;365;254;520;341;699;428;879;520;1058
129;268;176;359;260;514;347;693;433;878;515;1057
129;263;176;365;255;520;342;699;426;871;522;1057
