0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
129;263;170;332;223;461;287;585;348;713;407;831
136;266;163;329;223;455;291;580;353;706;409;836
130;263;162;331;223;462;284;587;346;714;414;830
137;265;162;337;225;454;291;580;353;713;409;838
129;263;162;331;223;462;285;588;345;712;415;831
137;265;162;337;225;454;291;580;354;711;409;838
130;271;163;329;230;456;284;580;353;706;415;838
130;263;162;329;223;461;286;586;348;711;407;838
129;264;162;330;223;454;292;581;353;706;409;836
129;264;170;331;223;462;285;587;346;713;415;831
130;266;163;337;225;453;292;581;347;711;409;838
130;271;164;329;231;455;285;587;346;706;415;838
130;263;162;330;223;461;286;586;348;711;407;837
129;271;165;330;231;455;285;580;353;705;414;838
132;264;162;329;223;461;286;585;348;710;407;838
129;265;162;337;223;454;292;580;353;705;409;838
130;263;170;332;223;461;284;586;346;712;407;830
138;266;162;330;223;455;292;580;353;706;409;836
129;263;170;331;223;460;285;585;346;712;407;830
137;265;162;337;223;453;291;580;353;705;409;837
130;264;162;332;223;462;284;588;346;713;415;830
129;264;162;337;225;461;287;586;347;711;409;838
129;271;162;330;223;455;284;587;346;712;415;838
129;265;162;337;225;453;285;579;348;710;409;838
129;271;163;329;231;455;285;588;345;712;414;831
130;266;162;337;225;454;291;580;353;714;409;838
129;264;162;331;223;456;285;588;345;712;414;831
130;265;162;337;225;453;285;578;348;711;409;838
130;264;162;331;223;455;284;587;346;714;414;830
129;265;162;337;225;453;286;579;348;710;409;838
129;264;162;329;230;455;292;581;352;705;416;836
132;263;162;331;223;461;287;586;348;711;407;838
129;265;163;329;223;453;291;580;353;705;409;836
129;263;170;332;223;460;287;586;348;712;407;838
129;263;162;330;231;455;292;580;353;705;414;836
131;263;163;331;223;460;287;585;347;711;407;838
130;270;165;330;230;456;284;580;352;705;414;838
130;263;162;337;225;461;286;586;348;710;409;838
130;270;163;330;223;455;285;587;346;713;414;831
130;266;163;337;225;454;284;579;348;711;409;838
130;271;162;332;223;455;284;587;346;705;415;838
129;263;163;332;223;460;286;586;348;711;407;838
130;263;162;330;230;455;291;581;353;706;416;836
132;263;162;331;223;460;287;585;348;711;407;838
129;270;164;330;231;455;285;580;353;705;414;836
132;263;163;332;223;460;286;585;347;711;407;838
129;271;164;329;230;455;284;581;353;706;414;838
131;264;162;331;223;460;286;585;348;711;407;837
129;270;164;329;231;455;284;580;353;705;414;839
132;264;162;331;223;461;286;586;347;711;407;838
130;271;164;330;230;455;284;580;353;705;414;838
131;264;163;332;223;460;286;586;347;710;407;839
129;271;164;330;230;455;284;580;353;706;414;838
130;263;162;337;223;461;286;586;348;711;409;838
129;271;164;329;230;455;284;580;353;706;415;837
131;264;162;336;223;460;286;585;347;711;408;838
130;271;164;330;223;455;284;588;346;706;414;838
129;263;163;337;225;460;286;585;347;711;408;838
130;271;162;330;223;455;284;587;346;713;414;830
130;264;163;337;225;460;286;585;347;710;409;838
130;271;164;330;230;455;284;588;346;705;414;838
130;263;162;332;223;461;286;585;347;711;407;838
130;265;162;329;223;455;291;581;353;705;408;836
130;264;162;331;223;462;285;588;346;713;414;830
130;265;162;336;225;453;291;580;353;713;409;838
130;264;163;332;223;462;285;589;346;713;407;830
137;265;162;330;223;455;292;580;353;705;409;836
130;263;169;331;223;460;287;586;347;713;414;831
129;263;170;332;223;462;284;588;346;712;414;830
130;266;162;338;225;454;292;580;353;711;409;838
129;263;162;331;223;455;285;587;345;712;414;830
129;266;163;336;225;453;286;578;347;711;409;837
129;271;164;329;231;455;285;581;353;705;414;838
131;264;162;337;223;461;286;586;347;711;408;838
130;266;162;337;223;453;292;581;353;706;408;838
130;263;163;331;223;462;285;587;346;712;415;830
137;265;162;337;223;453;291;580;353;705;409;838
130;264;170;331;223;461;286;586;348;713;407;830
137;266;162;330;223;455;292;581;353;705;409;836
129;263;169;331;223;460;286;586;348;713;407;830
136;265;162;330;223;455;291;580;353;705;409;838
130;264;170;331;223;461;284;585;348;712;407;838
129;264;163;329;230;455;291;581;353;706;416;836
132;264;163;331;223;460;286;586;347;711;407;838
129;271;164;329;230;455;284;580;352;705;414;838
132;264;162;331;223;461;286;585;348;713;407;838
129;271;165;329;230;455;285;580;353;705;414;838
132;264;162;331;223;460;286;585;348;710;407;838
130;271;165;329;231;455;285;581;352;705;414;838
131;263;162;337;223;461;286;586;347;711;409;837
130;271;164;329;231;456;284;580;353;705;415;838
132;264;162;332;223;460;286;586;348;713;407;837
129;271;165;330;230;455;284;580;353;705;414;838
132;263;162;331;223;460;287;586;348;710;407;838
130;270;165;330;231;456;284;580;353;706;414;838
131;264;163;337;223;461;286;586;348;711;409;838
129;271;163;329;223;455;284;587;345;713;414;838
130;266;163;337;225;453;286;579;347;711;409;838
130;271;163;332;223;455;284;587;345;713;414;831
130;266;162;337;225;453;286;578;348;711;409;838
130;271;162;332;223;455;284;587;346;712;414;831
129;266;162;337;225;453;286;579;348;711;409;838
129;271;163;331;223;455;285;588;346;713;414;838
129;265;162;337;225;453;287;578;347;711;409;838
130;272;163;331;223;455;284;588;346;712;414;838
129;266;163;337;225;453;286;578;348;711;409;838
130;271;162;332;223;455;284;587;346;713;414;831
129;266;162;337;225;453;286;578;347;711;409;838
130;271;163;331;223;455;284;588;346;712;415;831
129;265;163;337;225;453;286;578;348;711;409;839
130;271;162;330;223;455;284;587;345;706;415;838
130;265;162;336;224;460;286;586;347;711;408;838
130;271;163;330;223;455;285;588;346;706;414;838
129;263;163;337;225;460;287;586;347;711;409;838
129;271;164;330;230;455;284;587;346;706;415;838
130;264;163;337;225;453;286;578;347;711;409;837
129;271;163;332;223;455;285;587;346;713;414;830
130;265;162;337;224;453;292;581;353;711;409;838
130;264;170;332;223;461;284;586;345;713;407;830
137;265;162;330;223;455;291;580;353;706;409;838
129;264;170;331;223;460;284;585;346;712;407;831
137;266;162;330;223;453;291;580;354;705;409;838
130;264;170;331;223;460;284;586;346;713;407;830
137;265;162;330;223;455;292;580;353;706;409;838
130;263;169;331;223;460;284;587;347;713;407;838
130;264;162;330;230;455;291;581;353;705;416;836
131;264;162;331;223;461;286;586;348;711;407;838
130;271;164;330;230;455;284;580;353;706;414;838
131;264;162;332;223;461;286;585;347;711;407;838
130;271;165;329;231;455;285;580;353;705;414;837
131;264;163;337;225;461;286;586;348;711;409;838
129;271;165;330;230;455;284;580;353;706;414;838
132;264;162;332;223;460;286;585;348;712;407;838
129;270;164;329;230;455;285;580;353;705;415;837
132;264;162;331;223;460;286;586;347;713;407;838
130;264;163;330;223;455;292;580;353;705;409;838
129;263;170;331;223;460;285;586;347;713;407;838
130;264;162;330;231;455;291;580;353;705;414;836
131;264;170;332;223;460;287;585;348;712;407;838
130;271;164;330;230;455;284;580;353;705;415;838
