0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
174;370;213;445;299;625;387;803;476;980;561;1158
180;362;213;452;299;626;386;802;484;981;563;1166
174;361;215;443;301;623;389;796;481;980;570;1159
174;364;220;443;308;617;396;803;473;981;571;1158
173;371;213;445;306;619;387;803;476;980;568;1158
176;362;214;452;299;626;386;803;483;981;561;1161
174;362;220;443;301;617;396;796;474;981;570;1158
173;371;213;445;306;619;394;803;474;980;568;1158
176;369;213;453;299;625;387;803;476;974;561;1160
181;362;213;450;299;625;386;802;483;981;563;1166
174;364;213;443;307;616;394;803;474;981;570;1158
175;362;213;452;299;625;387;804;483;980;561;1161
173;362;220;443;301;616;395;796;474;981;570;1159
174;371;213;445;306;619;394;803;474;981;568;1159
176;369;213;453;299;626;386;803;476;974;561;1161
180;364;221;443;301;616;396;796;474;981;570;1158
174;371;213;445;306;618;386;803;475;980;569;1159
175;362;213;452;299;626;386;803;483;981;561;1161
173;362;215;443;301;624;388;796;481;981;570;1159
174;364;213;443;306;617;393;803;473;981;570;1158
173;369;213;445;299;618;386;803;475;981;568;1159
173;362;213;452;299;627;386;803;483;981;561;1161
173;362;215;450;299;624;389;796;481;981;571;1158
174;364;220;443;308;616;396;804;474;981;570;1158
174;369;213;452;299;626;386;803;476;974;561;1161
181;362;215;443;301;623;388;796;481;982;570;1159
174;371;213;445;306;618;386;803;475;981;569;1158
175;362;215;443;301;624;388;796;482;981;572;1158
174;364;213;443;307;617;394;803;474;981;570;1158
174;371;213;445;299;626;386;803;476;981;569;1158
173;362;214;450;299;625;386;801;483;980;563;1165
173;362;215;443;301;623;389;796;481;981;571;1158
174;364;213;443;307;616;393;803;474;981;570;1158
173;361;213;450;299;626;387;802;483;981;563;1165
174;362;215;443;301;624;389;796;481;980;571;1158
173;364;220;443;308;616;393;803;474;980;571;1158
174;369;213;453;299;625;387;803;476;973;561;1161
181;361;215;443;301;624;388;796;481;981;570;1158
173;364;213;443;306;616;393;803;474;981;571;1158
173;369;213;445;299;626;387;803;476;981;569;1158
176;362;214;452;299;625;387;804;483;980;562;1160
173;362;215;443;301;623;389;796;481;981;570;1158
174;363;213;443;306;617;394;803;474;980;570;1158
174;371;213;444;299;626;387;804;476;980;568;1158
181;362;214;452;299;625;387;803;483;981;561;1160
173;362;215;443;301;623;388;796;481;981;570;1159
173;364;213;443;306;617;393;803;474;980;571;1158
173;369;213;452;299;625;387;803;484;981;563;1165
174;362;223;443;301;623;396;796;481;981;570;1159
174;364;213;443;306;617;394;803;474;981;571;1158
174;369;213;445;299;626;386;803;475;981;568;1159
174;362;213;453;299;625;386;804;483;981;562;1160
174;362;215;443;301;624;388;796;481;981;570;1158
174;364;213;443;306;616;393;803;473;981;570;1159
174;369;213;445;299;625;386;803;476;980;568;1159
174;362;213;450;299;626;387;801;483;981;563;1166
173;362;215;443;301;624;388;796;481;981;570;1158
173;364;213;443;306;617;394;803;474;980;571;1158
174;369;213;445;299;626;386;803;476;982;569;1158
181;362;213;452;299;626;386;803;482;981;561;1161
173;361;215;443;301;624;388;796;481;981;571;1159
174;363;213;443;306;619;394;804;474;981;570;1158
173;369;213;445;299;626;386;803;476;981;568;1158
174;362;213;453;299;626;387;803;483;981;563;1166
174;362;215;443;301;623;389;797;481;981;570;1158
173;364;213;443;307;616;393;803;474;981;570;1158
174;369;213;445;299;626;386;803;476;981;568;1158
174;362;213;452;299;626;387;804;483;981;561;1158
174;362;223;443;301;624;396;796;481;981;571;1158
173;364;213;443;307;616;393;803;474;982;570;1159
173;369;213;452;299;626;386;804;475;981;561;1160
181;362;213;450;299;626;387;801;483;980;563;1167
173;362;222;443;301;623;396;796;481;981;571;1158
174;364;213;443;307;618;394;803;474;981;571;1158
173;370;213;445;299;626;386;803;476;981;561;1160
181;362;216;450;299;626;388;801;483;981;563;1166
173;362;220;443;301;616;396;796;474;981;571;1159
174;371;213;445;306;618;394;803;474;980;568;1159
176;369;213;452;299;626;387;804;483;980;561;1160
173;362;215;443;301;624;389;796;481;981;570;1158
174;363;220;443;306;619;394;803;474;982;569;1158
176;369;213;445;299;626;386;803;475;974;561;1160
181;361;213;450;299;625;387;801;483;981;563;1167
174;361;215;443;301;623;388;796;481;980;571;1158
173;364;213;443;306;616;393;803;473;981;570;1158
176;370;213;445;299;626;386;804;476;973;561;1161
181;362;213;450;300;625;387;801;483;981;563;1165
174;362;223;443;301;624;388;796;481;981;570;1159
174;371;213;445;306;619;386;803;476;980;568;1158
174;361;213;452;299;625;387;804;483;981;561;1160
174;362;215;443;301;624;388;796;481;980;570;1158
173;363;221;443;308;617;396;796;474;982;570;1158
174;371;213;445;306;619;387;803;475;981;568;1158
175;362;213;452;299;625;386;803;483;981;561;1161
173;362;215;443;301;623;388;796;481;981;570;1158
174;364;213;443;306;619;394;804;474;980;570;1159
176;370;213;444;299;625;387;803;475;974;561;1160
181;362;213;450;299;625;386;801;483;981;563;1166
174;362;220;443;301;625;396;796;481;981;571;1158
173;363;213;442;306;617;394;804;474;980;570;1159
174;369;213;445;299;626;387;804;476;981;568;1159
181;361;213;452;299;625;386;804;483;981;561;1158
174;362;215;443;301;624;388;796;481;982;570;1158
173;364;213;443;306;619;393;803;474;981;570;1159
176;369;213;453;299;625;386;803;476;974;561;1162
181;362;213;451;299;626;387;802;483;980;563;1165
173;362;223;443;301;624;389;796;481;981;570;1158
173;364;213;443;306;616;393;803;474;981;570;1158
174;370;213;445;299;626;387;803;476;980;569;1158
173;362;213;452;299;626;387;803;482;981;561;1161
174;362;215;442;301;624;388;796;481;981;571;1158
173;364;213;443;306;616;394;804;474;981;570;1158
174;371;213;445;300;626;386;803;476;980;562;1160
181;362;213;451;299;626;386;803;483;982;561;1158
173;362;215;443;301;624;388;797;481;981;571;1158
174;364;213;443;306;616;394;804;474;981;570;1159
174;372;213;445;299;626;387;804;476;981;568;1159
174;362;213;452;299;626;386;803;483;981;561;1160
173;362;215;443;301;624;389;796;481;981;570;1159
174;371;213;445;299;626;386;803;475;974;561;1160
180;362;215;450;299;626;389;801;483;980;564;1159
174;364;214;442;307;616;394;803;473;981;570;1159
174;369;213;445;299;619;386;804;475;981;568;1158
173;361;213;452;299;626;387;803;483;980;562;1161
173;362;215;443;301;624;388;796;481;982;571;1159
174;364;220;443;308;616;395;803;474;981;570;1158
173;371;213;445;306;618;386;803;476;981;568;1160
176;362;213;453;299;625;387;804;483;981;562;1160
173;362;216;443;301;624;388;796;481;981;570;1159
174;364;221;443;308;616;396;803;474;981;571;1158
173;371;213;445;306;618;386;803;475;981;568;1158
175;362;213;453;299;627;386;803;483;981;561;1161
174;362;215;443;301;624;388;796;481;980;571;1158
174;364;220;443;309;616;395;796;474;980;571;1158
173;371;213;445;306;618;387;803;476;981;568;1159
174;361;213;450;299;626;386;801;483;981;563;1165
173;361;222;442;301;624;388;796;481;981;570;1158
173;364;213;443;306;616;393;803;474;981;570;1159
174;369;213;445;299;626;386;804;476;981;562;1160
181;362;213;450;299;625;386;803;483;981;564;1165
173;362;215;443;301;623;388;796;481;981;570;1159
174;364;220;443;308;617;393;803;474;981;571;1159
174;370;213;453;299;626;386;803;475;981;561;1161
181;361;213;450;299;626;387;803;483;981;563;1165
173;361;215;443;301;624;396;796;482;981;571;1159
173;364;213;443;306;617;394;803;474;981;571;1159
174;369;213;444;299;626;386;804;475;981;569;1159
174;362;213;452;300;626;386;803;483;981;562;1160
174;362;215;443;301;623;389;796;481;981;571;1159
174;364;220;443;308;616;396;803;474;981;570;1159
174;371;213;445;306;619;387;803;475;981;569;1158
175;361;214;453;299;625;387;803;483;981;561;1160
173;361;215;443;301;623;388;796;481;980;570;1158
174;364;213;443;306;618;395;803;474;981;569;1159
175;369;213;452;299;626;387;803;475;974;561;1160
181;362;213;450;299;625;386;803;484;981;563;1166
173;362;215;443;301;624;388;796;481;981;570;1159
174;364;221;443;308;616;395;796;474;981;571;1158
173;371;213;444;307;618;386;803;476;981;569;1158
176;362;213;452;300;625;386;803;483;981;561;1161
174;362;220;443;301;624;395;796;481;981;570;1159
174;363;213;443;307;616;393;803;473;981;570;1158
173;371;214;445;299;626;387;803;476;974;562;1160
180;362;213;450;299;626;386;801;483;981;563;1166
173;364;220;443;301;616;396;796;474;981;570;1158
173;371;213;445;307;618;387;803;475;981;569;1158
176;362;215;450;299;626;388;801;484;981;563;1166
173;362;220;443;301;616;396;796;473;981;570;1159
174;371;213;444;306;618;394;804;474;980;570;1158
175;369;213;452;299;626;387;803;475;981;561;1161
181;362;213;453;299;625;386;801;483;980;563;1167
174;362;215;443;301;624;389;796;481;980;570;1158
174;363;213;443;307;616;393;803;474;981;570;1159
174;369;213;444;299;626;387;803;475;974;561;1160
181;362;215;451;299;625;386;802;483;981;563;1166
174;362;220;443;301;617;397;796;474;981;570;1158
173;371;213;445;306;618;393;803;474;981;569;1158
175;369;213;452;299;626;386;803;476;974;561;1160
181;362;215;450;299;625;389;801;483;981;563;1165
174;364;221;442;301;617;396;796;473;981;571;1158
173;371;213;445;306;619;394;803;474;981;569;1159
176;369;213;452;299;625;386;804;476;974;561;1160
181;362;215;450;299;625;389;801;483;981;563;1166
173;362;223;443;301;624;389;796;481;981;571;1158
174;364;221;443;309;616;394;803;474;980;571;1158
174;371;213;444;306;618;387;803;476;981;568;1159
176;362;213;452;299;625;386;804;483;981;562;1160
174;362;215;443;301;624;388;796;481;980;571;1158
173;364;213;443;306;618;394;803;473;982;570;1158
173;369;213;445;299;626;386;803;476;981;569;1158
174;362;213;453;299;625;387;803;483;981;562;1161
174;362;215;443;301;623;388;796;481;981;571;1158
174;364;213;443;307;616;394;803;474;981;570;1158
173;370;213;445;299;626;387;803;475;981;561;1160
180;362;213;450;299;626;386;801;483;981;563;1165
174;362;215;443;301;625;388;796;481;980;570;1158
173;364;213;443;306;616;394;803;474;981;570;1159
176;369;213;445;299;626;386;804;475;973;561;1160
181;362;216;450;299;626;387;802;483;981;563;1166
174;362;223;443;301;623;396;796;481;981;571;1158
174;364;213;443;306;616;394;803;474;980;570;1158
174;369;213;453;299;625;387;803;476;974;561;1161
181;362;215;450;299;625;387;801;483;981;563;1166
173;362;221;443;301;616;396;796;474;980;570;1159
174;372;213;445;306;618;394;803;474;980;568;1159
176;369;213;452;299;626;386;803;476;973;561;1161
181;362;215;450;299;627;386;802;483;981;563;1166
174;362;220;443;301;623;396;796;481;981;571;1158
174;364;213;443;306;616;394;804;474;981;571;1158
175;369;213;445;299;626;386;803;476;981;568;1159
181;362;213;450;299;625;386;801;483;982;563;1165
174;361;215;443;301;623;388;796;481;981;570;1159
174;364;220;443;309;617;395;803;474;980;570;1160
174;371;213;444;306;618;387;803;476;981;568;1158
173;362;213;453;299;626;386;803;483;981;561;1160
174;362;215;443;301;623;389;796;481;980;570;1158
174;364;213;443;307;616;393;803;474;981;570;1158
173;369;214;444;300;626;386;803;476;981;569;1158
173;362;213;452;299;626;387;804;483;981;561;1159
174;362;215;443;301;624;389;796;481;981;570;1159
174;364;213;443;306;616;393;803;473;981;571;1158
173;369;213;445;299;618;386;803;476;981;569;1158
174;362;213;452;299;625;386;804;483;981;563;1166
173;362;215;442;301;624;388;796;481;981;571;1159
173;363;213;443;306;616;393;803;474;981;570;1158
174;370;213;445;299;626;386;803;476;980;569;1159
176;362;213;452;299;625;386;803;483;980;561;1161
174;362;215;443;301;623;388;796;481;981;570;1159
173;364;220;443;308;616;396;803;474;981;570;1158
173;371;213;445;299;618;387;803;476;981;568;1159
174;362;213;452;299;626;386;804;484;981;561;1160
173;362;215;443;301;623;389;796;481;980;571;1158
173;364;220;443;308;616;395;804;473;981;571;1159
174;370;213;445;299;626;387;803;476;981;562;1160
181;362;213;450;299;625;386;801;483;981;563;1166
173;362;221;443;301;623;388;796;481;981;570;1159
174;371;213;445;306;618;393;803;474;981;569;1159
176;370;213;453;299;626;386;803;476;973;561;1160
180;362;215;443;301;624;388;796;481;981;570;1159
174;364;220;443;308;617;394;804;473;981;570;1159
173;371;213;445;299;625;387;803;475;981;568;1159
181;362;213;450;299;625;386;801;484;981;563;1166
174;362;220;443;301;624;395;796;481;981;570;1159
174;364;213;443;306;617;393;803;473;981;571;1158
173;369;214;445;299;626;386;803;475;981;561;1160
181;361;215;451;299;626;388;802;483;981;563;1159
174;363;220;443;308;616;396;796;474;981;571;1158
174;371;213;445;307;619;394;804;474;979;569;1158
175;369;213;453;299;626;386;804;476;973;561;1161
181;362;213;450;299;625;386;803;483;981;561;1158
174;361;215;443;301;623;388;796;481;981;570;1158
173;364;214;443;306;619;394;803;474;981;568;1159
176;369;213;453;299;626;386;804;476;973;561;1161
181;362;213;450;299;625;388;801;483;981;563;1166
174;362;220;443;301;616;396;796;473;981;571;1158
174;371;213;445;307;618;394;804;474;981;569;1158
176;369;213;452;299;626;387;803;483;980;561;1160
182;361;215;450;299;625;388;802;483;981;563;1166
174;364;221;443;306;618;394;803;474;981;571;1158
176;369;213;453;299;626;386;803;476;981;569;1158
181;362;214;452;299;626;386;803;483;981;561;1158
174;362;215;443;301;623;389;796;481;980;571;1158
174;364;221;443;308;616;394;804;474;981;570;1159
174;369;214;445;299;626;387;803;476;981;561;1160
180;362;214;450;299;626;386;801;483;981;563;1165
173;362;220;443;301;624;389;796;482;981;571;1159
174;364;213;443;306;618;394;803;474;980;570;1158
