0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
93;191;96;202;100;208
92;191;96;200;101;209
92;192;97;200;100;208
93;193;97;200;101;208
93;192;96;202;101;208
93;192;97;200;101;209
92;191;96;200;100;207
100;194;96;200;101;208
92;191;104;202;101;215
93;191;97;199;107;210
93;199;96;200;100;208
100;193;96;200;100;207
92;191;104;201;101;214
92;191;96;200;108;210
92;199;97;199;100;208
92;193;96;199;101;208
93;191;97;202;101;208
93;191;98;199;101;210
92;191;97;199;100;208
92;193;96;200;101;208
93;191;96;202;100;208
92;191;96;200;101;210
92;198;97;200;100;208
99;193;96;207;100;208
93;191;103;202;100;215
92;192;96;200;101;209
92;191;97;199;100;207
100;194;97;199;101;208
93;191;96;202;100;207
92;191;97;200;100;210
93;191;97;200;102;207
93;193;97;200;100;207
93;192;97;201;100;208
92;192;98;200;100;210
92;191;96;200;100;208
92;194;97;200;101;208
92;192;97;201;101;208
93;191;98;200;101;210
92;192;96;200;101;208
100;193;97;207;101;207
92;192;104;201;101;215
93;191;97;200;108;209
92;199;96;200;101;207
100;193;96;207;100;207
93;192;104;202;101;215
93;192;97;199;108;210
93;199;96;200;101;207
100;193;96;207;101;207
92;191;104;201;100;214
93;191;97;200;108;209
92;199;96;200;101;208
100;193;97;207;101;207
92;192;104;202;101;215
92;191;96;199;108;210
92;199;97;199;101;208
100;193;96;207;100;207
92;191;104;202;101;214
93;191;97;200;108;209
92;199;96;199;101;207
100;193;97;207;101;208
92;191;104;202;100;215
93;191;97;199;108;210
92;199;97;200;101;207
100;193;97;207;100;208
92;192;103;202;101;214
93;191;97;200;108;209
92;199;97;200;100;208
100;193;97;207;100;208
92;192;104;202;101;215
92;191;97;200;108;209
92;199;96;200;100;207
99;194;97;207;100;207
92;192;105;202;101;215
92;191;97;200;108;209
92;199;96;199;100;208
100;194;97;207;101;208
92;192;104;200;101;215
92;192;96;199;100;208
92;198;97;199;100;208
94;192;97;208;101;207
92;192;98;200;100;215
92;192;96;200;107;208
93;199;96;199;101;207
99;191;96;207;101;207
93;192;104;199;101;215
92;192;97;200;108;207
92;199;97;200;101;208
94;191;96;207;101;208
92;192;98;199;100;217
92;191;97;200;103;207
93;199;96;200;101;207
94;192;97;207;101;207
92;192;99;200;100;210
92;192;96;200;100;207
100;193;96;200;100;207
92;192;97;201;100;207
92;191;98;200;100;209
93;191;96;200;103;207
93;193;97;200;100;207
92;192;97;202;101;208
93;192;98;199;101;210
92;191;97;200;100;208
92;193;96;200;100;208
92;191;103;202;100;215
92;191;96;200;101;209
92;191;97;199;102;208
92;193;97;199;101;208
93;191;97;202;101;208
92;192;96;199;100;209
92;191;97;200;100;208
92;193;97;199;101;208
92;192;97;202;101;207
93;192;96;200;108;209
92;192;97;200;100;208
99;194;97;200;101;207
92;191;104;202;101;207
92;192;97;200;101;209
92;192;96;200;101;207
92;194;97;200;101;207
92;192;104;202;101;207
93;191;97;200;108;210
93;192;96;200;101;208
101;193;96;207;100;208
93;191;104;202;100;214
92;191;96;200;108;210
93;199;96;199;100;208
99;193;96;207;101;208
93;191;104;202;100;215
92;191;96;200;107;210
92;200;97;200;101;208
99;194;97;207;101;207
92;192;104;202;101;215
92;191;97;200;108;209
92;199;97;199;101;207
99;193;97;207;100;207
93;191;104;202;100;215
92;191;96;200;107;210
93;199;96;200;100;208
92;193;96;199;101;208
93;191;103;202;100;214
92;191;96;200;100;209
93;191;97;200;101;207
100;193;96;207;100;207
92;191;105;201;100;215
92;191;98;200;100;210
92;192;96;200;100;207
99;193;97;207;101;208
92;191;96;202;100;207
92;191;97;199;100;210
93;191;96;199;100;208
92;193;96;200;100;207
93;191;104;202;100;215
93;192;97;200;108;209
93;199;97;200;101;207
100;193;97;200;101;208
92;192;103;202;100;207
93;191;97;200;100;209
92;192;97;200;101;207
93;194;97;200;100;208
92;192;97;201;100;207
92;191;99;200;100;209
92;192;96;200;101;207
93;193;96;200;101;208
93;191;96;201;100;208
93;191;98;200;101;210
92;192;97;199;100;208
100;194;96;199;100;208
93;192;104;202;101;215
92;191;96;200;108;209
92;191;97;200;100;208
92;194;97;200;101;207
92;191;97;202;101;208
93;192;99;200;101;209
92;192;96;200;100;207
92;194;96;200;100;207
92;192;97;202;100;207
92;192;97;200;100;210
93;191;96;200;101;207
92;194;97;200;101;207
92;192;97;202;101;208
92;192;97;199;108;210
92;192;96;200;100;208
100;194;97;200;101;208
93;191;96;202;100;207
92;191;97;199;100;210
93;191;97;200;100;208
101;193;96;200;100;207
92;192;97;202;101;207
93;191;97;200;100;209
93;192;96;200;101;207
99;194;97;207;100;207
92;192;104;202;101;215
92;192;96;200;107;210
92;200;97;199;100;208
99;194;97;206;101;207
92;192;104;200;101;215
92;191;96;200;108;208
92;199;97;200;100;208
93;192;97;207;100;207
92;192;104;202;101;215
92;192;97;200;108;209
93;199;97;200;100;207
100;193;97;207;100;207
92;192;104;201;100;215
93;192;97;200;108;209
93;191;96;200;101;207
93;193;96;199;100;207
93;191;96;201;100;208
92;192;96;199;100;209
92;192;97;200;100;208
93;193;97;200;100;208
92;192;97;202;100;215
92;192;97;200;108;209
92;198;97;200;101;208
99;193;96;208;101;208
93;192;103;202;100;215
92;192;97;200;108;209
93;199;97;200;101;207
100;193;97;207;101;207
92;192;104;201;100;215
93;192;97;200;108;209
93;199;97;200;101;207
100;193;97;200;100;207
92;191;97;202;100;208
92;192;99;200;101;209
93;192;97;200;101;208
92;194;97;200;100;208
92;191;96;202;100;207
92;191;99;200;100;210
92;191;96;200;101;207
92;193;96;199;100;208
92;192;97;202;100;208
93;192;98;200;101;209
92;191;97;200;100;208
92;194;97;199;101;208
92;191;97;201;100;216
92;191;96;200;107;209
92;191;97;200;100;207
93;193;96;200;100;208
93;191;97;201;100;207
92;191;99;200;100;210
93;191;96;199;100;208
93;193;97;199;101;208
92;191;96;201;100;214
93;191;96;199;100;210
92;192;97;200;100;208
92;194;96;199;101;207
93;191;97;201;100;207
92;192;99;200;100;210
93;192;96;200;100;208
92;194;96;199;101;207
92;191;96;202;100;207
92;191;99;199;100;209
93;192;96;200;101;207
92;194;97;200;100;207
92;192;97;202;101;207
93;191;99;200;101;209
92;192;97;200;101;207
92;194;97;200;100;207
92;191;97;202;100;208
93;192;98;200;100;209
92;192;97;200;100;208
100;194;96;200;100;207
92;192;104;202;101;215
92;191;96;200;108;209
93;193;97;209;100;215
93;192;96;200;103;207
92;199;97;200;100;208
95;191;96;208;100;207
93;191;99;200;101;217
93;191;97;199;101;207
92;199;97;200;101;207
92;192;97;207;101;207
92;192;104;200;101;215
92;191;96;199;108;210
92;199;96;199;100;208
100;193;96;207;100;207
93;191;104;201;100;215
92;191;96;200;107;209
92;191;96;199;100;208
93;193;97;200;101;208
93;191;96;202;100;207
92;192;97;200;101;209
93;192;97;200;101;207
100;193;97;200;100;207
92;192;96;202;100;208
93;192;97;200;101;209
92;191;97;199;100;208
92;193;96;200;100;208
93;191;96;201;101;208
92;191;97;200;100;210
93;191;96;200;101;207
93;193;96;200;100;207
92;191;97;201;100;207
92;192;97;200;101;209
92;192;97;200;100;208
92;194;97;199;101;208
93;191;97;202;100;208
92;191;99;200;100;210
93;192;97;200;100;207
92;194;97;199;100;207
92;191;97;202;101;208
93;192;96;200;100;209
92;192;96;200;101;208
99;194;97;199;101;208
92;192;97;202;101;208
92;191;98;200;100;209
93;192;96;200;101;207
100;193;97;200;100;207
92;192;104;201;100;215
93;192;97;200;108;210
92;199;96;199;100;208
99;194;96;207;100;207
93;191;103;202;100;216
93;191;97;199;107;210
93;198;97;200;101;207
100;193;96;200;100;207
92;192;96;202;101;207
93;192;97;200;100;209
92;192;97;199;101;208
92;194;97;199;101;208
92;191;97;202;100;208
92;191;97;199;100;210
93;191;96;200;100;207
93;194;97;200;101;208
93;191;96;202;100;208
93;192;96;200;101;209
92;192;97;199;100;208
92;193;97;200;101;208
92;191;97;201;100;215
92;191;97;200;100;210
93;191;97;199;101;207
93;194;96;200;100;207
92;192;97;202;101;208
92;191;98;200;101;210
92;192;97;199;100;207
92;194;96;200;101;208
93;191;104;202;100;207
92;191;97;200;100;209
93;192;96;200;101;207
93;193;97;200;100;207
92;192;97;202;101;207
92;192;97;199;101;209
93;191;97;200;100;208
99;193;96;207;101;208
93;192;103;202;100;214
93;191;97;200;108;209
92;199;97;200;101;207
99;193;97;207;101;208
92;192;96;201;101;208
92;192;96;199;101;209
92;191;97;200;100;208
92;194;96;199;101;208
92;191;97;201;100;208
92;192;96;200;100;210
92;192;97;199;100;207
92;193;96;199;100;207
92;191;96;202;100;207
92;192;98;200;100;210
93;191;97;200;101;207
93;194;96;200;100;207
92;192;97;202;101;207
93;192;96;200;101;210
92;191;97;200;101;207
93;194;97;200;100;208
92;192;97;202;101;208
93;191;97;200;108;210
92;192;97;200;100;208
100;194;96;199;100;208
93;191;96;202;100;214
93;191;97;200;100;210
93;191;97;199;101;207
92;193;97;200;100;208
92;192;96;202;100;207
92;191;99;200;100;210
93;191;97;200;101;207
92;194;97;200;101;207
92;192;96;201;100;207
92;191;97;200;100;209
92;191;96;200;100;208
92;193;97;199;101;208
93;191;104;201;100;207
92;191;97;200;100;210
92;191;96;200;100;207
100;193;97;200;100;207
93;192;97;202;100;207
93;192;96;200;101;209
92;192;97;200;100;208
100;193;96;200;100;208
92;192;96;202;101;208
92;191;99;200;100;210
93;192;96;200;100;208
93;193;96;200;101;208
93;191;96;202;100;207
92;192;96;200;101;209
92;192;96;200;100;207
92;194;97;200;101;207
92;192;96;202;101;207
92;192;96;200;108;209
92;191;96;200;100;208
93;193;96;200;100;207
92;192;97;201;101;207
92;192;96;199;100;210
92;191;97;200;101;208
100;194;96;200;101;208
93;191;96;201;101;208
92;191;97;200;100;210
92;191;97;199;100;208
92;193;96;199;100;207
93;191;97;202;100;208
92;191;97;200;100;209
92;192;96;200;100;208
99;193;96;207;101;208
93;191;104;202;100;215
93;191;97;200;108;209
93;199;97;200;100;208
100;194;96;200;100;208
93;191;96;202;100;214
92;191;97;200;107;209
93;199;97;200;101;208
100;193;96;207;101;208
93;191;104;202;100;214
92;192;97;199;101;210
93;192;96;200;101;207
92;194;96;200;101;208
92;191;96;202;100;208
93;191;96;199;100;210
92;191;96;199;101;208
92;193;97;200;101;208
93;191;96;202;100;208
92;191;96;200;100;210
93;191;97;200;101;207
93;193;96;200;100;207
93;191;97;202;100;207
93;191;96;200;100;210
92;191;96;200;101;207
100;193;97;207;100;208
92;192;103;202;101;215
92;192;96;200;108;210
92;199;97;199;100;208
100;191;96;207;100;208
92;191;104;200;101;215
92;191;97;200;108;209
92;199;96;200;100;207
99;194;97;207;100;207
92;191;104;201;100;215
92;191;97;200;100;209
93;192;97;200;101;208
100;194;97;199;100;208
93;192;104;201;101;214
92;192;97;200;100;209
92;192;97;200;100;207
92;193;97;199;101;208
93;191;97;201;100;207
93;191;97;200;100;209
93;191;97;200;100;207
101;193;97;207;101;208
92;192;104;202;100;215
92;192;97;200;101;210
92;191;96;199;100;208
100;194;97;207;101;207
93;191;103;201;100;215
93;191;97;199;107;210
93;199;96;200;101;208
100;193;96;207;101;207
92;192;104;202;101;215
92;191;96;200;108;210
93;199;97;200;101;207
99;194;97;207;101;208
92;192;97;202;100;208
92;191;97;200;100;210
93;191;96;200;100;207
92;193;97;200;101;207
92;192;104;202;101;215
92;192;97;200;108;209
92;199;97;200;100;208
100;193;97;207;101;208
92;192;105;202;101;215
92;192;97;200;101;209
92;192;97;200;100;208
92;194;97;199;101;208
93;191;97;201;101;208
92;191;96;199;100;210
92;191;96;199;100;207
100;194;96;208;100;208
93;191;104;201;101;214
92;192;97;200;108;209
92;199;96;200;101;207
99;192;97;207;101;208
92;192;103;202;101;215
92;192;96;200;107;210
92;191;97;200;100;208
100;194;96;208;101;208
92;191;103;202;101;215
92;192;97;199;101;210
92;191;97;200;101;208
93;194;97;200;101;208
92;191;96;201;100;208
93;191;97;200;100;209
93;191;96;200;100;207
100;194;96;207;100;208
93;191;103;201;100;215
92;191;96;200;108;210
93;198;97;200;101;208
100;193;97;207;100;207
93;191;104;202;101;215
93;192;97;200;108;209
93;199;97;200;101;207
100;193;97;207;101;207
92;192;96;201;101;207
93;192;97;200;101;209
92;192;97;199;100;208
100;193;97;199;100;208
93;191;96;201;100;215
93;191;96;200;108;209
92;199;96;200;100;207
100;194;96;207;100;208
93;191;103;201;100;215
93;191;97;200;108;207
93;199;97;200;100;208
100;192;96;207;100;207
92;192;99;200;100;217
93;191;97;200;110;207
93;198;96;200;101;208
94;192;97;207;101;208
92;191;104;200;101;215
93;191;96;200;107;208
92;199;96;199;100;208
100;192;96;207;100;208
93;191;104;200;100;215
92;191;97;199;108;208
92;199;97;199;100;208
100;192;96;207;100;208
92;192;104;202;101;215
92;191;97;199;107;210
93;199;96;200;100;208
100;191;96;207;100;208
93;191;104;202;100;208
92;191;97;200;100;209
93;191;96;200;101;207
99;193;97;207;101;207
92;192;97;202;101;208
93;192;96;200;101;210
92;192;97;200;100;208
100;194;96;199;100;208
92;191;103;202;100;215
92;191;97;199;100;209
92;191;97;200;100;208
92;193;96;199;100;207
93;191;96;202;100;215
92;191;96;200;107;209
93;199;97;200;101;208
99;193;96;207;100;207
93;191;104;199;101;215
93;191;97;200;108;208
92;199;96;200;100;208
99;192;97;207;101;208
92;192;104;200;101;215
93;192;97;200;108;207
93;198;97;200;101;207
100;193;97;207;101;208
92;192;104;200;100;214
93;192;96;200;109;207
93;198;97;199;100;208
99;191;96;207;100;208
92;192;104;202;101;215
92;191;97;200;108;208
92;199;96;199;100;208
100;191;96;207;100;208
93;191;104;202;100;215
93;192;97;200;107;207
93;199;96;200;101;207
100;191;97;207;101;207
92;192;104;200;101;215
92;192;97;200;108;208
93;198;97;199;100;208
99;194;96;207;100;208
92;191;104;202;100;215
93;191;97;200;108;210
93;191;97;200;101;207
100;193;96;200;100;208
92;192;97;202;101;207
92;192;96;200;101;210
92;192;97;200;100;208
100;194;96;207;101;207
93;191;96;201;100;207
92;192;96;200;100;209
92;191;96;200;101;208
93;193;97;200;100;208
92;192;104;202;101;215
92;192;97;200;108;210
93;200;97;200;101;207
99;194;97;207;100;207
93;192;103;202;100;215
92;191;96;200;108;209
92;192;96;199;100;208
93;193;96;200;100;207
92;192;96;201;101;207
93;191;97;199;108;210
93;191;97;200;101;207
99;194;97;207;101;207
92;191;104;201;100;215
92;192;97;200;100;209
93;191;96;200;101;207
93;194;97;200;100;207
92;192;97;202;100;215
92;192;97;199;101;209
92;192;96;200;100;207
92;194;97;200;101;207
92;192;97;202;101;207
92;191;97;199;101;209
92;192;97;200;100;208
92;193;96;200;101;208
92;191;104;202;100;208
92;191;97;200;108;210
92;192;96;200;101;208
93;193;96;199;101;208
92;191;97;202;100;208
92;191;97;200;100;210
93;191;96;200;100;208
93;193;97;200;100;208
93;191;96;201;100;207
92;192;97;200;101;210
93;192;96;200;101;207
93;193;96;200;100;207
93;192;96;201;101;207
93;192;96;200;100;210
93;191;96;200;101;207
93;193;96;200;101;207
92;191;97;202;100;207
92;192;96;200;100;210
92;191;96;200;100;208
93;193;96;199;100;207
93;191;96;201;101;215
93;192;97;200;100;209
92;192;97;200;100;208
92;194;97;200;101;207
92;191;104;202;100;215
92;191;96;199;108;210
92;198;97;200;100;208
100;193;96;207;100;208
92;191;104;201;100;214
93;191;97;200;100;210
93;192;96;200;101;208
93;193;97;199;100;208
93;192;97;202;100;208
92;192;96;200;100;210
92;191;97;200;101;207
92;193;97;200;100;208
92;192;97;202;101;208
92;191;96;200;100;210
92;192;96;200;101;207
93;193;96;200;100;207
93;191;96;201;100;207
92;191;96;200;100;209
92;192;96;200;100;207
100;193;97;207;101;208
92;192;96;201;101;208
92;191;96;200;107;209
93;191;96;199;100;208
92;193;97;200;101;208
93;191;96;202;100;207
92;191;96;199;100;210
93;191;96;200;100;207
93;193;97;200;100;208
92;192;97;202;101;207
93;191;96;199;100;209
92;191;97;199;100;207
92;193;96;200;101;207
93;191;97;202;101;207
93;191;97;200;100;209
92;192;96;200;101;207
93;194;97;200;100;207
92;191;97;202;101;208
92;192;97;200;100;209
93;191;96;200;101;207
93;193;96;200;100;207
92;191;96;201;100;207
93;191;97;199;101;210
93;191;97;199;100;207
100;194;96;200;101;208
93;191;103;202;100;215
92;192;96;200;100;209
92;191;97;200;100;208
92;193;96;200;100;207
92;192;96;202;100;208
92;191;97;200;100;209
92;191;96;200;101;208
99;194;97;199;101;208
93;191;97;202;101;207
92;192;97;200;100;209
93;191;96;200;101;207
92;193;97;200;100;207
92;191;104;201;101;208
93;192;96;200;101;210
92;192;97;200;101;207
100;193;97;207;101;208
93;191;104;200;101;216
92;191;97;199;107;208
93;199;96;200;100;207
100;193;96;207;101;207
92;192;104;199;100;215
92;192;97;200;108;209
92;199;97;199;100;208
100;193;96;207;100;208
93;191;104;202;100;214
93;191;96;199;108;208
92;198;96;199;101;208
94;191;97;209;100;207
92;192;104;200;101;217
92;191;97;199;109;208
92;199;96;200;100;208
100;192;96;207;100;208
92;192;103;202;100;215
92;191;96;200;100;209
92;192;96;200;100;208
92;194;96;200;101;207
92;191;96;202;100;208
93;191;96;199;100;210
92;191;97;199;101;208
93;193;96;200;100;207
