0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
94;195;104;201;99;207
94;194;97;201;101;205
94;196;97;201;100;206
96;194;97;203;99;205
94;194;99;201;100;208
94;195;97;201;101;206
94;196;97;201;100;205
93;194;97;203;100;206
94;194;99;201;100;208
94;195;97;201;102;206
94;197;98;201;100;205
101;195;97;210;100;205
94;195;105;201;100;215
93;194;97;201;107;205
94;196;97;201;100;206
101;194;97;210;99;206
94;194;104;201;100;215
94;195;97;201;101;206
93;196;97;201;99;205
96;195;97;203;99;205
94;195;99;201;100;215
94;194;97;201;107;206
93;204;97;201;100;205
101;195;97;210;100;206
94;195;105;201;100;215
94;195;97;201;107;205
93;204;98;201;100;205
94;195;97;208;99;205
94;194;97;201;99;213
94;194;97;201;99;206
95;194;97;203;99;206
94;194;100;201;99;208
94;195;98;201;101;206
94;196;97;201;99;206
96;194;97;203;99;206
94;195;99;201;99;207
94;194;98;201;101;206
94;197;97;201;99;206
96;195;97;203;100;206
94;194;99;201;99;208
94;195;97;201;102;206
94;197;97;201;100;205
95;194;98;203;99;206
94;195;99;201;99;208
94;195;97;201;102;206
94;197;98;201;100;205
101;194;97;203;100;205
94;195;105;201;99;215
94;194;97;201;101;205
94;197;98;201;99;206
96;194;97;203;99;206
94;195;99;201;99;208
94;194;97;201;101;206
94;197;97;201;100;205
101;195;97;203;100;205
94;194;99;201;99;215
93;195;97;201;102;205
93;196;97;201;100;205
101;194;97;210;99;206
94;194;104;201;99;215
94;194;97;201;106;205
94;203;97;201;99;205
101;195;97;211;99;206
94;195;105;201;100;214
93;195;97;201;100;205
94;204;97;201;100;205
94;194;98;210;99;205
94;194;97;201;100;213
94;195;97;201;107;206
94;204;98;201;99;206
101;194;97;211;100;205
94;194;105;201;100;214
94;194;97;201;107;206
94;203;97;201;99;215
95;195;97;201;107;206
94;196;97;200;99;206
93;194;97;201;107;206
94;203;97;201;99;205
101;194;97;211;100;206
94;195;105;201;99;215
94;195;97;201;107;205
93;203;97;201;99;205
101;195;97;210;100;205
94;194;105;201;99;215
94;194;97;201;106;205
94;203;97;201;99;205
101;195;97;210;100;206
94;195;105;201;99;215
94;194;98;201;102;206
94;197;97;201;100;205
96;195;97;203;100;205
94;195;105;201;100;215
93;195;97;201;102;205
94;196;97;201;100;206
101;194;97;210;99;205
93;195;104;201;99;215
94;194;97;201;107;205
94;203;97;201;100;205
101;195;97;210;99;205
94;194;104;201;99;214
94;194;97;201;106;205
94;204;97;201;99;206
96;194;97;203;99;205
94;194;99;201;100;207
94;194;97;201;101;206
94;196;97;201;99;206
96;195;97;203;100;206
94;195;99;201;100;207
94;194;97;201;102;205
94;196;98;201;99;206
96;194;97;203;100;206
94;194;99;201;99;207
94;194;98;201;102;206
93;196;97;201;100;205
96;195;97;203;100;206
94;194;99;201;99;207
94;195;97;201;101;206
94;196;98;201;99;205
96;194;98;203;100;206
94;195;99;201;99;208
94;194;97;201;102;205
94;196;97;201;100;206
103;195;97;203;99;205
94;195;99;201;99;208
94;194;97;201;101;206
94;197;97;201;100;205
103;194;97;203;99;206
94;194;99;201;100;208
94;195;97;201;101;205
94;196;97;201;100;206
96;195;97;203;99;206
94;195;99;201;100;216
94;194;97;201;106;206
94;204;97;201;99;205
101;194;98;210;100;205
94;195;105;201;99;215
94;195;97;201;107;206
94;204;97;201;100;205
101;194;97;210;99;205
94;194;104;201;99;215
94;194;97;201;108;205
94;196;97;201;99;205
96;194;98;203;99;205
93;194;99;201;99;207
94;194;97;201;102;205
94;196;97;201;100;206
96;194;98;203;99;206
94;195;99;201;99;208
94;195;97;201;101;205
94;196;97;201;99;206
101;194;97;210;99;205
94;194;99;201;99;214
94;195;97;201;102;206
94;204;97;201;100;205
101;195;97;210;100;205
94;195;105;201;100;215
94;195;97;201;107;206
94;203;97;201;99;205
101;194;98;211;100;206
94;195;105;201;99;214
94;194;97;201;107;205
93;203;98;201;100;205
101;194;97;211;100;206
94;195;104;201;99;214
94;194;97;201;107;206
94;203;97;201;99;206
101;194;97;210;100;206
94;195;105;201;100;215
94;194;97;201;106;206
94;203;98;200;99;206
101;194;97;210;100;205
94;195;106;201;99;208
94;195;98;201;101;206
94;196;97;201;100;206
96;194;97;211;100;205
94;195;106;201;99;215
94;194;97;201;106;206
94;197;97;201;99;205
101;194;98;211;99;206
94;194;105;201;100;215
94;194;98;201;107;206
94;204;97;201;100;205
101;194;97;210;100;205
93;195;104;201;100;215
94;195;97;201;107;205
94;203;98;201;99;205
101;195;97;210;100;206
94;195;104;201;99;214
94;195;97;201;107;206
94;204;97;201;99;205
101;194;97;211;100;206
94;194;105;201;99;214
94;194;97;201;109;205
94;196;98;201;100;205
95;194;97;203;100;205
94;194;99;201;99;208
94;194;97;201;101;206
94;197;98;201;99;205
101;195;97;210;100;206
94;194;104;201;99;215
94;195;97;201;106;206
93;203;97;201;99;205
101;195;98;210;99;205
94;194;104;201;100;215
94;194;97;201;106;206
94;203;97;201;99;206
101;195;97;210;99;205
94;194;105;201;100;215
94;194;97;201;106;206
94;203;97;201;99;206
102;195;98;210;99;205
94;194;100;201;99;208
93;195;97;201;102;205
94;197;98;201;100;205
103;194;97;203;99;206
94;195;99;201;99;207
94;195;97;201;101;205
94;196;97;201;100;206
96;195;97;203;100;206
94;194;99;201;100;208
94;194;97;201;102;205
94;196;97;201;99;206
96;195;97;203;99;206
94;195;99;201;99;207
94;194;97;201;108;206
94;196;97;201;100;206
96;194;97;203;100;206
94;194;100;201;99;207
94;195;97;201;102;206
93;197;97;201;100;206
103;194;97;203;100;206
93;195;99;201;100;208
94;195;97;201;101;205
94;197;97;201;99;206
103;194;97;210;99;205
94;194;99;201;100;208
94;194;97;201;102;206
94;197;97;201;99;206
103;195;98;203;99;205
94;194;105;201;100;215
94;194;98;201;109;206
94;204;97;201;100;206
101;194;97;203;99;205
94;194;104;201;99;215
94;194;97;201;109;206
94;197;97;201;99;206
101;194;97;203;100;206
94;194;106;201;100;215
94;194;97;201;107;206
94;196;97;201;99;206
103;194;97;210;99;206
93;194;107;201;99;208
94;194;97;201;110;206
94;203;97;201;99;205
101;194;97;210;99;205
94;194;104;201;100;215
94;194;97;201;107;205
93;203;97;201;100;205
101;194;97;210;100;205
94;194;104;201;99;216
93;195;98;201;107;206
93;203;97;201;99;206
94;194;97;210;99;205
94;195;97;201;100;214
94;194;97;201;99;205
94;203;97;201;99;205
93;194;97;210;99;205
94;194;97;201;100;206
94;196;98;201;99;205
96;194;97;203;99;205
94;194;99;201;100;207
94;194;98;201;102;205
93;197;97;201;100;205
103;195;97;203;100;205
94;194;99;201;99;207
94;194;97;201;106;206
94;203;97;201;99;205
101;195;97;210;99;206
93;194;104;201;99;215
94;195;97;201;106;206
94;204;97;201;100;205
102;195;97;210;99;206
94;194;104;201;99;215
94;195;97;201;107;205
93;204;97;201;100;205
101;195;97;210;99;205
93;194;105;201;99;214
94;195;97;201;109;206
94;196;97;201;99;205
103;195;98;203;100;206
94;195;99;201;100;215
94;195;97;201;109;205
94;197;97;201;99;205
101;194;98;210;99;205
94;195;99;201;99;208
94;195;97;201;101;206
93;196;97;201;100;205
103;195;97;210;99;205
94;194;104;201;99;214
94;194;97;201;107;206
94;203;98;201;99;205
102;195;98;210;100;206
94;194;99;201;99;207
94;194;97;201;108;206
94;204;97;201;100;205
101;194;97;210;99;205
93;195;104;201;100;214
94;195;98;201;107;206
94;204;97;201;100;205
101;195;97;211;100;206
94;195;104;201;99;215
94;194;97;201;106;206
94;203;97;201;99;205
101;195;97;210;99;205
94;194;104;201;99;215
94;194;98;201;99;205
94;204;97;201;100;206
94;195;97;210;100;205
94;195;104;201;99;215
94;194;97;201;106;206
94;203;97;201;99;206
101;195;97;210;99;205
94;194;104;201;100;215
94;195;97;201;110;206
93;196;97;201;99;206
96;195;97;202;99;206
94;194;99;201;100;207
94;194;97;201;101;206
93;196;98;201;100;205
103;194;97;210;99;206
94;195;104;201;99;216
94;194;97;201;107;206
94;204;97;201;99;205
103;195;97;210;99;206
94;194;106;201;100;215
94;194;97;201;108;206
94;197;97;201;99;206
103;195;97;210;99;205
94;195;106;201;100;215
93;194;98;201;101;206
94;197;98;201;99;205
95;194;97;203;99;206
94;195;99;201;99;215
93;194;97;201;109;205
93;204;97;201;99;206
104;194;97;210;99;206
94;194;99;201;99;208
94;195;97;201;101;206
94;196;97;201;100;206
96;194;97;203;100;206
94;195;99;201;100;208
94;194;97;200;101;205
94;197;97;201;100;206
96;194;97;203;99;206
94;195;99;201;100;208
94;195;98;201;101;206
93;196;97;201;100;205
96;194;97;203;100;205
94;195;99;201;100;208
94;194;97;201;101;206
94;197;97;201;99;205
96;195;97;203;100;206
94;194;99;201;100;208
94;195;97;201;102;206
94;197;98;201;100;205
103;194;97;203;99;206
94;195;99;201;99;207
94;195;97;201;102;206
94;196;97;201;99;206
95;195;97;203;100;205
94;195;99;201;99;208
94;194;97;201;108;205
94;196;97;201;99;205
96;194;97;203;100;206
94;195;100;201;99;208
93;194;97;201;101;206
93;196;98;201;100;205
95;194;97;203;100;206
94;194;99;201;99;207
93;194;97;201;101;205
94;196;97;201;100;206
95;194;97;203;100;205
94;195;99;201;100;207
94;195;97;201;102;205
94;196;97;201;100;205
95;194;97;203;99;205
94;194;99;201;99;207
94;194;97;201;102;205
94;196;97;201;99;205
96;195;98;203;100;206
94;194;99;201;100;207
94;194;97;201;101;206
94;194;97;201;99;205
96;195;97;203;99;205
93;194;106;201;99;208
93;195;97;201;109;206
94;197;97;201;100;206
103;194;98;210;100;205
94;195;99;201;100;208
94;195;97;201;109;205
94;197;97;201;100;205
96;194;97;203;99;206
94;194;100;201;99;208
93;195;97;201;101;205
94;196;97;201;100;205
95;194;97;203;99;206
94;195;100;201;100;207
94;194;97;201;101;206
93;197;97;201;100;205
104;194;97;210;99;206
94;194;104;201;99;215
94;195;97;201;107;205
94;203;97;201;100;205
101;194;97;210;99;205
94;194;105;201;99;214
94;195;97;201;107;206
94;204;98;201;99;205
101;194;97;210;99;206
94;194;104;201;99;215
94;194;97;201;106;206
94;203;97;201;99;205
101;194;97;210;99;205
94;195;97;201;100;215
94;195;97;201;100;205
94;204;97;201;99;206
93;194;97;210;99;205
94;194;97;201;99;215
94;194;97;201;99;206
94;201;97;201;100;206
94;194;97;211;100;206
94;194;97;201;99;214
94;195;97;201;99;206
93;194;97;202;99;206
94;194;100;201;100;208
94;194;98;201;102;206
93;196;97;201;100;205
103;194;97;203;99;206
94;194;99;201;99;208
94;194;97;201;101;206
94;197;97;201;100;205
96;194;97;203;100;205
94;194;99;201;99;207
94;194;97;201;101;206
94;196;97;201;100;205
96;195;97;203;100;206
94;194;99;201;100;208
94;194;97;201;102;206
93;197;97;201;100;205
103;194;97;203;100;206
93;195;99;201;100;207
94;195;97;201;108;206
94;196;97;201;99;206
103;195;97;211;99;205
94;194;106;201;99;215
94;194;97;201;107;206
94;204;97;201;99;206
101;194;97;210;100;205
94;194;105;201;100;215
94;195;98;201;99;205
94;203;97;201;100;206
102;194;97;210;99;205
94;194;97;201;99;215
94;195;97;201;99;205
94;203;97;201;100;206
94;195;97;210;99;205
94;194;97;201;99;215
94;194;97;201;100;205
93;204;97;201;99;205
101;195;97;210;99;205
94;194;97;201;99;215
94;195;97;201;100;205
93;204;97;201;100;205
93;194;97;210;99;205
94;194;98;201;99;206
94;196;97;201;99;206
96;195;97;203;99;206
94;195;99;201;99;208
94;194;97;201;101;206
94;197;97;201;99;206
96;194;97;203;100;205
93;194;106;201;100;215
94;194;97;201;108;206
94;203;97;201;99;205
103;194;97;210;100;205
94;195;107;201;100;215
94;194;98;201;109;205
94;204;97;201;100;205
104;195;97;210;100;206
94;195;105;201;100;214
93;194;98;201;107;205
93;203;97;201;100;205
101;194;97;210;99;205
94;194;105;201;100;215
94;194;97;201;106;206
94;204;97;201;99;205
101;195;98;211;100;206
94;194;104;201;99;215
94;194;97;201;106;206
94;203;97;201;99;205
94;194;97;210;100;208
94;194;97;201;100;206
94;194;97;201;99;215
93;204;97;201;99;205
94;194;98;211;100;206
94;194;97;201;100;215
94;194;97;201;99;205
94;203;97;201;99;206
94;194;97;211;99;206
94;194;97;201;100;206
94;194;97;201;99;206
96;195;97;203;100;206
94;194;99;201;99;207
94;194;97;201;101;206
94;196;97;201;99;206
94;194;97;211;100;206
94;194;104;201;99;215
93;194;97;201;106;205
94;204;97;201;100;205
94;194;97;210;99;206
94;195;97;201;100;215
94;194;97;201;107;206
94;203;97;201;100;206
101;194;97;210;99;206
94;194;105;201;100;215
94;194;97;201;107;205
94;204;97;201;99;205
101;195;97;211;100;206
94;194;105;201;100;215
94;195;97;201;100;206
94;204;98;201;99;205
94;194;98;211;100;206
94;195;97;201;100;214
94;195;97;201;99;205
94;203;97;201;99;206
101;194;97;210;99;205
94;195;104;201;99;216
93;194;97;200;106;206
94;204;97;201;100;205
101;195;97;210;99;205
93;194;98;201;100;215
94;194;97;201;106;205
94;203;97;201;99;205
94;194;98;210;99;206
94;195;97;201;100;215
94;194;98;201;99;206
94;204;97;201;100;205
94;194;98;210;99;206
93;194;104;201;99;215
94;194;98;201;106;206
94;203;97;201;99;205
102;194;97;210;100;205
94;195;107;201;100;215
94;194;98;201;109;205
94;203;97;201;99;205
103;194;97;211;100;206
94;194;99;201;99;214
94;194;97;201;102;206
94;196;97;201;99;205
103;195;98;203;100;206
94;194;107;201;100;214
93;194;98;201;109;206
94;197;97;201;99;206
103;194;97;203;100;205
94;194;106;201;100;215
94;194;97;201;109;206
94;197;97;201;100;206
103;194;97;211;100;206
94;195;106;201;100;215
94;194;97;201;109;206
94;203;98;201;100;206
103;194;97;203;99;206
94;194;99;201;99;207
94;194;97;201;101;205
94;196;97;201;100;206
103;195;97;203;99;205
93;194;99;201;99;207
94;195;97;201;102;205
94;196;97;201;99;205
103;194;97;203;99;206
94;195;106;201;100;215
94;194;97;201;102;205
93;204;97;201;99;205
103;194;97;210;99;205
94;195;106;201;99;207
94;194;97;201;108;206
94;203;97;201;100;206
103;195;98;203;100;206
94;194;97;201;99;205
94;194;97;201;99;206
101;195;106;201;99;214
94;194;97;201;99;206
94;194;97;201;99;216
94;194;97;201;99;206
94;194;97;201;99;205
101;194;97;210;99;205
94;194;97;201;99;215
93;194;97;201;100;206
94;204;97;201;100;206
94;194;97;211;100;205
94;194;97;201;101;206
94;195;97;201;99;206
96;194;97;203;99;205
93;194;106;201;100;214
94;194;97;201;109;205
94;196;97;201;99;206
103;194;97;211;99;206
94;195;106;201;100;214
93;195;97;201;109;205
94;203;97;201;99;205
103;195;97;210;99;205
94;194;107;201;100;215
94;195;98;201;109;205
93;203;98;201;100;206
101;194;97;211;100;206
94;195;104;201;99;215
94;194;97;201;107;206
94;204;97;201;99;206
101;195;97;210;99;205
94;195;97;201;100;215
94;195;98;201;100;205
94;203;97;201;99;206
94;194;97;210;100;206
94;194;97;200;100;215
94;194;97;201;108;206
94;204;97;201;100;206
101;195;97;210;100;206
94;195;106;201;100;216
94;194;97;201;106;206
94;203;97;200;99;206
101;194;97;210;99;206
94;194;104;201;99;215
94;194;97;201;107;206
94;203;97;201;99;205
101;194;97;211;99;206
94;194;105;201;100;215
94;194;98;201;107;206
94;204;97;201;100;206
101;194;97;211;100;205
94;194;97;201;100;215
94;195;97;201;107;205
94;203;97;201;99;205
102;194;97;210;99;205
94;194;104;201;99;215
93;194;97;201;106;205
93;203;97;201;100;206
101;194;97;210;100;206
94;194;104;201;100;215
94;194;97;200;106;206
94;204;97;201;99;206
101;194;97;211;100;205
94;195;105;201;100;215
93;194;97;201;109;205
94;203;97;201;100;206
101;195;97;210;99;205
94;194;106;201;100;215
94;194;97;201;109;206
94;203;97;201;99;205
101;194;97;210;99;206
94;194;104;201;100;215
94;195;98;201;106;205
93;204;97;201;99;206
102;194;97;210;100;205
93;194;105;201;99;215
94;195;97;201;107;206
94;204;97;201;100;205
101;194;98;210;99;205
93;194;104;201;99;215
94;194;97;201;107;206
94;203;97;201;99;206
101;195;97;211;99;205
94;194;97;201;99;215
94;194;97;201;99;206
94;204;97;201;99;205
94;194;97;211;100;206
94;195;105;201;100;215
93;194;98;201;107;205
93;203;97;201;100;206
101;194;98;210;100;205
94;194;105;201;100;214
94;194;97;201;106;206
94;204;97;201;99;205
101;194;98;210;99;205
93;194;104;201;100;214
94;194;97;201;99;206
93;203;98;201;99;205
94;195;97;210;100;206
94;195;97;201;100;215
94;195;97;201;99;206
94;203;97;201;100;206
94;194;97;210;99;206
94;195;97;201;100;215
94;194;97;201;99;206
94;204;97;201;100;206
94;194;97;210;99;205
94;194;97;201;101;206
94;194;97;201;99;205
96;194;98;202;99;205
94;195;99;201;100;216
94;195;98;201;109;206
94;204;97;201;100;206
103;194;97;203;99;206
94;195;99;201;99;207
94;195;98;201;101;206
94;196;97;201;99;205
96;194;98;202;100;206
94;195;107;201;100;215
94;194;97;201;109;205
94;204;97;201;100;206
103;194;97;210;99;205
94;194;99;201;99;208
94;194;97;201;109;206
94;203;97;201;99;206
104;195;97;210;99;206
94;195;105;201;100;215
