0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
83;180;85;177;86;179
83;175;85;177;85;178
86;174;85;184;86;178
84;173;92;179;86;179
83;173;87;177;86;187
83;174;85;177;93;181
84;174;85;177;88;179
83;181;85;177;86;179
90;175;85;177;86;179
85;174;85;184;86;179
83;174;85;178;86;178
84;173;87;177;86;185
83;174;85;176;94;180
83;173;85;176;88;179
84;181;85;177;86;179
90;176;85;177;86;179
85;174;85;184;86;179
83;174;85;179;86;179
84;174;87;177;86;186
83;174;85;177;86;181
83;174;85;177;87;179
83;181;85;177;86;179
91;176;85;176;86;179
85;174;85;184;86;179
83;173;92;179;86;179
83;173;86;177;86;186
84;174;85;177;93;181
84;173;85;177;88;179
84;176;85;176;86;178
84;173;85;184;86;178
83;173;85;179;86;178
84;173;92;179;86;178
83;174;85;176;85;181
83;173;85;176;86;179
83;180;85;176;86;179
84;176;85;176;86;178
84;173;85;184;86;178
84;174;85;179;86;178
83;173;87;177;86;186
83;174;85;177;93;181
83;174;85;176;88;178
83;180;85;177;86;178
84;175;85;176;86;178
84;175;85;177;86;178
86;173;85;178;86;179
83;174;86;177;86;186
83;174;85;177;86;180
83;174;85;177;88;179
83;181;85;177;86;179
83;176;85;177;86;179
84;173;85;184;86;178
84;173;85;179;86;179
83;174;93;178;86;179
83;174;87;177;86;180
84;174;85;177;88;178
83;181;85;176;86;179
90;175;85;177;86;179
85;174;85;178;86;179
83;174;85;177;86;186
83;173;85;177;86;180
83;174;85;177;86;179
84;181;85;177;86;179
83;176;85;177;86;179
83;173;85;184;86;178
83;174;85;179;86;179
83;174;85;177;86;186
83;174;85;176;86;181
83;174;85;177;93;179
83;180;85;176;86;178
83;175;85;177;85;178
83;173;85;184;86;178
83;174;85;179;86;179
84;173;87;177;86;186
83;174;85;177;93;180
83;173;85;177;88;178
83;180;85;177;86;178
90;175;85;176;86;178
86;173;85;184;86;178
84;173;85;178;86;178
83;173;87;177;86;181
83;173;85;176;88;178
84;181;85;176;86;179
91;175;85;177;86;179
85;173;85;184;86;179
83;174;92;179;86;179
83;174;87;177;86;186
83;174;85;177;86;180
84;173;85;177;86;179
84;181;85;177;86;179
83;175;85;176;86;179
83;173;85;184;86;179
83;174;86;179;86;179
83;174;85;177;86;186
84;173;85;177;86;180
84;173;85;177;86;179
83;180;85;176;86;179
83;176;85;177;86;179
84;173;85;184;86;179
83;173;85;179;86;178
84;173;85;177;86;186
84;174;85;177;86;181
83;174;85;177;86;179
84;181;85;177;86;179
83;175;85;177;86;179
83;174;85;184;86;179
83;174;85;179;86;179
83;173;87;176;86;186
84;173;85;177;94;181
84;174;85;177;88;179
83;182;85;177;86;179
90;176;85;177;86;179
85;173;85;184;86;178
83;173;85;179;86;179
83;173;85;176;86;186
84;173;85;177;86;180
83;173;85;177;86;179
84;180;85;177;88;179
83;181;85;177;86;179
91;175;85;177;86;179
86;173;85;184;86;178
84;173;92;179;86;178
83;174;87;176;86;185
83;174;85;176;86;181
83;174;85;176;86;179
83;182;85;177;86;178
83;175;85;177;86;179
84;174;86;184;86;179
83;173;85;178;86;179
83;174;86;177;86;186
84;174;85;177;86;180
84;174;85;177;86;179
83;180;85;177;86;179
83;175;85;177;86;179
90;175;85;177;85;178
84;173;85;179;86;179
83;173;85;177;86;186
83;174;85;177;86;181
83;174;85;177;86;178
83;181;85;177;86;179
83;176;85;177;86;178
91;175;85;177;86;179
85;174;85;179;86;178
83;174;85;177;86;186
83;173;85;176;86;181
84;173;85;177;86;178
84;180;86;176;86;178
83;176;85;177;86;178
83;173;85;176;85;186
83;174;85;176;86;180
83;173;85;177;88;178
83;180;85;177;86;179
91;176;85;177;86;179
85;174;85;184;86;179
83;174;93;179;86;179
83;173;87;177;86;186
84;173;85;177;93;181
84;173;85;177;88;179
83;181;85;177;86;178
91;175;85;177;86;179
86;173;85;178;86;179
83;174;92;178;86;186
83;174;85;177;86;180
83;173;85;177;85;179
83;181;85;177;86;179
83;175;85;177;86;179
83;173;85;184;86;179
83;173;85;179;86;179
83;173;85;177;86;186
83;173;87;176;86;187
83;173;85;176;93;181
84;173;85;177;88;178
83;181;85;177;86;178
91;175;85;177;86;179
86;173;85;184;86;179
83;173;92;179;86;179
83;173;87;177;86;186
83;173;85;176;86;181
83;174;85;176;86;178
83;180;85;176;88;179
83;175;85;176;86;178
83;174;85;184;86;178
83;174;85;178;86;179
83;174;85;177;86;186
84;174;85;177;86;180
83;174;85;177;86;179
83;181;85;177;86;179
84;176;85;177;86;179
85;174;85;184;86;179
83;174;93;179;88;179
83;173;85;177;86;179
83;175;85;184;86;178
84;173;85;177;86;178
84;173;85;177;86;178
86;173;85;177;86;186
84;174;85;176;86;179
83;173;85;178;86;178
83;173;87;177;86;186
84;173;85;176;93;181
84;173;85;177;88;178
84;181;85;177;86;178
90;175;85;177;86;179
85;173;85;184;86;178
83;173;85;179;86;178
84;173;85;177;86;186
83;174;85;176;86;180
83;173;85;176;86;178
83;181;85;176;86;178
83;175;85;177;86;179
90;176;85;177;86;179
85;173;85;184;86;179
83;173;92;179;86;178
83;173;87;177;86;186
84;173;85;177;86;180
84;173;85;177;86;179
84;181;85;176;86;178
83;175;85;177;86;178
84;173;85;184;86;179
84;173;85;178;86;178
84;173;87;177;86;187
83;173;85;177;86;181
84;173;85;177;88;179
84;181;85;177;86;178
91;175;85;177;85;178
85;173;85;184;86;179
83;173;92;178;86;178
83;173;87;176;86;185
84;174;85;176;86;180
83;174;85;177;93;180
83;174;85;176;87;178
83;180;85;177;86;179
90;175;85;177;86;179
85;173;85;184;86;178
84;174;92;179;86;179
84;173;87;176;86;187
83;174;85;176;86;181
83;173;85;176;88;178
83;180;85;177;86;178
90;176;85;177;86;179
85;173;85;184;86;179
83;173;85;179;86;179
83;173;85;177;86;186
83;173;85;176;86;181
83;174;85;177;88;179
83;180;85;177;86;179
83;176;85;176;86;179
83;174;85;184;86;179
83;174;85;178;86;178
83;174;85;177;86;185
83;174;87;177;86;180
83;174;85;177;86;179
84;181;85;177;88;179
84;176;85;177;86;179
85;173;85;184;86;179
84;173;85;178;86;179
83;173;87;177;86;186
83;174;85;177;93;181
83;173;85;176;88;178
83;180;85;177;86;178
91;175;85;177;86;179
85;173;85;184;86;179
84;173;85;179;86;179
83;174;85;177;86;186
84;174;85;177;86;181
83;173;85;176;86;179
83;181;85;177;86;179
83;175;85;176;86;179
91;175;85;177;86;178
85;173;85;184;86;179
83;173;85;179;86;179
83;174;87;177;86;186
84;174;85;177;93;181
84;174;85;177;88;178
83;181;85;177;86;178
83;175;85;176;86;178
86;173;85;184;86;179
83;173;85;179;86;179
83;173;92;179;86;178
83;174;87;176;86;185
83;173;85;177;94;181
84;173;85;177;88;179
84;175;85;177;86;179
84;174;85;184;86;179
83;173;85;179;86;179
83;174;87;177;86;186
83;173;85;177;86;181
84;173;85;177;93;180
84;173;85;177;88;178
84;176;85;177;86;178
90;176;85;177;86;179
85;174;85;184;86;178
83;173;93;178;86;179
83;174;87;176;86;185
84;173;85;176;93;180
83;173;86;177;88;178
83;175;85;176;86;178
84;173;85;184;86;178
85;173;85;178;85;178
84;174;87;177;86;185
83;173;85;177;94;181
83;174;85;177;88;179
84;181;85;177;86;179
84;176;85;177;86;179
85;174;85;184;86;179
83;174;92;179;86;178
84;173;87;177;86;186
84;174;85;177;94;181
84;174;85;177;88;178
83;180;85;177;86;178
90;176;85;177;86;179
85;173;85;184;86;178
83;173;92;178;86;178
83;173;87;177;86;186
84;173;85;177;94;181
83;173;85;177;88;178
83;181;85;177;86;178
91;176;85;176;86;179
85;173;85;184;86;178
83;173;93;178;86;179
83;173;87;177;86;186
83;173;85;176;93;180
83;173;85;177;88;179
83;181;85;176;85;178
83;175;85;177;86;179
86;173;85;185;86;178
83;174;85;178;86;179
84;174;87;177;86;186
83;173;85;176;94;180
83;174;85;177;88;179
83;181;85;177;85;178
83;176;85;177;86;179
83;176;85;177;86;178
83;174;85;178;86;178
83;174;85;177;86;186
83;174;85;177;86;181
83;173;85;177;94;180
83;174;85;177;88;179
83;175;85;176;86;178
90;175;85;176;86;178
85;174;85;185;86;179
83;173;93;178;86;178
83;173;87;177;86;186
83;173;85;177;93;180
84;174;85;177;88;179
84;181;85;177;86;179
91;176;85;177;86;179
85;173;85;184;86;179
84;174;92;179;86;179
83;173;87;177;86;186
83;173;85;177;93;181
84;174;85;177;87;179
84;181;85;177;86;179
91;175;85;176;86;179
85;174;85;184;86;179
83;174;93;179;86;179
83;174;87;176;86;186
84;174;85;177;86;180
83;174;86;177;93;179
84;181;85;177;85;179
84;175;85;177;85;179
90;176;85;177;86;179
85;173;85;184;86;179
83;173;85;179;86;179
84;173;86;177;86;186
84;174;85;177;86;181
84;173;85;177;88;179
83;180;85;177;86;179
83;175;85;177;86;178
86;173;85;184;86;178
84;174;85;179;86;178
84;173;87;177;86;186
83;173;85;177;93;181
83;173;85;177;88;179
83;181;85;176;86;178
83;176;85;177;86;179
86;173;85;184;86;179
83;174;85;179;86;179
83;173;87;177;86;186
83;174;85;177;93;181
83;173;85;176;88;179
83;180;85;177;86;179
91;176;85;177;85;178
85;174;85;184;85;178
83;174;92;179;86;179
83;173;87;177;86;186
83;174;85;177;93;181
83;174;85;177;88;179
83;181;85;177;86;179
90;176;85;176;86;179
85;173;85;184;85;179
84;173;92;179;86;179
83;173;87;177;86;187
83;173;86;176;93;181
84;174;85;177;88;179
83;181;85;177;86;179
91;175;85;177;86;179
85;174;85;184;86;178
83;173;92;178;86;179
83;173;87;177;86;186
84;174;85;177;93;181
83;174;85;176;88;178
83;181;85;177;86;178
90;175;85;177;86;178
86;173;85;184;86;179
83;174;92;178;86;179
83;174;87;177;86;186
83;174;85;177;86;180
83;174;85;177;86;179
84;181;85;177;86;179
83;175;85;177;86;179
91;175;85;177;86;179
86;173;85;183;86;179
83;173;92;178;86;179
83;174;87;177;86;186
83;173;85;177;93;181
83;173;85;177;88;179
84;181;85;177;86;179
90;175;85;177;86;179
85;173;85;184;86;179
84;173;92;178;86;179
83;173;87;177;86;186
83;173;85;177;94;180
83;173;85;176;88;179
84;181;85;177;86;179
91;176;85;177;86;179
85;174;85;184;86;179
84;173;85;179;86;179
84;173;85;177;86;186
83;174;85;177;86;181
83;173;86;176;86;178
83;180;85;176;86;179
84;176;85;177;86;179
90;176;85;177;86;179
83;173;85;184;86;178
84;173;92;179;86;179
83;173;87;176;86;185
83;173;85;177;94;180
83;173;85;176;88;178
83;180;85;177;86;178
91;175;85;177;86;178
85;173;86;184;86;179
83;174;85;178;86;179
84;174;87;177;86;186
84;173;85;177;93;180
84;173;85;176;88;179
83;181;85;177;86;179
90;176;85;177;85;179
85;174;85;184;86;178
83;174;93;178;86;179
84;173;87;176;86;186
83;173;85;177;93;180
84;173;85;177;88;178
84;181;85;177;86;179
83;176;85;177;86;179
86;173;85;184;86;178
84;174;93;178;86;179
83;174;87;177;86;186
83;174;85;177;94;180
83;173;85;177;88;179
83;182;85;177;86;179
83;175;85;177;86;179
84;173;85;184;86;178
84;173;85;179;86;179
83;173;85;176;86;186
84;174;85;177;86;181
83;173;85;176;88;179
83;181;85;177;86;179
91;175;85;177;86;179
85;173;85;184;86;179
83;173;93;179;86;178
84;174;87;176;86;186
84;173;85;177;86;181
83;173;85;177;88;179
83;181;85;177;86;179
83;176;85;177;86;179
85;174;85;184;86;179
83;174;92;179;86;179
84;174;87;177;86;186
84;173;85;177;93;180
84;173;86;177;88;179
84;181;85;177;86;179
91;176;85;177;86;179
85;173;85;184;86;179
83;173;92;179;86;178
84;174;87;176;86;186
83;173;85;177;93;181
83;173;85;176;88;179
84;181;85;177;85;178
83;176;85;177;86;179
85;174;85;184;86;179
83;173;85;179;86;179
83;174;87;177;86;186
83;173;85;177;93;180
84;173;85;177;88;179
83;181;85;177;86;178
91;176;85;177;86;179
83;173;85;185;86;179
84;173;85;179;86;179
83;173;92;179;86;179
84;174;87;177;86;181
83;174;85;176;93;181
83;180;85;177;88;179
83;181;85;177;86;179
90;175;85;177;86;179
85;173;85;184;86;179
83;173;85;179;86;178
83;173;92;179;85;186
84;173;87;176;86;188
84;173;85;176;93;181
83;173;85;177;87;178
83;180;85;177;86;178
90;176;85;177;86;179
86;173;85;184;86;179
84;173;92;179;86;178
83;173;87;177;86;186
84;173;85;177;86;181
84;174;85;177;86;179
83;181;85;177;86;179
84;175;85;177;86;179
83;173;85;184;86;179
84;173;85;178;86;179
83;174;92;179;86;179
83;174;87;177;86;188
83;174;85;176;93;181
83;174;85;176;88;179
83;181;85;176;86;179
90;175;85;177;86;179
85;173;85;184;86;179
83;174;85;179;86;179
83;174;93;176;85;186
83;173;85;176;86;180
83;173;85;177;86;178
83;180;85;177;86;178
84;175;85;176;86;179
85;173;85;184;86;178
84;173;85;179;86;178
84;173;85;176;86;186
83;174;85;176;86;180
83;174;85;177;88;179
83;181;85;177;86;178
84;175;85;177;86;179
90;176;85;185;86;179
83;173;85;187;86;179
84;173;92;179;86;179
83;173;87;177;86;186
84;173;85;176;93;181
83;173;85;177;88;178
84;180;85;177;86;178
83;175;85;177;86;178
86;173;86;184;86;179
84;173;92;178;86;178
83;173;87;177;86;185
83;173;85;177;93;180
83;173;85;176;88;178
83;181;85;176;86;178
90;176;85;177;86;178
85;174;85;184;86;178
84;174;92;178;86;179
83;174;87;177;85;186
84;173;85;177;86;181
83;173;85;176;88;178
84;181;85;176;86;178
90;175;85;177;86;178
85;174;85;184;86;178
83;174;93;178;86;178
84;173;87;176;86;185
83;173;85;177;85;180
83;173;85;177;86;179
83;181;85;177;86;179
84;176;85;176;86;178
91;175;85;177;86;178
85;173;85;187;86;178
83;173;92;178;86;178
83;174;87;177;86;186
83;174;85;177;94;181
83;173;85;176;88;179
83;180;85;177;86;179
90;175;85;177;86;178
86;174;85;184;86;178
83;174;92;179;86;178
84;174;87;176;86;186
83;174;85;177;94;181
83;174;85;177;88;179
84;180;85;176;86;178
83;176;85;176;86;178
85;173;85;184;86;178
84;173;85;179;86;178
84;173;85;177;86;186
84;173;85;177;86;180
83;173;85;177;86;179
84;181;85;177;86;178
84;176;85;177;86;178
84;173;85;184;86;179
84;173;85;178;86;178
83;173;87;177;86;185
83;173;85;177;86;181
83;174;85;177;88;178
83;181;85;176;86;179
91;175;85;177;86;178
86;174;85;184;86;179
83;174;93;178;86;179
83;174;87;177;86;188
83;174;85;177;93;180
83;174;85;177;88;179
84;180;85;177;86;179
83;176;85;177;86;179
85;174;85;184;86;179
83;174;93;179;86;179
83;174;87;177;86;186
83;173;85;177;93;181
84;174;85;177;87;178
84;181;85;176;86;178
91;175;85;177;86;179
86;173;85;184;86;178
84;173;92;179;85;178
83;173;87;177;86;185
83;173;85;176;93;180
83;173;85;176;88;178
83;180;85;176;86;178
90;176;86;177;86;178
86;173;85;179;86;178
83;173;85;176;86;186
83;174;86;177;86;181
84;173;85;177;88;179
84;181;85;176;86;178
91;175;85;177;86;178
85;173;85;184;86;178
84;173;92;179;86;178
83;173;87;177;86;186
84;173;85;177;93;181
84;173;85;176;88;179
83;181;85;176;86;179
91;175;85;177;86;178
86;173;85;179;86;179
84;173;87;177;85;186
83;173;85;176;93;180
83;173;85;177;87;178
83;180;85;176;86;178
90;175;85;177;86;179
85;173;86;183;86;179
84;173;85;179;86;179
83;174;87;177;86;186
83;174;86;177;93;180
83;174;85;176;88;178
83;181;85;177;86;179
91;176;85;177;86;179
85;174;85;184;86;179
83;174;85;178;86;179
83;173;87;177;86;185
83;174;85;177;93;181
83;174;85;177;87;179
84;181;85;177;86;179
83;176;85;177;86;179
83;173;85;185;86;179
83;173;85;178;86;179
83;174;92;179;86;179
83;174;85;177;86;180
83;174;85;177;88;179
83;181;85;177;86;178
83;175;85;177;86;179
83;174;85;184;86;179
83;173;85;185;86;178
84;173;93;178;86;179
83;173;87;176;86;185
84;174;85;177;93;180
83;173;85;177;88;179
83;175;85;177;86;179
83;173;85;184;86;179
85;174;86;185;86;179
83;174;93;178;86;179
84;174;87;176;85;186
83;174;85;176;94;181
83;173;85;176;88;179
83;181;85;177;86;179
90;175;85;177;86;179
85;174;85;184;86;179
83;174;92;179;86;179
83;174;87;177;86;185
83;174;85;177;86;181
83;174;85;177;88;178
83;181;85;176;86;178
83;176;85;176;86;178
85;173;85;184;86;178
83;174;85;179;86;179
83;173;85;176;86;186
83;173;85;176;86;180
83;173;85;177;88;178
84;180;85;177;86;178
90;175;85;177;86;179
86;173;85;184;86;178
83;173;85;178;86;179
83;173;87;177;86;185
83;173;85;177;86;181
83;173;85;177;93;180
83;174;85;177;88;178
83;180;85;177;86;178
91;175;85;177;86;178
85;174;85;184;86;178
83;173;85;178;86;178
84;174;87;176;86;186
83;174;85;177;93;180
83;173;85;176;87;178
83;181;85;177;86;179
91;176;86;177;86;179
85;174;85;184;86;179
83;173;92;179;86;179
83;174;86;177;86;185
83;174;85;177;86;181
83;173;85;177;88;179
83;181;85;177;86;179
84;176;85;177;86;179
83;174;85;184;86;179
83;174;85;179;86;179
83;174;85;177;86;186
83;173;86;177;86;180
83;173;85;177;86;179
84;181;85;177;86;179
84;175;85;177;86;179
85;173;85;184;86;178
84;173;85;179;86;179
84;173;87;177;86;187
83;173;85;177;86;181
83;174;85;177;88;179
83;181;85;177;86;179
90;175;85;177;86;178
85;174;85;184;86;179
83;174;92;179;86;179
83;174;87;177;85;186
83;174;85;177;86;181
84;174;86;176;88;179
84;181;85;177;86;179
91;175;85;177;86;179
86;173;85;184;86;179
84;173;92;179;86;179
84;173;87;177;86;185
83;173;85;177;94;180
83;173;85;177;88;179
