0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
176;361;181;369;184;377;271;549;366;741;558;1120;936;1871;1696;3388;3212;6418
177;361;180;369;185;376;270;549;366;741;559;1120;928;1871;1688;3387;3213;6415
184;359;187;367;192;375;277;548;365;741;558;1120;936;1871;1695;3387;3212;6418
176;361;180;369;184;377;270;549;366;742;558;1120;928;1871;1695;3387;3212;6417
177;361;180;369;184;377;270;549;366;742;558;1121;929;1871;1695;3387;3213;6417
184;359;188;367;192;377;277;548;366;741;560;1118;936;1871;1688;3388;3211;6417
183;359;188;367;192;375;270;549;366;741;559;1120;929;1871;1688;3387;3211;6416
185;359;187;367;192;375;278;548;363;741;559;1118;936;1878;1688;3396;3205;6416
183;359;188;369;192;377;277;549;365;742;559;1118;935;1870;1688;3388;3212;6416
184;359;187;367;192;375;278;549;366;741;559;1119;935;1878;1687;3395;3205;6417
183;359;187;367;192;375;278;549;364;743;559;1118;936;1878;1688;3395;3204;6423
176;366;181;375;185;375;277;549;364;744;559;1118;936;1878;1688;3394;3205;6423
176;366;181;374;185;382;270;547;372;744;561;1118;936;1877;1695;3395;3207;6423
176;367;181;374;185;382;270;554;372;744;553;1118;936;1878;1693;3390;3207;6423
178;366;180;374;184;382;270;546;371;743;561;1119;936;1876;1695;3395;3207;6423
176;367;182;375;187;382;272;554;371;744;553;1119;937;1878;1694;3389;3207;6424
179;366;183;374;185;382;270;546;371;743;561;1118;936;1876;1695;3395;3207;6423
176;367;182;375;186;383;271;554;371;744;553;1119;936;1877;1693;3389;3207;6422
178;367;183;375;187;382;272;554;371;736;553;1120;936;1878;1693;3390;3207;6424
179;366;183;374;187;382;272;554;371;736;553;1119;936;1878;1694;3389;3207;6423
178;366;183;375;185;382;278;548;364;743;559;1118;936;1878;1688;3395;3207;6423
176;367;181;374;184;382;271;546;372;743;561;1118;936;1876;1695;3394;3206;6424
176;367;181;374;185;382;271;554;371;744;553;1119;936;1877;1694;3388;3207;6422
178;367;182;375;187;382;272;554;371;736;554;1118;936;1878;1693;3389;3207;6423
179;366;182;374;187;382;272;554;372;736;553;1118;936;1877;1693;3390;3207;6423
178;366;182;374;186;382;272;554;371;736;554;1119;936;1878;1693;3389;3205;6417
176;361;180;369;184;377;272;554;371;736;553;1118;936;1878;1693;3390;3204;6417
177;361;180;369;185;376;270;554;366;736;553;1119;935;1878;1695;3389;3204;6418
176;361;181;369;184;377;271;556;366;743;554;1118;935;1879;1695;3389;3211;6418
176;361;180;369;184;377;270;549;366;742;559;1120;929;1871;1696;3388;3212;6417
177;361;180;369;184;377;271;548;366;741;559;1120;936;1871;1695;3387;3213;6418
176;361;181;369;184;377;270;549;366;741;559;1121;937;1871;1695;3388;3212;6418
177;361;180;369;191;377;271;548;366;742;559;1118;936;1870;1695;3388;3212;6417
177;361;180;369;184;377;270;549;366;742;558;1121;936;1871;1695;3388;3213;6418
177;362;180;369;184;376;271;548;366;741;559;1120;928;1871;1695;3387;3212;6418
176;361;188;369;191;377;270;549;366;742;559;1119;936;1870;1695;3387;3212;6417
176;361;188;369;184;377;271;549;366;741;559;1120;929;1870;1695;3388;3213;6417
177;361;180;369;184;377;271;548;366;741;559;1119;935;1870;1695;3388;3211;6418
176;361;181;369;184;377;270;549;366;741;559;1121;928;1871;1695;3387;3212;6417
176;361;180;369;184;377;270;556;366;744;559;1118;936;1870;1695;3387;3213;6418
176;361;181;369;185;377;270;548;366;742;559;1120;929;1870;1695;3387;3212;6418
176;361;181;369;184;377;270;549;366;741;559;1120;929;1870;1695;3387;3212;6418
184;361;187;369;191;377;270;549;366;742;558;1121;928;1871;1695;3388;3212;6418
177;361;181;369;185;377;270;548;366;743;559;1120;929;1871;1695;3388;3211;6419
183;361;180;369;185;377;272;553;371;737;553;1118;936;1878;1694;3390;3205;6418
176;361;181;369;184;377;270;554;366;737;553;1118;936;1877;1693;3390;3205;6417
176;361;180;367;184;375;273;555;371;736;554;1118;935;1877;1693;3390;3205;6417
176;361;180;369;184;377;270;554;366;737;553;1118;937;1878;1695;3390;3205;6418
177;361;181;369;185;377;271;556;366;743;553;1119;936;1877;1695;3388;3212;6417
176;361;180;369;184;377;272;554;371;736;554;1126;936;1878;1693;3389;3205;6418
177;367;183;375;187;382;273;554;371;736;553;1127;936;1878;1693;3389;3205;6418
177;359;182;375;186;382;272;554;371;737;554;1125;936;1877;1694;3389;3204;6417
176;359;182;367;184;374;272;554;371;736;553;1118;936;1878;1693;3390;3205;6418
176;362;181;369;184;377;273;554;372;736;553;1119;936;1878;1693;3389;3205;6418
176;361;182;374;184;382;277;548;371;743;561;1118;935;1876;1695;3395;3206;6422
176;367;180;374;184;382;270;554;371;743;553;1118;935;1878;1693;3390;3207;6423
178;367;182;374;186;382;272;554;371;736;553;1119;936;1878;1693;3389;3206;6423
178;367;182;374;186;383;272;554;371;737;553;1119;936;1879;1693;3389;3206;6423
178;366;182;375;186;382;273;554;372;736;553;1118;936;1878;1693;3390;3206;6423
178;366;183;374;184;382;270;554;372;743;553;1118;935;1878;1693;3390;3207;6423
178;367;182;374;186;383;272;554;371;737;554;1118;936;1878;1693;3389;3206;6423
178;366;182;374;186;382;272;554;371;736;554;1118;935;1878;1693;3390;3207;6423
179;366;182;375;186;382;272;555;372;736;553;1118;936;1878;1693;3389;3207;6423
178;366;182;374;186;382;272;554;371;736;554;1119;936;1877;1693;3389;3207;6424
178;366;183;374;186;382;272;554;372;736;554;1119;936;1878;1693;3390;3206;6423
178;366;182;374;186;383;272;554;371;736;553;1119;936;1878;1693;3389;3207;6423
179;366;182;374;186;382;272;554;371;736;553;1119;936;1878;1693;3389;3206;6423
178;367;183;374;186;383;270;546;364;743;561;1119;936;1875;1695;3395;3206;6423
