0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
119;245;160;323;232;472;308;637;392;787;470;952
118;238;160;326;232;471;308;637;392;787;463;951
119;245;160;323;232;472;308;629;391;787;463;952
118;245;159;326;232;472;308;636;391;786;470;951
119;237;159;326;232;471;308;636;392;787;470;952
118;238;160;326;231;472;308;636;392;787;470;951
119;237;160;325;232;471;308;629;392;787;462;952
119;245;159;323;232;471;308;629;391;787;463;951
119;245;160;326;232;471;308;636;391;787;469;952
119;245;162;323;239;471;316;629;391;794;463;952
119;245;162;324;239;471;308;629;392;786;463;952
119;238;160;323;239;472;315;629;391;792;462;952
119;240;160;323;232;469;315;629;386;792;461;952
125;240;160;331;234;477;310;635;387;794;461;945
118;238;159;325;232;476;310;634;384;795;468;952
121;238;167;325;231;477;308;637;384;794;468;950
119;238;160;325;232;471;308;629;392;787;462;952
118;237;159;324;239;471;315;629;393;792;462;952
118;239;160;331;234;469;315;629;387;792;461;952
126;240;160;324;233;469;315;628;387;792;460;952
126;240;160;331;234;469;310;634;387;794;461;944
119;237;160;325;231;476;310;634;384;794;468;952
120;237;167;325;232;477;308;637;384;795;468;950
119;238;160;325;231;471;308;636;391;787;469;952
119;245;162;324;239;471;308;629;392;787;463;952
119;246;160;323;232;471;308;629;391;786;463;952
118;245;160;324;239;471;308;629;391;786;463;952
119;245;162;324;239;471;308;629;392;786;462;951
118;245;160;324;232;471;308;629;392;786;463;952
119;245;160;324;239;471;308;629;392;787;462;952
118;245;160;325;232;471;308;637;392;787;470;952
119;245;160;326;232;472;308;629;392;787;462;952
118;245;162;323;239;471;308;629;392;787;463;951
118;246;160;323;232;471;308;629;392;787;462;952
118;245;159;324;239;471;308;628;392;787;462;952
118;245;160;324;232;471;308;629;392;787;462;952
118;245;162;324;239;471;315;629;392;794;463;952
119;245;162;324;239;471;308;629;392;786;463;951
119;245;160;326;232;471;308;629;391;787;463;952
119;245;162;323;239;472;308;629;391;787;463;952
119;245;159;324;231;472;308;629;391;787;463;951
119;245;160;323;232;471;308;629;392;787;463;951
119;245;160;323;239;471;308;629;392;787;462;952
119;245;160;323;239;472;308;629;392;786;463;951
119;245;160;323;239;472;308;629;391;786;463;951
119;245;162;323;239;471;315;629;392;794;463;952
118;238;160;324;239;471;316;629;391;792;462;951
118;245;162;324;239;471;315;629;391;794;462;951
118;237;159;324;239;471;316;629;392;792;463;951
119;240;160;330;234;469;315;627;386;794;460;952
126;240;160;330;234;469;315;627;386;792;461;952
126;239;160;331;234;469;310;634;386;795;461;945
119;239;160;331;234;470;310;634;386;794;461;945
118;239;160;331;234;469;310;634;387;794;461;945
119;239;160;331;234;469;310;635;387;794;461;944
119;239;160;331;234;469;310;635;386;794;461;945
119;238;160;331;232;476;310;634;386;794;468;952
120;238;167;326;232;479;308;636;384;787;470;952
118;238;167;326;231;479;308;637;384;794;468;952
119;238;160;325;232;471;315;629;392;794;463;951
119;245;160;323;239;472;308;629;392;787;462;952
118;245;160;324;231;471;308;629;392;787;463;951
118;245;160;324;232;472;308;629;392;786;463;952
119;245;160;324;232;471;308;629;392;786;463;952
119;245;160;326;232;471;308;629;392;786;463;952
119;245;162;323;232;471;308;629;391;787;463;951
119;245;160;323;231;471;308;629;391;787;463;952
119;245;162;323;239;471;308;629;392;787;463;952
119;245;160;323;232;471;308;636;392;786;463;951
119;245;160;324;231;471;308;636;391;787;470;952
119;238;160;325;231;480;308;637;384;787;470;952
119;237;167;326;232;478;308;637;384;794;468;950
119;237;167;325;232;477;308;637;384;794;468;952
