0B;8B;16B;32B;64B;128B;256B;512B;1024B
348;427;503;669;989;1636;2923;5498;10653
342;427;507;668;989;1629;2923;5503;10659
341;422;502;662;988;1635;2923;5504;10660
348;427;509;669;989;1637;2922;5498;10653
342;422;508;669;989;1637;2923;5503;10659
347;420;502;662;988;1634;2923;5498;10653
343;428;508;667;988;1629;2922;5503;10660
341;423;503;662;989;1635;2923;5503;10659
348;428;502;669;988;1636;2924;5498;10654
342;428;508;667;989;1629;2923;5504;10658
341;422;502;662;988;1634;2923;5505;10661
348;428;507;667;988;1636;2923;5497;10654
343;423;507;670;988;1636;2922;5504;10658
349;421;502;662;989;1634;2923;5498;10652
343;428;508;667;988;1629;2923;5503;10661
340;422;502;662;988;1637;2922;5503;10659
348;428;502;670;988;1636;2923;5498;10653
343;428;507;668;988;1629;2923;5503;10659
341;423;502;662;989;1634;2923;5503;10661
348;427;507;670;988;1637;2923;5498;10652
342;423;508;669;988;1636;2923;5503;10659
348;421;502;662;988;1636;2923;5498;10661
341;428;507;667;988;1629;2924;5498;10661
342;423;502;669;988;1637;2921;5504;10658
347;421;502;662;988;1635;2923;5498;10654
343;428;507;667;988;1629;2924;5503;10660
341;423;503;662;989;1634;2921;5504;10658
347;428;502;669;988;1636;2923;5497;10653
342;427;508;667;989;1630;2923;5503;10659
340;422;502;662;989;1635;2922;5504;10661
348;428;508;669;989;1636;2923;5498;10653
342;423;502;662;989;1634;2921;5503;10659
347;428;502;670;988;1636;2923;5498;10653
343;427;507;667;988;1629;2923;5504;10658
340;423;502;662;988;1634;2922;5503;10661
348;428;508;669;988;1637;2922;5498;10653
343;423;507;670;988;1636;2923;5504;10659
348;420;502;662;989;1634;2923;5499;10653
342;427;507;667;990;1629;2922;5503;10661
340;423;502;662;989;1634;2921;5503;10659
347;428;502;669;989;1636;2922;5499;10653
343;427;508;667;989;1629;2922;5503;10659
340;423;502;662;988;1635;2923;5505;10661
348;427;507;667;988;1636;2915;5499;10653
343;423;508;669;988;1637;2922;5504;10658
348;421;502;661;989;1634;2923;5498;10653
343;428;507;667;988;1630;2924;5503;10661
341;422;502;662;988;1634;2920;5504;10658
348;428;502;669;988;1636;2923;5497;10653
343;428;507;667;988;1629;2923;5503;10658
341;423;502;662;988;1635;2923;5504;10660
348;427;507;667;988;1637;2915;5498;10653
343;423;510;669;988;1636;2922;5503;10659
348;421;502;661;988;1634;2923;5498;10654
342;428;508;668;989;1629;2923;5504;10660
340;422;502;662;988;1634;2920;5502;10659
348;428;502;670;988;1636;2923;5498;10654
343;421;507;667;988;1629;2923;5504;10658
341;423;502;662;988;1634;2923;5498;10661
341;428;507;667;988;1629;2915;5498;10654
343;423;507;669;988;1637;2923;5503;10659
348;421;502;662;988;1634;2923;5499;10653
343;428;508;668;989;1629;2923;5503;10661
341;422;502;662;988;1634;2922;5504;10659
347;428;502;669;988;1636;2923;5499;10653
342;428;508;667;989;1629;2923;5503;10659
341;422;502;662;989;1635;2923;5503;10661
348;428;507;669;988;1636;2923;5498;10654
343;423;508;669;988;1636;2923;5504;10658
348;421;502;662;988;1635;2923;5497;10654
343;428;508;667;989;1629;2923;5503;10659
341;422;502;662;988;1635;2923;5504;10658
348;429;501;669;989;1637;2923;5498;10654
343;428;508;667;989;1630;2923;5503;10658
341;422;502;662;989;1634;2922;5503;10660
348;428;508;669;989;1637;2923;5498;10653
342;422;510;669;990;1636;2923;5503;10658
348;421;502;662;988;1634;2923;5498;10654
342;427;507;667;988;1629;2923;5503;10660
341;423;502;662;988;1635;2921;5503;10659
347;427;502;669;989;1637;2923;5497;10654
343;428;508;667;988;1629;2923;5503;10659
341;422;502;662;988;1634;2923;5504;10660
348;427;508;669;989;1637;2923;5497;10654
342;422;510;669;989;1637;2924;5503;10659
348;420;502;662;989;1635;2923;5499;10653
342;428;509;668;989;1629;2922;5503;10661
341;423;502;662;988;1636;2923;5503;10661
348;427;503;669;988;1636;2922;5498;10653
342;427;507;667;988;1629;2923;5504;10658
341;422;502;662;989;1634;2923;5505;10661
348;428;507;670;988;1636;2924;5497;10653
342;423;509;669;989;1636;2923;5504;10658
348;420;502;662;989;1634;2923;5498;10653
343;427;507;667;988;1629;2922;5496;10661
342;423;502;669;988;1636;2921;5504;10658
349;421;502;662;989;1634;2923;5497;10653
343;427;507;668;988;1629;2923;5503;10661
341;422;502;662;989;1634;2924;5503;10659
348;428;502;670;989;1636;2923;5498;10653
343;428;507;668;988;1629;2923;5503;10659
341;422;502;662;989;1634;2923;5505;10661
348;428;507;667;989;1637;2915;5498;10653
342;423;510;669;988;1636;2922;5503;10659
347;421;502;662;988;1635;2922;5498;10654
343;428;507;667;988;1629;2924;5503;10661
340;422;502;669;989;1636;2921;5504;10658
348;428;502;670;989;1636;2923;5498;10653
342;428;507;667;988;1629;2924;5502;10659
341;422;502;662;989;1635;2923;5504;10660
348;429;507;670;988;1636;2923;5498;10654
343;421;508;667;989;1629;2923;5502;10659
341;422;502;661;989;1635;2923;5506;10661
348;428;507;667;989;1636;2915;5498;10653
342;423;510;669;990;1636;2923;5503;10659
348;420;502;662;988;1634;2923;5498;10654
342;427;507;668;989;1629;2923;5504;10658
341;422;502;661;988;1634;2921;5503;10659
348;428;502;669;988;1637;2923;5497;10653
343;428;508;667;988;1629;2923;5503;10659
340;423;502;662;988;1635;2923;5504;10660
348;428;508;669;989;1636;2923;5497;10654
343;422;507;669;988;1636;2924;5503;10659
348;420;502;662;988;1634;2923;5498;10652
343;428;509;667;989;1629;2923;5503;10661
340;422;502;662;988;1635;2923;5503;10659
347;427;503;669;989;1636;2923;5498;10653
343;428;508;667;989;1629;2922;5504;10658
340;422;503;662;989;1634;2922;5504;10661
348;428;508;667;988;1636;2916;5498;10653
343;423;510;669;988;1636;2923;5504;10658
348;420;502;662;989;1634;2922;5498;10653
342;427;508;667;989;1630;2923;5503;10661
340;422;502;662;988;1634;2922;5503;10660
348;427;503;669;989;1636;2922;5498;10653
342;427;507;667;988;1629;2923;5503;10659
341;422;502;661;989;1635;2924;5505;10661
348;428;508;667;989;1637;2916;5499;10653
343;422;509;670;989;1636;2923;5503;10659
348;420;502;662;988;1635;2923;5498;10654
343;428;508;667;988;1629;2922;5504;10658
340;423;502;662;988;1634;2923;5505;10661
348;428;507;669;988;1637;2923;5497;10654
343;423;509;669;989;1637;2923;5503;10659
348;421;502;662;989;1634;2923;5498;10653
343;428;508;668;988;1629;2923;5496;10660
343;422;502;669;982;1636;2921;5503;10659
348;421;502;662;989;1634;2923;5499;10653
342;428;508;667;989;1629;2923;5503;10659
341;422;502;662;988;1635;2923;5503;10658
348;428;502;669;988;1637;2923;5498;10654
343;427;508;667;988;1629;2923;5504;10658
341;423;503;662;989;1635;2923;5503;10661
348;427;508;669;988;1636;2924;5497;10654
342;422;510;669;989;1636;2923;5504;10658
348;420;502;662;989;1634;2923;5498;10654
343;428;508;668;989;1630;2923;5503;10661
340;422;502;662;988;1635;2921;5503;10659
348;428;502;669;988;1636;2923;5498;10652
342;427;507;667;990;1629;2923;5503;10659
340;423;502;662;989;1634;2923;5503;10661
348;428;508;669;988;1636;2922;5498;10653
343;422;510;669;988;1637;2923;5503;10659
348;421;502;662;988;1635;2923;5498;10654
343;428;508;667;988;1629;2923;5503;10660
341;422;502;662;988;1635;2921;5503;10658
348;428;502;669;987;1636;2923;5498;10654
342;427;507;667;989;1629;2924;5503;10659
340;422;502;661;989;1634;2922;5503;10660
348;428;508;669;988;1636;2923;5498;10654
342;423;509;669;989;1637;2923;5503;10659
347;420;502;662;988;1634;2923;5498;10653
343;428;508;667;989;1629;2922;5504;10660
340;423;502;662;989;1634;2922;5503;10659
348;428;502;669;987;1637;2923;5498;10654
342;428;508;668;988;1629;2923;5504;10658
341;423;503;662;988;1635;2923;5505;10661
348;427;507;668;989;1636;2923;5498;10654
342;423;510;669;989;1637;2923;5504;10658
349;421;502;662;989;1634;2923;5498;10653
342;427;507;667;988;1629;2923;5503;10661
341;422;502;662;988;1635;2924;5503;10659
348;428;502;669;987;1636;2923;5498;10653
342;427;508;668;989;1629;2923;5503;10659
341;422;502;662;988;1634;2924;5498;10661
340;427;508;667;988;1636;2915;5499;10652
342;423;509;669;988;1637;2922;5503;10659
348;421;502;662;988;1636;2923;5498;10653
342;427;507;667;988;1629;2923;5503;10661
341;422;502;669;988;1635;2921;5504;10658
348;420;502;662;988;1634;2923;5498;10653
343;427;507;668;989;1629;2924;5503;10659
341;422;502;662;989;1634;2922;5504;10660
348;429;500;669;986;1636;2923;5497;10654
343;428;507;667;988;1629;2923;5503;10659
340;423;502;662;988;1635;2923;5506;10661
348;428;508;668;989;1637;2915;5498;10653
342;422;509;669;989;1636;2923;5503;10659
348;420;502;662;988;1634;2924;5498;10653
343;428;507;667;989;1629;2922;5504;10660
340;423;502;662;988;1634;2923;5503;10659
347;427;502;669;987;1637;2923;5498;10654
342;428;508;667;989;1629;2923;5503;10659
341;422;502;662;989;1634;2922;5506;10660
348;428;508;667;989;1637;2916;5497;10654
343;422;509;669;989;1637;2923;5503;10659
348;421;502;662;988;1635;2923;5498;10660
340;427;508;667;989;1629;2922;5497;10661
341;422;502;669;988;1637;2921;5503;10659
348;421;503;662;989;1634;2923;5499;10653
343;428;508;667;988;1629;2922;5504;10658
341;422;502;662;989;1634;2922;5503;10661
348;428;500;670;986;1636;2923;5497;10654
342;427;508;667;988;1629;2923;5504;10658
340;423;502;662;989;1634;2923;5505;10661
348;428;508;668;989;1637;2923;5497;10654
342;422;510;669;989;1636;2923;5503;10659
348;420;502;662;988;1634;2923;5498;10652
342;427;507;667;989;1629;2922;5503;10661
341;422;502;662;988;1635;2924;5503;10658
347;428;502;669;986;1637;2923;5498;10653
342;427;507;668;988;1629;2922;5503;10658
340;422;502;662;989;1635;2923;5505;10661
348;428;507;668;989;1636;2915;5499;10653
342;422;509;669;988;1637;2923;5503;10659
347;420;502;662;988;1636;2923;5497;10661
341;428;507;667;988;1629;2924;5495;10661
340;422;502;669;989;1636;2920;5504;10658
348;420;503;662;988;1634;2923;5498;10654
342;428;508;667;988;1629;2924;5503;10659
340;423;502;662;988;1634;2923;5504;10660
348;429;500;669;987;1636;2922;5498;10654
342;428;507;667;988;1630;2923;5503;10659
341;422;502;662;989;1634;2923;5506;10660
347;428;507;667;988;1636;2923;5499;10653
343;423;509;669;989;1636;2922;5503;10659
348;420;502;662;988;1634;2924;5498;10654
342;428;508;667;989;1629;2923;5504;10659
341;422;503;662;989;1634;2923;5503;10659
348;428;502;669;988;1637;2923;5497;10653
343;427;507;668;988;1629;2923;5503;10659
341;422;502;662;988;1634;2922;5506;10660
348;428;507;667;989;1636;2922;5498;10654
342;422;510;669;989;1636;2923;5503;10659
347;420;502;662;988;1634;2923;5499;10652
343;428;508;667;989;1629;2923;5503;10659
340;422;502;662;988;1635;2923;5503;10660
348;428;502;669;988;1637;2923;5498;10653
342;428;507;667;988;1629;2923;5504;10658
341;423;502;662;989;1634;2923;5505;10660
347;427;508;667;988;1636;2916;5497;10654
342;422;510;669;989;1636;2923;5504;10658
348;421;502;662;989;1635;2923;5497;10654
343;428;507;667;988;1629;2923;5496;10661
341;422;502;669;988;1636;2921;5504;10658
349;421;502;662;989;1634;2923;5498;10653
343;428;507;667;989;1629;2923;5503;10659
341;422;503;661;988;1634;2923;5503;10660
348;427;500;670;988;1636;2923;5498;10653
342;428;508;668;989;1629;2923;5503;10658
341;422;502;662;989;1634;2923;5505;10661
348;428;508;667;988;1636;2915;5498;10652
342;422;510;669;989;1636;2923;5503;10659
348;420;502;662;988;1635;2922;5498;10661
340;428;507;667;989;1629;2923;5498;10660
340;422;502;669;988;1636;2920;5504;10658
347;420;503;662;988;1634;2923;5497;10653
342;428;508;667;989;1629;2924;5503;10659
340;423;503;662;988;1634;2923;5506;10660
348;428;507;668;989;1637;2916;5498;10654
343;423;510;669;988;1637;2923;5503;10659
347;420;502;662;988;1635;2923;5498;10653
342;427;507;667;988;1629;2923;5504;10659
341;422;503;662;989;1635;2923;5503;10661
348;428;502;669;988;1636;2924;5498;10653
342;427;508;667;988;1629;2923;5504;10658
341;422;502;662;989;1634;2922;5505;10661
348;428;507;667;988;1638;2916;5497;10654
343;423;509;669;989;1636;2923;5504;10659
348;420;502;662;989;1634;2923;5499;10652
343;428;508;667;989;1629;2923;5503;10659
341;423;503;662;989;1634;2923;5503;10661
348;428;500;670;989;1636;2923;5498;10653
343;428;509;667;989;1629;2923;5503;10659
341;422;502;662;989;1636;2922;5505;10661
347;428;507;667;988;1636;2923;5499;10653
342;422;502;669;988;1634;2921;5503;10658
347;420;502;662;989;1634;2923;5498;10653
343;428;508;667;989;1629;2924;5503;10658
341;422;502;661;989;1635;2923;5504;10660
348;427;500;669;988;1636;2923;5497;10654
343;428;508;668;988;1629;2923;5503;10659
340;422;502;662;989;1634;2923;5506;10660
349;428;508;667;988;1636;2916;5497;10653
343;423;509;670;988;1636;2923;5503;10659
348;421;502;662;988;1634;2923;5498;10653
342;428;508;667;989;1629;2923;5504;10659
341;423;502;662;989;1635;2923;5503;10661
348;428;500;669;989;1636;2924;5498;10653
342;422;508;667;988;1629;2923;5504;10658
341;422;503;662;988;1635;2923;5505;10661
348;428;508;667;989;1637;2923;5498;10653
342;422;510;669;989;1636;2922;5503;10659
348;421;503;662;989;1634;2923;5499;10653
343;428;507;668;988;1629;2923;5503;10659
340;423;502;662;988;1634;2924;5503;10661
348;427;500;669;989;1636;2923;5499;10653
342;428;507;667;989;1629;2923;5503;10659
340;422;502;662;988;1636;2923;5505;10661
347;427;507;667;989;1637;2915;5498;10653
343;422;509;669;988;1636;2921;5504;10658
348;421;502;661;988;1635;2923;5498;10654
342;427;507;667;989;1629;2923;5503;10658
341;423;502;662;988;1635;2923;5504;10660
348;428;500;669;988;1637;2923;5498;10654
343;422;508;667;989;1630;2923;5503;10659
341;423;502;662;989;1634;2922;5505;10661
348;428;508;667;988;1636;2923;5498;10653
342;422;510;669;990;1636;2923;5503;10659
348;420;502;661;988;1634;2924;5498;10654
343;427;508;667;988;1629;2923;5503;10658
341;422;502;662;988;1634;2923;5505;10661
348;428;507;667;989;1637;2923;5498;10654
343;422;510;669;989;1636;2921;5503;10659
347;420;502;662;988;1634;2922;5499;10653
343;428;508;667;989;1629;2923;5503;10659
341;422;502;661;988;1635;2924;5503;10661
348;428;500;669;988;1636;2923;5498;10652
343;428;509;670;989;1629;2923;5503;10659
341;422;502;662;989;1635;2923;5504;10661
347;428;507;667;988;1636;2916;5499;10653
343;423;509;669;988;1637;2920;5504;10658
347;420;502;662;989;1634;2922;5498;10653
343;428;508;667;989;1629;2923;5503;10659
340;422;502;662;988;1634;2922;5506;10660
348;428;508;668;988;1637;2916;5497;10654
342;422;510;669;988;1638;2920;5503;10659
348;421;503;662;989;1634;2923;5499;10653
342;427;507;667;989;1629;2923;5504;10658
340;422;503;662;989;1634;2923;5503;10661
348;428;501;669;988;1636;2923;5498;10654
342;428;508;667;989;1629;2923;5504;10658
340;422;502;662;988;1634;2922;5505;10661
348;428;507;667;989;1637;2924;5498;10654
342;422;510;669;989;1636;2921;5504;10658
349;420;502;662;988;1635;2923;5498;10653
342;427;507;667;988;1629;2923;5503;10659
341;422;502;662;988;1634;2924;5503;10661
348;427;500;669;989;1637;2923;5499;10653
342;428;508;668;988;1629;2923;5503;10659
341;423;502;662;988;1634;2924;5505;10660
348;428;508;667;988;1636;2916;5499;10653
343;422;509;670;988;1636;2921;5503;10658
348;420;502;662;988;1635;2923;5497;10653
343;428;508;667;988;1629;2924;5503;10659
341;422;502;662;988;1635;2923;5504;10660
348;427;500;670;988;1636;2923;5498;10654
342;429;507;667;988;1629;2924;5503;10658
340;422;503;662;989;1634;2922;5506;10660
348;428;507;668;989;1637;2922;5498;10653
343;422;509;669;988;1637;2920;5503;10659
348;421;502;662;989;1637;2923;5498;10654
342;427;507;667;988;1629;2923;5504;10658
340;422;502;661;989;1634;2923;5503;10661
347;428;500;669;988;1636;2924;5497;10653
343;429;507;667;988;1629;2923;5504;10658
340;423;503;662;988;1634;2923;5505;10661
348;428;507;667;989;1637;2915;5498;10654
343;422;509;670;988;1636;2921;5503;10659
348;420;502;662;989;1636;2923;5499;10653
342;427;507;667;989;1629;2922;5503;10659
341;422;502;662;988;1635;2924;5503;10661
348;428;500;669;989;1637;2922;5499;10653
342;430;508;668;989;1629;2923;5503;10659
340;423;502;662;988;1636;2923;5505;10661
347;427;508;667;988;1636;2923;5499;10653
343;423;509;670;988;1636;2921;5504;10659
348;421;503;662;989;1636;2922;5498;10654
342;427;507;667;988;1629;2923;5503;10659
340;422;502;662;989;1634;2923;5504;10660
347;427;500;670;988;1636;2923;5498;10654
342;430;507;667;988;1629;2923;5503;10659
341;422;502;662;988;1634;2922;5506;10660
348;428;507;667;988;1636;2915;5498;10653
343;422;509;669;989;1636;2921;5503;10659
347;421;502;662;988;1637;2924;5498;10654
343;427;507;667;988;1629;2923;5504;10658
341;422;502;662;988;1634;2922;5503;10661
348;427;500;669;989;1636;2924;5497;10654
343;429;507;670;988;1629;2922;5504;10658
341;422;502;662;988;1634;2923;5505;10661
347;427;508;667;988;1637;2923;5497;10654
342;423;508;669;988;1629;2924;5503;10659
341;422;503;661;989;1634;2923;5506;10660
348;427;507;668;988;1636;2923;5497;10653
342;422;508;669;989;1630;2924;5503;10659
340;423;502;662;988;1634;2922;5506;10660
348;429;507;668;989;1636;2923;5498;10654
342;422;510;670;989;1637;2921;5503;10659
347;420;502;662;989;1636;2923;5498;10654
342;428;507;667;989;1629;2923;5504;10658
340;422;503;662;988;1634;2923;5503;10661
348;427;501;669;988;1636;2923;5497;10653
343;430;508;669;989;1629;2923;5504;10658
340;422;502;662;989;1634;2923;5505;10660
348;428;508;667;989;1637;2916;5498;10653
343;422;510;669;988;1636;2921;5504;10659
348;420;503;662;989;1636;2923;5498;10653
343;428;507;668;990;1629;2923;5503;10659
340;422;502;662;988;1634;2923;5503;10661
348;428;500;669;988;1636;2923;5499;10653
343;430;508;669;989;1629;2923;5503;10659
340;423;502;662;989;1635;2923;5505;10660
348;428;508;667;988;1636;2915;5499;10653
342;422;510;669;989;1636;2921;5504;10658
348;421;502;662;989;1636;2923;5498;10654
342;428;508;667;988;1629;2924;5503;10659
340;423;502;662;988;1635;2923;5504;10660
347;427;500;669;988;1636;2923;5498;10654
342;430;508;669;989;1629;2923;5503;10659
341;422;502;662;989;1635;2923;5506;10660
348;427;507;667;988;1636;2915;5498;10653
343;423;509;669;988;1636;2921;5503;10658
348;421;502;662;989;1636;2924;5498;10654
343;427;508;667;989;1630;2923;5503;10658
341;423;502;662;989;1634;2923;5503;10661
348;420;500;669;989;1637;2924;5497;10654
343;429;507;669;988;1630;2923;5504;10658
341;422;503;661;989;1635;2923;5505;10661
348;427;508;667;989;1637;2922;5498;10654
342;422;509;669;989;1636;2922;5503;10659
348;420;503;661;989;1635;2922;5498;10660
342;428;508;668;989;1629;2916;5496;10654
342;422;510;669;989;1636;2921;5503;10659
348;421;502;662;988;1637;2923;5498;10653
342;428;507;667;988;1629;2923;5503;10659
340;422;502;662;988;1635;2922;5503;10661
347;428;500;669;989;1637;2923;5498;10653
343;430;507;669;988;1629;2923;5503;10658
340;423;502;662;988;1634;2923;5505;10661
348;428;508;667;988;1636;2916;5497;10654
340;422;510;669;989;1637;2921;5503;10658
347;420;503;662;989;1636;2922;5498;10654
343;428;508;667;988;1630;2923;5503;10659
341;422;502;662;988;1635;2923;5504;10660
348;427;501;667;989;1637;2923;5499;10653
343;429;507;668;990;1629;2923;5503;10659
341;420;502;661;989;1634;2924;5505;10661
348;428;508;667;988;1637;2923;5496;10653
340;422;510;669;989;1634;2921;5503;10658
347;421;500;661;986;1638;2922;5497;10653
343;428;508;667;988;1629;2922;5504;10659
341;423;503;669;989;1634;2923;5504;10660
348;428;501;667;990;1636;2922;5497;10653
343;430;508;667;989;1629;2924;5503;10659
341;420;503;662;989;1634;2923;5506;10660
348;428;508;667;989;1637;2916;5496;10654
341;422;510;669;988;1636;2921;5503;10659
348;421;500;662;986;1636;2923;5499;10652
343;428;508;667;988;1629;2923;5504;10658
340;422;502;661;989;1635;2923;5505;10661
348;427;500;667;988;1636;2924;5498;10654
342;429;508;669;989;1629;2923;5504;10658
341;420;503;662;988;1634;2923;5505;10661
348;428;507;667;988;1636;2915;5495;10654
340;423;510;669;989;1634;2920;5503;10658
349;420;500;662;986;1636;2923;5498;10653
343;428;508;667;988;1629;2923;5503;10659
341;422;503;662;988;1635;2924;5505;10661
348;428;501;667;989;1636;2923;5498;10653
343;429;507;670;988;1629;2923;5503;10659
341;420;503;661;988;1635;2924;5498;10662
341;427;507;667;988;1636;2915;5497;10653
340;422;509;669;988;1635;2920;5503;10659
348;421;503;662;989;1635;2923;5497;10654
342;428;507;668;988;1629;2924;5496;10659
341;422;502;669;989;1635;2923;5504;10660
348;420;500;662;988;1637;2923;5498;10653
342;428;508;667;989;1629;2923;5503;10659
341;423;503;662;989;1635;2923;5506;10660
348;429;500;667;989;1637;2923;5498;10654
342;430;508;669;988;1629;2923;5503;10659
340;421;502;662;988;1634;2922;5506;10661
348;428;508;667;989;1636;2922;5497;10653
340;423;509;669;989;1634;2920;5502;10659
347;420;502;662;988;1635;2924;5497;10661
342;428;507;668;988;1629;2922;5497;10658
341;423;502;669;982;1635;2923;5503;10659
348;420;501;662;988;1637;2922;5498;10654
