0B;8B;16B;32B;64B;128B;256B;512B;1024B
342;423;505;666;999;1655;2958;5572;10790
343;433;513;675;999;1646;2957;5573;10793
352;423;505;668;999;1655;2957;5564;10787
343;423;511;673;998;1654;2958;5572;10794
350;432;514;676;998;1652;2950;5566;10792
344;424;505;666;999;1655;2957;5563;10784
343;430;513;675;999;1645;2958;5572;10794
352;425;506;668;999;1655;2957;5564;10786
342;424;511;676;998;1654;2957;5573;10793
349;433;514;675;1000;1653;2951;5565;10794
345;424;505;666;999;1655;2958;5563;10784
343;431;513;676;998;1645;2957;5573;10793
349;433;513;675;999;1653;2958;5565;10794
345;423;504;666;998;1656;2957;5563;10784
343;431;514;675;998;1645;2958;5573;10793
352;425;504;668;999;1654;2957;5564;10786
343;423;512;676;999;1654;2957;5572;10793
350;433;514;676;999;1653;2950;5566;10793
344;424;504;666;999;1655;2958;5564;10784
343;431;513;676;998;1645;2958;5573;10793
352;425;506;668;1000;1655;2958;5564;10786
343;423;511;673;999;1655;2958;5573;10794
343;433;514;675;999;1653;2950;5566;10793
344;423;504;666;999;1655;2958;5563;10785
343;424;513;676;998;1648;2958;5573;10793
350;432;513;676;998;1652;2957;5565;10794
345;423;504;667;999;1655;2957;5564;10783
343;431;513;676;999;1646;2958;5572;10794
352;425;506;668;999;1655;2958;5563;10786
342;424;512;673;999;1655;2957;5573;10792
350;433;513;676;998;1653;2950;5565;10793
345;423;505;666;1000;1654;2957;5564;10784
343;431;514;676;999;1646;2958;5572;10793
352;426;506;668;999;1654;2957;5564;10786
343;424;512;673;998;1655;2958;5572;10793
350;433;514;675;999;1653;2950;5565;10794
345;423;504;666;998;1655;2958;5563;10784
343;431;514;675;999;1646;2958;5573;10793
352;433;506;676;999;1655;2956;5563;10793
342;423;504;674;999;1655;2958;5572;10793
343;433;514;675;999;1645;2957;5566;10792
344;424;505;666;999;1655;2958;5564;10784
342;431;514;676;998;1646;2957;5573;10794
351;425;506;668;999;1655;2958;5563;10786
342;423;512;673;998;1655;2958;5573;10793
350;433;514;675;999;1653;2950;5565;10793
344;423;505;666;999;1656;2958;5563;10785
343;431;514;675;999;1645;2958;5573;10793
352;433;507;675;999;1655;2956;5564;10793
343;424;505;673;999;1654;2957;5570;10793
342;432;513;675;999;1646;2958;5572;10793
345;424;504;666;999;1655;2958;5564;10784
343;432;513;675;999;1646;2958;5572;10794
352;433;507;675;998;1655;2957;5565;10794
344;424;505;666;999;1655;2958;5563;10785
343;431;514;675;998;1645;2957;5573;10793
351;433;506;675;999;1655;2956;5563;10793
342;424;505;673;999;1656;2957;5570;10793
343;433;514;675;999;1646;2957;5574;10794
345;423;504;666;999;1655;2958;5564;10783
342;430;514;676;999;1645;2957;5572;10793
352;433;506;675;999;1655;2956;5563;10794
343;424;504;673;998;1654;2957;5573;10793
343;433;513;675;999;1646;2958;5573;10794
344;423;505;666;999;1655;2957;5563;10784
343;431;514;676;998;1647;2958;5573;10793
350;433;514;675;999;1653;2957;5566;10793
345;424;504;667;998;1654;2957;5563;10784
343;431;514;675;999;1646;2958;5572;10794
352;425;506;675;998;1654;2955;5564;10794
343;423;504;673;998;1654;2957;5573;10793
342;432;513;675;999;1646;2958;5573;10794
344;423;504;666;999;1655;2959;5564;10784
343;430;513;676;998;1645;2957;5574;10793
351;433;506;675;998;1654;2955;5563;10794
342;423;504;673;999;1656;2958;5570;10793
343;433;514;675;998;1645;2958;5572;10793
345;423;504;666;999;1655;2957;5564;10783
343;431;513;676;999;1646;2957;5572;10794
352;425;506;668;999;1655;2958;5563;10786
343;424;512;673;999;1655;2958;5573;10793
351;433;514;675;999;1653;2950;5565;10793
345;423;504;666;999;1655;2957;5563;10785
343;431;514;676;998;1648;2958;5572;10793
350;432;506;675;998;1652;2957;5566;10793
345;423;505;666;999;1655;2957;5563;10784
343;431;513;675;999;1649;2957;5573;10794
350;433;513;676;998;1653;2957;5565;10794
345;423;505;666;999;1655;2958;5564;10784
343;431;513;676;999;1645;2958;5572;10793
352;425;507;668;998;1655;2958;5563;10786
342;424;512;673;999;1654;2957;5573;10793
351;433;513;675;999;1653;2950;5566;10793
344;424;504;666;999;1654;2957;5564;10785
342;430;514;675;999;1645;2958;5572;10794
352;425;507;668;998;1655;2957;5564;10785
343;424;512;673;998;1655;2958;5572;10794
350;433;514;676;999;1654;2950;5565;10794
345;423;504;666;999;1655;2958;5563;10785
343;431;514;675;999;1646;2957;5573;10793
352;426;506;668;999;1655;2957;5563;10786
342;423;512;673;999;1654;2958;5572;10793
350;432;513;675;999;1653;2950;5566;10793
345;424;504;666;999;1654;2958;5563;10784
343;431;514;675;999;1646;2958;5573;10794
352;433;507;675;999;1655;2957;5563;10793
343;423;504;673;998;1655;2957;5573;10793
343;432;514;676;998;1646;2957;5565;10794
345;423;504;666;998;1656;2958;5564;10785
343;423;513;675;998;1648;2958;5573;10794
350;433;507;675;999;1653;2958;5566;10793
345;423;504;666;998;1655;2958;5563;10784
343;424;512;676;998;1655;2958;5573;10794
350;432;513;676;998;1652;2951;5566;10793
345;424;505;666;999;1655;2958;5563;10783
343;431;514;675;999;1647;2958;5572;10794
349;432;513;676;999;1653;2959;5565;10793
345;423;504;666;999;1655;2957;5564;10783
342;431;514;675;999;1647;2957;5572;10794
351;433;506;675;998;1655;2957;5563;10794
343;423;504;674;998;1655;2957;5572;10794
342;432;513;675;998;1646;2958;5574;10793
345;424;504;666;999;1654;2957;5563;10785
343;424;514;675;999;1647;2959;5573;10794
351;433;506;675;999;1655;2958;5564;10793
343;424;504;674;998;1654;2957;5573;10793
343;433;514;675;999;1646;2957;5572;10794
345;423;505;666;999;1655;2958;5563;10784
343;431;513;675;999;1648;2958;5573;10793
352;433;506;675;998;1655;2958;5563;10793
342;423;504;673;998;1655;2957;5570;10794
343;433;514;675;999;1646;2958;5573;10793
344;424;505;666;999;1654;2957;5564;10783
343;431;514;676;1000;1648;2958;5573;10794
352;432;506;675;999;1655;2959;5563;10794
343;424;505;673;999;1654;2957;5571;10793
342;434;513;676;999;1645;2957;5572;10793
352;424;505;666;999;1656;2958;5563;10786
343;424;512;675;999;1647;2959;5572;10794
350;432;513;676;998;1652;2957;5566;10793
345;423;504;666;999;1655;2958;5563;10792
342;431;513;675;999;1646;2957;5572;10793
352;425;507;668;999;1655;2958;5564;10786
343;423;511;673;998;1655;2958;5573;10793
350;432;513;675;1000;1653;2950;5565;10794
344;424;505;666;999;1654;2958;5563;10784
343;431;514;676;998;1647;2957;5573;10793
352;434;506;675;998;1652;2957;5564;10794
343;424;505;674;999;1655;2957;5570;10794
343;433;514;675;998;1645;2958;5565;10794
345;424;505;666;999;1655;2958;5564;10784
343;431;514;676;999;1647;2957;5573;10794
352;432;506;675;998;1652;2959;5563;10794
342;424;504;673;999;1655;2958;5572;10792
343;433;514;675;998;1645;2957;5573;10793
345;423;505;666;1000;1655;2958;5563;10785
343;431;513;676;999;1648;2958;5572;10794
352;433;506;675;999;1653;2958;5564;10793
342;424;504;673;999;1654;2957;5571;10793
343;433;514;675;998;1646;2958;5565;10793
345;423;504;666;998;1655;2958;5563;10784
342;430;513;675;999;1645;2957;5573;10793
352;425;506;668;999;1655;2957;5563;10787
343;424;512;674;999;1655;2958;5572;10794
350;432;513;676;998;1652;2950;5566;10792
345;424;505;666;998;1655;2957;5563;10784
343;431;514;675;999;1647;2957;5573;10794
352;433;506;676;999;1653;2958;5564;10794
343;423;504;673;998;1655;2958;5571;10793
343;433;514;675;999;1646;2958;5565;10793
344;424;505;667;999;1655;2957;5563;10784
343;431;513;675;999;1648;2957;5573;10794
352;432;506;676;999;1653;2957;5566;10793
343;423;504;674;998;1655;2957;5570;10792
343;432;514;676;998;1645;2958;5572;10793
352;425;505;666;998;1655;2958;5564;10786
343;424;512;675;999;1647;2957;5573;10794
350;433;506;675;998;1654;2957;5565;10793
345;424;505;666;999;1655;2958;5564;10787
343;424;512;675;999;1648;2957;5573;10793
349;433;514;675;999;1653;2957;5565;10794
344;424;505;666;999;1655;2957;5563;10784
343;424;514;675;999;1648;2957;5573;10794
352;433;507;675;998;1653;2957;5566;10792
343;424;505;674;999;1655;2958;5571;10792
342;433;514;675;999;1645;2958;5572;10793
352;424;505;666;999;1655;2958;5564;10784
343;432;514;675;998;1648;2958;5572;10793
352;432;507;675;999;1654;2958;5565;10794
343;423;504;673;998;1654;2958;5570;10794
343;433;514;675;999;1645;2957;5566;10793
344;424;504;666;999;1655;2958;5563;10792
343;431;514;676;998;1645;2958;5573;10794
351;425;506;668;999;1654;2957;5564;10786
343;424;512;673;999;1654;2957;5573;10792
350;432;513;676;999;1653;2950;5565;10794
344;423;505;666;999;1655;2959;5563;10785
342;431;513;675;998;1647;2957;5573;10793
352;434;506;675;999;1653;2958;5565;10793
342;423;504;673;998;1656;2958;5571;10792
343;432;513;676;999;1645;2958;5573;10793
352;424;504;666;999;1655;2958;5564;10784
343;431;514;676;999;1646;2958;5572;10794
351;425;506;668;998;1655;2958;5564;10786
343;424;512;674;999;1654;2957;5573;10793
351;433;514;675;999;1653;2950;5565;10793
345;424;504;666;999;1655;2957;5564;10791
343;430;513;676;998;1646;2958;5573;10794
352;425;506;668;998;1655;2956;5564;10786
343;423;512;674;998;1654;2958;5572;10793
350;433;514;676;998;1653;2950;5565;10794
345;423;504;666;998;1655;2958;5563;10785
342;430;514;675;999;1647;2957;5574;10793
352;426;507;668;998;1655;2955;5563;10786
343;424;511;673;998;1655;2958;5572;10794
350;433;513;675;999;1653;2950;5565;10792
345;423;504;666;999;1655;2957;5563;10792
342;431;514;675;999;1646;2957;5573;10793
352;425;507;668;998;1655;2956;5563;10786
342;423;512;674;999;1654;2957;5573;10793
350;433;515;676;999;1652;2951;5565;10794
345;424;505;666;999;1656;2958;5564;10785
342;430;511;675;999;1647;2958;5573;10794
350;433;507;675;999;1653;2957;5566;10793
343;424;504;674;999;1655;2958;5570;10792
342;430;513;675;998;1648;2958;5573;10794
351;425;506;668;998;1655;2956;5564;10785
343;424;512;673;999;1655;2958;5573;10794
350;433;514;675;999;1654;2951;5565;10794
345;423;504;666;999;1654;2958;5563;10785
343;431;513;676;998;1647;2957;5574;10793
352;425;506;668;999;1654;2955;5563;10786
343;424;512;673;999;1656;2958;5571;10793
343;433;514;675;998;1652;2950;5565;10794
344;424;504;666;999;1655;2957;5564;10784
342;431;513;675;999;1648;2957;5573;10794
352;426;506;668;998;1655;2957;5563;10786
343;423;512;674;999;1655;2957;5573;10793
350;433;514;676;998;1652;2951;5565;10794
344;424;504;666;999;1655;2957;5563;10785
343;431;514;676;998;1647;2958;5573;10793
352;426;507;668;998;1655;2956;5564;10785
342;424;505;674;998;1654;2958;5571;10793
343;433;513;675;999;1653;2950;5565;10794
344;423;505;666;998;1655;2958;5564;10784
342;431;513;675;998;1648;2958;5573;10793
352;426;507;668;999;1655;2956;5563;10787
343;423;511;673;999;1655;2959;5573;10794
350;432;513;675;999;1653;2951;5565;10793
345;423;505;666;999;1655;2958;5563;10785
343;431;514;676;998;1648;2958;5573;10794
350;433;506;675;999;1653;2958;5566;10794
345;424;504;674;999;1654;2957;5571;10791
343;431;514;676;999;1645;2958;5573;10793
345;424;505;666;999;1654;2958;5563;10785
343;431;512;676;998;1647;2957;5573;10793
351;426;507;668;999;1654;2955;5564;10785
343;423;504;673;1000;1654;2957;5571;10792
343;432;513;675;998;1646;2958;5572;10794
345;426;505;668;999;1655;2957;5564;10783
343;430;512;675;999;1648;2958;5572;10794
350;426;506;668;998;1656;2956;5563;10786
342;424;511;673;999;1655;2958;5571;10794
350;433;514;675;998;1652;2950;5566;10793
345;426;505;666;999;1654;2957;5563;10784
343;431;511;675;998;1648;2959;5572;10794
350;425;506;668;999;1655;2955;5564;10785
343;424;512;673;999;1655;2958;5571;10794
350;433;514;675;999;1654;2951;5565;10794
345;426;505;668;999;1655;2958;5563;10786
343;424;512;676;998;1648;2958;5573;10793
349;432;506;675;999;1653;2958;5565;10794
345;424;504;673;998;1655;2957;5571;10792
342;430;514;675;999;1645;2957;5574;10794
352;426;505;669;998;1655;2958;5564;10785
343;423;512;675;1000;1648;2957;5573;10793
350;433;514;676;999;1653;2959;5565;10794
344;426;504;668;998;1655;2958;5564;10785
343;432;512;675;999;1648;2957;5572;10794
350;426;507;668;998;1656;2957;5565;10787
342;424;511;673;998;1655;2958;5570;10794
350;433;514;676;999;1653;2950;5566;10792
345;425;504;666;998;1655;2958;5563;10786
343;431;513;676;999;1647;2958;5572;10794
352;425;507;668;999;1654;2955;5564;10786
343;424;511;673;999;1655;2958;5571;10792
350;433;514;676;999;1653;2950;5565;10794
344;426;505;668;999;1655;2958;5563;10786
343;431;512;675;999;1648;2958;5573;10793
350;434;506;675;998;1652;2957;5565;10794
345;424;505;673;999;1655;2957;5571;10791
343;433;514;675;999;1646;2959;5565;10794
345;425;504;668;999;1655;2957;5564;10785
343;431;511;676;999;1647;2958;5572;10794
352;425;507;668;999;1654;2959;5563;10786
343;424;512;673;998;1655;2958;5571;10793
351;433;514;675;999;1653;2950;5565;10792
345;425;504;668;1000;1655;2957;5564;10786
342;430;513;676;998;1648;2959;5572;10794
352;425;507;668;999;1655;2958;5563;10786
343;423;512;673;999;1655;2958;5570;10793
350;433;513;675;999;1653;2950;5565;10793
345;426;504;668;999;1655;2958;5564;10787
342;430;512;675;998;1648;2958;5573;10793
350;426;507;668;999;1655;2958;5563;10787
343;423;512;674;999;1654;2959;5571;10794
350;433;514;675;999;1653;2951;5566;10793
345;425;504;668;998;1654;2957;5564;10792
342;431;514;676;998;1647;2958;5573;10794
350;426;507;668;998;1655;2959;5563;10786
343;424;512;673;999;1654;2957;5571;10793
350;433;514;675;999;1653;2950;5565;10793
344;425;505;668;999;1655;2957;5564;10786
343;430;512;676;998;1647;2957;5574;10794
350;425;506;668;999;1655;2957;5564;10786
343;423;511;673;999;1655;2957;5571;10791
343;433;514;675;998;1652;2951;5565;10794
345;425;505;666;998;1655;2957;5564;10785
342;431;511;676;998;1647;2958;5573;10794
350;426;507;668;999;1653;2958;5565;10786
343;423;512;673;999;1655;2958;5570;10792
350;432;514;675;999;1653;2950;5566;10793
344;426;505;668;999;1654;2957;5563;10794
343;431;514;675;999;1647;2958;5572;10794
351;425;507;668;999;1652;2958;5567;10786
343;424;512;674;999;1654;2957;5571;10791
350;433;514;675;1000;1653;2950;5565;10794
345;426;504;668;998;1654;2958;5564;10787
342;430;512;676;998;1647;2957;5573;10793
350;434;507;675;999;1653;2958;5565;10793
344;424;505;673;999;1655;2957;5571;10792
343;431;514;675;999;1646;2958;5572;10793
352;425;504;668;999;1654;2957;5564;10786
343;423;511;676;999;1648;2958;5572;10794
350;426;506;669;998;1653;2958;5565;10786
343;423;512;673;999;1655;2958;5572;10791
350;432;513;675;999;1653;2950;5565;10793
345;426;504;668;1000;1655;2958;5563;10786
343;431;512;675;998;1648;2959;5573;10794
350;425;506;668;999;1653;2957;5566;10785
343;424;512;673;998;1655;2958;5571;10792
349;433;513;675;998;1653;2950;5565;10793
344;426;504;668;999;1655;2958;5563;10786
343;431;511;675;999;1648;2958;5573;10792
350;432;506;676;998;1652;2957;5565;10794
344;423;504;674;999;1655;2959;5571;10791
343;431;514;675;999;1646;2958;5573;10792
345;425;504;668;999;1655;2958;5563;10785
342;431;512;676;999;1648;2958;5573;10793
350;432;513;675;999;1653;2958;5565;10793
345;425;505;668;999;1655;2958;5564;10785
343;431;512;675;999;1648;2957;5572;10794
350;426;506;668;999;1653;2957;5565;10786
343;423;505;674;998;1654;2957;5572;10792
343;433;514;676;998;1652;2950;5566;10793
344;425;505;668;999;1655;2958;5563;10786
343;431;511;675;998;1648;2959;5572;10794
350;432;506;675;998;1652;2957;5566;10793
344;424;505;673;999;1655;2958;5571;10791
343;431;513;675;999;1645;2958;5572;10793
345;425;505;669;999;1655;2959;5564;10786
343;431;512;675;999;1647;2957;5573;10793
350;433;506;676;999;1653;2958;5565;10794
345;424;505;673;999;1656;2957;5571;10791
343;431;514;675;999;1645;2958;5573;10794
345;425;505;668;998;1655;2958;5564;10785
342;431;511;676;999;1647;2958;5573;10794
350;425;507;668;999;1653;2959;5565;10787
343;424;511;673;999;1655;2958;5572;10791
350;434;514;675;999;1653;2951;5565;10793
345;425;504;669;999;1656;2958;5563;10787
343;431;512;676;999;1647;2958;5573;10793
350;433;506;675;999;1653;2957;5566;10793
345;424;505;674;999;1655;2958;5571;10792
342;431;514;675;999;1646;2958;5565;10793
345;425;504;669;998;1655;2957;5564;10786
343;431;512;676;998;1647;2958;5573;10793
350;433;506;675;1000;1653;2958;5565;10794
345;423;504;673;998;1654;2958;5570;10792
342;431;514;675;999;1645;2957;5573;10792
352;426;505;668;998;1655;2957;5563;10786
343;431;511;675;999;1648;2958;5572;10794
350;433;506;676;999;1653;2958;5565;10794
345;424;505;673;999;1655;2958;5571;10790
343;430;513;676;998;1645;2958;5565;10794
345;426;505;668;999;1655;2958;5563;10794
342;431;511;676;998;1647;2957;5574;10793
351;425;506;668;999;1653;2957;5565;10785
343;423;504;673;999;1654;2958;5570;10792
343;431;513;675;999;1645;2958;5565;10793
345;425;504;669;999;1655;2958;5564;10785
343;431;512;675;999;1648;2957;5572;10793
350;432;506;675;998;1654;2958;5565;10794
345;424;505;674;999;1655;2957;5571;10791
342;431;513;675;999;1646;2958;5566;10792
345;425;504;668;999;1655;2957;5563;10787
343;431;511;676;998;1647;2958;5572;10794
350;426;507;669;999;1653;2958;5566;10785
343;423;504;674;998;1654;2957;5570;10792
342;430;513;676;999;1645;2957;5573;10793
345;425;504;669;999;1655;2959;5563;10793
342;424;512;673;998;1647;2958;5573;10793
350;433;506;675;999;1653;2957;5565;10793
345;424;504;674;998;1655;2958;5570;10792
343;431;514;676;999;1645;2958;5574;10794
352;425;504;668;999;1654;2957;5564;10786
343;423;512;674;1000;1647;2958;5570;10793
350;433;513;675;999;1653;2959;5565;10794
345;425;504;668;998;1654;2957;5564;10785
343;432;512;673;999;1647;2958;5572;10793
350;433;506;675;998;1653;2958;5565;10794
344;426;504;668;999;1654;2958;5563;10787
342;431;512;675;999;1647;2958;5574;10792
350;426;507;668;999;1653;2958;5565;10786
343;424;511;673;999;1656;2958;5571;10791
350;433;514;676;998;1652;2950;5566;10794
345;426;505;668;999;1655;2957;5564;10785
343;423;511;673;999;1654;2957;5570;10791
350;432;513;675;999;1653;2951;5565;10794
345;426;504;668;999;1654;2957;5564;10786
343;432;511;674;998;1647;2957;5572;10793
350;432;506;675;998;1653;2958;5565;10794
345;425;505;668;999;1654;2958;5563;10786
343;430;511;676;999;1648;2957;5573;10793
350;426;506;668;999;1653;2957;5565;10787
344;424;512;674;999;1656;2957;5571;10791
343;431;514;675;999;1646;2958;5573;10793
352;426;504;668;999;1655;2958;5564;10786
343;430;512;676;999;1648;2958;5572;10793
350;425;506;668;999;1653;2958;5565;10786
344;424;511;673;999;1654;2957;5572;10791
350;434;514;676;998;1652;2950;5566;10794
345;425;504;668;999;1655;2957;5563;10786
343;431;512;674;999;1648;2959;5572;10794
350;433;507;675;999;1653;2958;5566;10793
345;423;505;675;998;1654;2957;5570;10792
342;431;514;675;999;1646;2957;5573;10794
345;426;505;668;999;1655;2958;5564;10793
342;430;511;675;999;1647;2958;5574;10793
350;426;506;668;999;1653;2958;5565;10786
342;424;511;673;998;1655;2959;5571;10791
350;433;514;675;999;1653;2950;5566;10793
