0B;8B;16B;32B;64B;128B;256B;512B;1024B
393;464;542;705;1018;1651;2904;5412;10440
395;473;551;706;1018;1642;2903;5413;10438
386;473;551;706;1018;1640;2904;5420;10439
386;464;544;699;1019;1650;2904;5421;10448
387;464;542;698;1018;1650;2905;5413;10440
395;474;549;706;1018;1643;2903;5413;10438
388;473;551;708;1018;1641;2904;5419;10439
387;464;544;707;1018;1650;2904;5422;10448
386;464;542;698;1018;1650;2904;5413;10440
395;472;549;706;1018;1642;2896;5412;10439
389;474;551;707;1018;1642;2905;5412;10439
386;466;551;707;1018;1648;2903;5422;10446
386;464;544;699;1018;1650;2904;5422;10447
393;464;541;705;1018;1650;2904;5412;10441
395;473;551;707;1018;1643;2904;5412;10439
388;474;552;706;1018;1648;2904;5422;10445
387;464;544;700;1018;1650;2904;5421;10448
393;464;542;705;1018;1650;2905;5412;10441
395;473;551;707;1018;1642;2904;5413;10438
388;475;551;707;1018;1648;2904;5421;10446
386;464;544;700;1018;1650;2903;5421;10448
387;464;542;697;1018;1649;2904;5412;10448
395;471;549;705;1018;1650;2897;5413;10438
388;473;551;707;1019;1641;2904;5412;10439
386;466;551;706;1018;1648;2905;5421;10446
386;464;544;700;1018;1649;2904;5415;10448
393;464;542;705;1018;1649;2904;5412;10441
396;473;551;707;1018;1643;2902;5412;10438
386;466;551;707;1018;1648;2903;5422;10446
387;464;544;700;1018;1650;2904;5422;10448
394;464;542;704;1018;1651;2904;5413;10441
395;473;551;707;1018;1642;2903;5413;10439
386;466;551;706;1018;1648;2904;5422;10446
386;465;544;700;1018;1650;2903;5414;10447
394;464;542;705;1018;1650;2904;5413;10441
395;473;551;706;1018;1643;2904;5413;10438
388;473;552;707;1018;1648;2904;5421;10446
386;464;544;699;1018;1651;2904;5414;10448
393;471;542;705;1018;1650;2903;5413;10440
397;473;551;707;1018;1643;2901;5412;10438
386;466;552;707;1018;1648;2904;5422;10446
386;464;544;700;1018;1650;2905;5421;10448
393;464;542;704;1018;1650;2903;5413;10440
396;473;551;708;1018;1642;2902;5412;10439
386;466;552;706;1026;1647;2904;5421;10446
386;464;544;699;1018;1650;2903;5422;10447
393;464;542;705;1018;1650;2904;5412;10441
396;474;551;707;1017;1643;2904;5412;10438
389;473;551;707;1018;1641;2903;5420;10438
386;464;544;700;1018;1650;2903;5422;10447
386;464;542;698;1019;1649;2904;5412;10441
395;471;549;707;1018;1643;2897;5412;10439
388;474;551;707;1018;1641;2902;5413;10438
386;466;551;707;1018;1647;2904;5421;10446
386;464;544;700;1018;1649;2904;5414;10449
393;464;542;704;1018;1650;2904;5413;10440
396;474;549;707;1018;1643;2903;5412;10439
388;474;551;707;1018;1649;2904;5421;10446
386;464;544;700;1018;1649;2904;5422;10448
394;465;542;705;1018;1650;2903;5413;10440
395;473;549;707;1019;1643;2904;5412;10439
388;473;551;707;1018;1640;2905;5420;10439
386;464;544;707;1018;1651;2904;5422;10445
386;464;542;705;1018;1650;2904;5412;10441
395;473;549;707;1018;1642;2904;5413;10439
389;473;552;707;1018;1640;2904;5420;10438
386;464;544;699;1018;1650;2904;5422;10448
393;464;542;698;1018;1651;2904;5412;10441
396;471;549;707;1018;1643;2896;5412;10438
388;474;551;707;1018;1640;2902;5413;10438
386;466;551;707;1026;1648;2904;5421;10446
387;464;543;699;1018;1650;2905;5421;10448
393;465;542;705;1018;1650;2904;5413;10440
395;473;552;707;1018;1643;2904;5412;10439
388;473;551;706;1018;1640;2903;5419;10439
386;466;544;700;1018;1649;2903;5422;10447
386;464;542;697;1018;1650;2904;5412;10440
395;471;549;706;1018;1642;2897;5412;10439
388;473;551;707;1018;1641;2904;5420;10439
386;467;551;706;1018;1648;2904;5422;10445
387;465;543;699;1018;1649;2904;5414;10448
394;464;542;704;1018;1650;2904;5413;10441
396;474;549;706;1018;1642;2904;5413;10438
388;473;552;707;1018;1640;2904;5420;10439
387;464;544;700;1018;1650;2903;5421;10448
386;464;542;697;1018;1649;2903;5413;10440
396;471;549;707;1018;1642;2896;5413;10438
389;473;551;707;1018;1641;2904;5419;10439
387;466;551;707;1018;1647;2905;5421;10446
386;464;542;698;1018;1649;2904;5413;10440
396;471;549;707;1018;1642;2897;5412;10439
388;473;551;706;1018;1641;2905;5419;10439
386;464;544;700;1018;1650;2904;5422;10447
386;464;542;698;1018;1650;2904;5412;10441
396;471;549;707;1018;1643;2897;5412;10439
388;473;551;707;1018;1640;2902;5413;10438
386;466;551;707;1018;1647;2904;5422;10445
386;464;544;700;1019;1649;2904;5414;10448
394;465;542;705;1018;1650;2904;5413;10440
395;473;549;707;1018;1643;2904;5413;10438
388;473;551;707;1018;1648;2904;5419;10446
387;464;544;699;1020;1650;2905;5422;10448
394;465;542;705;1018;1650;2903;5413;10440
396;474;549;707;1018;1643;2904;5412;10440
389;473;551;707;1018;1648;2903;5421;10446
386;464;544;699;1018;1650;2903;5422;10448
394;464;542;697;1018;1649;2904;5413;10440
396;471;549;707;1019;1642;2897;5412;10439
388;474;551;707;1018;1647;2905;5419;10446
387;464;544;700;1018;1650;2903;5423;10447
394;464;542;705;1018;1649;2903;5413;10441
396;474;549;707;1018;1642;2904;5412;10438
388;474;551;706;1018;1641;2904;5420;10438
387;464;544;699;1018;1648;2904;5421;10446
386;464;542;698;1018;1650;2903;5412;10441
395;471;549;707;1018;1642;2897;5412;10438
388;473;551;707;1018;1640;2902;5413;10438
386;466;551;707;1026;1647;2904;5422;10446
386;464;544;700;1018;1650;2904;5421;10448
393;464;542;698;1018;1650;2904;5413;10440
395;471;550;705;1018;1643;2897;5412;10439
389;473;551;706;1018;1640;2904;5420;10439
387;467;552;706;1018;1648;2904;5422;10445
386;464;542;698;1018;1650;2904;5414;10448
395;471;550;705;1018;1650;2897;5413;10439
388;473;551;707;1018;1641;2903;5413;10439
387;466;551;706;1018;1648;2904;5422;10445
386;465;544;699;1020;1650;2904;5422;10448
393;464;542;705;1018;1649;2905;5412;10440
396;473;549;707;1018;1642;2904;5413;10438
388;473;552;706;1018;1648;2903;5420;10446
386;464;544;699;1018;1651;2904;5421;10448
393;464;542;697;1018;1650;2904;5414;10440
396;472;549;704;1018;1642;2897;5412;10438
388;474;551;707;1018;1640;2904;5420;10439
387;466;544;706;1018;1647;2905;5422;10446
386;464;541;697;1018;1650;2904;5415;10440
396;471;549;705;1018;1642;2896;5412;10439
388;473;551;706;1018;1641;2906;5420;10439
386;466;551;707;1018;1647;2904;5422;10445
386;464;544;700;1018;1650;2904;5414;10448
393;464;542;705;1018;1650;2904;5412;10440
396;474;549;707;1018;1642;2904;5413;10438
388;473;551;707;1018;1641;2904;5420;10438
386;466;544;699;1018;1650;2904;5422;10448
387;464;542;697;1018;1650;2905;5415;10441
396;471;549;705;1018;1643;2896;5413;10438
388;473;551;707;1018;1641;2902;5420;10438
386;466;551;707;1018;1647;2904;5421;10446
387;464;544;699;1018;1649;2904;5415;10448
394;465;542;705;1018;1650;2904;5412;10440
396;473;549;707;1018;1643;2904;5412;10439
388;473;551;707;1018;1640;2904;5421;10438
387;466;544;699;1019;1648;2904;5422;10445
387;464;542;697;1019;1649;2904;5414;10441
396;472;549;704;1018;1642;2897;5412;10439
388;473;551;707;1018;1640;2902;5413;10438
386;467;551;708;1018;1648;2904;5421;10446
386;464;544;700;1018;1650;2904;5414;10448
393;464;542;705;1018;1649;2904;5413;10440
396;474;549;706;1018;1643;2903;5412;10438
389;473;551;707;1018;1642;2904;5419;10438
387;466;544;699;1018;1648;2903;5422;10446
387;464;542;697;1018;1649;2904;5414;10448
394;471;542;705;1019;1650;2904;5413;10441
396;474;551;707;1017;1642;2905;5413;10439
386;466;551;707;1018;1647;2904;5420;10445
387;464;544;700;1017;1650;2904;5421;10448
393;464;542;705;1018;1650;2905;5412;10441
396;474;550;706;1018;1643;2904;5413;10438
388;474;551;707;1018;1641;2903;5419;10439
387;466;544;700;1017;1650;2904;5421;10448
393;464;542;698;1018;1649;2903;5414;10448
396;471;549;705;1018;1649;2897;5413;10438
389;473;551;707;1019;1640;2902;5412;10439
387;466;551;706;1018;1648;2905;5422;10446
386;464;544;700;1018;1650;2904;5414;10448
393;472;542;705;1018;1650;2904;5412;10440
395;473;549;706;1018;1642;2904;5412;10438
388;474;551;707;1019;1641;2904;5421;10438
387;467;544;700;1018;1648;2904;5421;10446
386;464;542;698;1018;1650;2904;5414;10441
395;471;549;706;1018;1643;2896;5412;10439
388;474;552;706;1018;1641;2902;5420;10438
386;467;551;707;1018;1648;2903;5421;10446
386;464;544;700;1018;1650;2905;5415;10448
394;471;542;705;1018;1650;2904;5413;10440
395;473;550;707;1018;1642;2904;5412;10439
388;474;551;707;1018;1641;2904;5419;10439
386;466;544;700;1018;1650;2903;5423;10447
386;465;542;698;1018;1649;2904;5414;10440
396;471;549;707;1018;1642;2897;5412;10439
388;473;551;707;1018;1641;2903;5420;10439
386;466;551;707;1018;1648;2904;5423;10445
387;464;544;699;1018;1650;2904;5414;10448
394;464;542;705;1018;1650;2904;5412;10440
395;473;551;707;1018;1643;2904;5413;10438
387;466;552;707;1018;1648;2904;5419;10446
386;464;544;700;1018;1650;2904;5421;10448
394;465;542;705;1018;1650;2904;5413;10439
396;474;552;707;1018;1642;2904;5413;10438
386;466;551;706;1018;1648;2904;5419;10446
387;465;543;699;1018;1650;2905;5414;10448
394;464;542;705;1018;1650;2904;5413;10440
396;473;549;707;1018;1643;2904;5412;10439
386;466;551;707;1018;1648;2905;5420;10446
386;464;544;699;1019;1650;2904;5415;10447
393;464;542;705;1018;1650;2903;5412;10441
395;473;549;707;1018;1644;2904;5412;10439
389;473;551;707;1018;1641;2904;5420;10438
387;467;543;707;1018;1648;2904;5423;10446
387;464;542;698;1019;1649;2904;5414;10441
395;471;550;705;1018;1643;2898;5412;10438
388;474;551;707;1018;1641;2902;5413;10438
387;466;551;708;1018;1647;2904;5421;10446
387;464;544;700;1018;1649;2904;5414;10448
394;464;542;705;1018;1650;2904;5413;10440
396;474;550;707;1018;1642;2904;5412;10439
388;473;551;707;1018;1641;2904;5419;10439
387;466;544;699;1018;1648;2904;5422;10446
387;464;542;698;1018;1650;2904;5415;10440
395;471;549;705;1019;1643;2897;5412;10438
389;473;551;706;1018;1640;2903;5412;10439
386;466;551;707;1018;1647;2904;5420;10445
386;464;544;699;1018;1649;2904;5414;10448
393;464;542;705;1018;1650;2905;5412;10441
396;473;549;706;1018;1642;2904;5413;10439
389;474;552;707;1018;1640;2904;5420;10438
386;466;544;699;1018;1650;2904;5421;10448
394;464;542;705;1018;1650;2904;5413;10440
396;471;549;706;1018;1642;2904;5413;10438
388;473;551;707;1019;1641;2904;5419;10439
387;467;543;699;1018;1648;2905;5422;10446
387;464;542;700;1018;1650;2903;5415;10447
394;472;550;705;1018;1649;2904;5412;10440
395;474;549;707;1018;1642;2903;5412;10438
387;467;551;707;1018;1647;2904;5420;10445
386;464;544;700;1018;1650;2903;5421;10448
394;465;542;704;1018;1651;2904;5412;10441
395;473;549;707;1018;1643;2905;5412;10439
388;473;551;707;1018;1640;2904;5420;10437
386;466;544;699;1018;1647;2904;5422;10446
386;464;542;698;1018;1650;2905;5414;10441
396;472;549;705;1018;1643;2897;5413;10438
389;473;552;707;1018;1641;2902;5413;10439
387;466;551;707;1018;1649;2904;5420;10446
386;464;544;700;1020;1649;2904;5415;10447
395;464;542;705;1018;1650;2904;5412;10440
395;473;549;706;1018;1643;2902;5413;10438
386;466;551;707;1018;1648;2904;5419;10446
387;464;543;699;1018;1650;2904;5422;10447
393;464;542;697;1018;1650;2904;5414;10441
396;472;549;704;1018;1642;2897;5412;10439
388;474;551;706;1018;1641;2902;5413;10438
386;466;552;707;1018;1647;2904;5419;10446
386;464;544;699;1018;1651;2904;5421;10448
393;464;542;704;1018;1650;2904;5413;10440
396;473;549;707;1018;1643;2904;5412;10438
386;466;551;706;1018;1648;2904;5419;10446
387;464;544;699;1018;1650;2905;5421;10448
393;464;541;704;1018;1650;2904;5413;10440
396;473;549;708;1018;1643;2904;5412;10438
387;466;551;707;1018;1648;2904;5419;10446
386;464;544;700;1018;1650;2903;5422;10447
394;464;542;705;1018;1649;2903;5412;10441
396;474;549;707;1018;1643;2904;5412;10439
389;473;551;706;1018;1641;2904;5421;10438
387;466;544;699;1018;1648;2904;5422;10445
386;464;542;697;1019;1650;2904;5414;10441
395;471;549;705;1018;1642;2897;5412;10439
389;474;551;707;1018;1640;2902;5413;10438
386;466;551;707;1018;1648;2904;5422;10446
387;464;543;699;1018;1649;2904;5414;10448
393;464;542;705;1018;1650;2904;5413;10440
396;475;549;707;1018;1642;2903;5412;10439
388;473;552;706;1018;1641;2904;5419;10439
386;466;543;700;1018;1648;2903;5422;10446
386;464;542;700;1018;1650;2904;5415;10440
395;471;549;704;1019;1643;2896;5412;10439
389;474;552;706;1018;1642;2902;5412;10438
387;466;551;707;1018;1648;2904;5420;10446
387;464;544;699;1020;1650;2904;5414;10448
393;464;542;705;1018;1649;2904;5412;10441
395;474;550;707;1018;1642;2904;5414;10438
388;474;551;707;1018;1640;2904;5420;10439
387;466;543;699;1018;1649;2904;5422;10446
386;464;542;698;1018;1649;2904;5414;10448
396;472;549;704;1018;1650;2897;5413;10440
388;473;551;706;1019;1641;2902;5413;10439
386;466;552;706;1018;1648;2905;5419;10446
387;465;544;700;1018;1649;2904;5415;10447
394;465;542;705;1018;1650;2904;5412;10441
395;474;550;707;1018;1642;2904;5413;10438
389;473;551;707;1018;1640;2904;5420;10438
386;466;544;700;1018;1647;2904;5421;10446
387;464;542;697;1018;1650;2904;5414;10441
396;472;549;705;1018;1643;2896;5412;10439
388;473;551;707;1018;1641;2902;5413;10438
387;466;551;706;1026;1647;2904;5422;10446
386;465;544;700;1020;1650;2904;5414;10447
394;464;542;705;1018;1650;2904;5413;10440
396;473;550;707;1018;1642;2904;5412;10438
389;473;551;707;1018;1640;2904;5420;10439
387;466;544;699;1018;1648;2904;5423;10445
386;464;542;700;1018;1650;2903;5414;10448
394;471;549;705;1018;1650;2897;5412;10441
388;474;551;706;1018;1642;2903;5413;10438
387;467;551;707;1018;1647;2904;5420;10445
387;465;543;699;1017;1650;2904;5414;10448
393;464;542;705;1018;1649;2905;5412;10441
395;473;549;706;1018;1643;2903;5413;10438
389;473;552;707;1018;1640;2903;5419;10439
386;466;544;699;1018;1649;2904;5422;10446
386;464;542;698;1018;1650;2904;5415;10440
397;472;549;704;1018;1643;2896;5412;10438
388;473;551;707;1018;1640;2902;5420;10439
387;466;551;707;1018;1648;2904;5421;10446
386;464;544;699;1018;1649;2904;5415;10447
393;472;542;705;1018;1650;2904;5413;10440
396;474;550;706;1018;1642;2904;5412;10439
387;466;551;707;1018;1648;2904;5420;10445
386;464;544;700;1018;1650;2903;5422;10448
393;464;542;705;1018;1650;2904;5412;10441
395;473;549;707;1018;1642;2904;5413;10438
389;473;551;707;1018;1641;2904;5420;10438
386;466;544;699;1019;1648;2904;5421;10447
387;464;542;699;1018;1650;2904;5414;10441
395;472;549;705;1018;1643;2897;5413;10440
388;473;552;708;1018;1641;2902;5419;10439
386;466;551;706;1018;1648;2905;5421;10446
386;464;543;700;1018;1650;2904;5415;10447
394;465;542;705;1018;1649;2904;5412;10441
396;474;549;706;1018;1643;2904;5412;10438
389;473;551;707;1018;1641;2904;5420;10438
386;466;544;707;1018;1647;2904;5422;10445
386;465;542;700;1019;1650;2904;5414;10440
396;472;549;705;1018;1642;2897;5412;10441
388;473;552;706;1018;1642;2902;5413;10438
386;466;551;708;1018;1648;2903;5421;10446
386;464;544;700;1018;1649;2904;5414;10448
394;464;542;705;1018;1649;2904;5413;10440
396;474;549;707;1018;1642;2904;5412;10439
387;466;551;707;1018;1649;2904;5419;10446
386;464;544;699;1021;1650;2904;5422;10448
393;464;542;705;1018;1649;2904;5413;10440
396;473;549;707;1018;1643;2903;5412;10439
386;466;551;707;1018;1648;2904;5420;10446
387;464;544;700;1018;1650;2904;5422;10447
393;464;542;705;1018;1650;2904;5412;10440
395;471;549;707;1018;1643;2904;5412;10439
388;474;551;707;1018;1648;2904;5420;10445
386;467;544;700;1018;1650;2904;5421;10448
394;464;542;705;1018;1651;2904;5412;10441
395;473;549;707;1018;1642;2904;5412;10439
386;466;551;707;1018;1648;2904;5420;10446
387;464;543;700;1018;1650;2903;5421;10448
394;464;542;705;1018;1650;2905;5413;10441
396;474;549;707;1018;1643;2903;5413;10438
388;474;552;706;1018;1648;2903;5420;10446
386;466;543;700;1018;1651;2904;5421;10446
393;465;542;697;1018;1649;2904;5415;10440
397;472;549;704;1018;1643;2897;5412;10440
388;473;551;707;1018;1641;2902;5419;10439
386;466;552;707;1018;1648;2904;5421;10446
387;464;543;699;1018;1650;2904;5415;10447
394;464;542;706;1018;1650;2904;5413;10441
395;473;550;706;1018;1642;2904;5412;10439
386;466;551;706;1018;1648;2904;5421;10446
386;464;544;699;1018;1650;2904;5414;10448
393;464;542;705;1018;1651;2904;5412;10440
396;473;549;707;1018;1642;2904;5413;10438
386;466;551;707;1018;1647;2904;5420;10445
386;464;544;700;1019;1650;2904;5414;10448
393;464;542;705;1018;1650;2905;5412;10440
395;473;549;707;1018;1642;2904;5413;10438
387;466;551;708;1018;1648;2904;5419;10446
386;464;544;700;1018;1650;2904;5421;10448
393;471;542;705;1018;1650;2904;5413;10440
396;474;550;707;1018;1643;2903;5412;10439
386;466;551;707;1018;1648;2904;5419;10446
386;466;544;699;1018;1650;2904;5422;10446
386;464;542;698;1018;1650;2904;5415;10440
395;471;549;705;1018;1642;2897;5412;10441
388;474;551;707;1019;1641;2902;5419;10438
387;466;551;706;1018;1647;2903;5420;10445
386;464;544;699;1018;1649;2904;5414;10448
394;464;542;705;1018;1650;2905;5412;10441
395;471;549;707;1018;1643;2904;5413;10438
389;474;551;707;1018;1641;2904;5419;10439
386;466;544;700;1018;1648;2904;5421;10446
394;464;542;697;1018;1650;2904;5414;10448
394;472;549;705;1018;1650;2896;5413;10440
388;474;551;707;1019;1643;2902;5412;10439
387;467;551;707;1026;1647;2905;5420;10446
386;464;544;699;1018;1648;2904;5422;10445
393;464;542;698;1018;1649;2904;5415;10440
395;471;549;705;1018;1642;2897;5413;10441
388;473;551;706;1018;1642;2902;5413;10438
386;466;552;707;1018;1647;2903;5419;10446
387;464;544;699;1018;1650;2903;5414;10448
394;472;542;705;1018;1649;2904;5412;10441
396;472;549;707;1018;1643;2904;5413;10438
388;473;551;707;1019;1647;2904;5419;10446
386;466;544;699;1018;1650;2904;5421;10448
394;464;542;705;1018;1649;2904;5413;10439
396;472;550;707;1018;1642;2904;5412;10438
389;473;551;707;1018;1641;2904;5420;10439
386;467;544;707;1018;1648;2904;5422;10445
387;464;544;700;1018;1650;2904;5414;10447
394;472;550;705;1018;1650;2897;5412;10441
388;473;551;707;1018;1642;2903;5413;10439
386;466;551;707;1017;1648;2904;5420;10445
386;464;544;700;1018;1650;2904;5414;10448
394;472;542;705;1018;1650;2904;5412;10440
395;471;549;707;1018;1643;2904;5413;10438
388;473;552;707;1018;1641;2904;5420;10439
386;466;544;699;1018;1649;2904;5422;10446
386;464;544;700;1018;1650;2904;5414;10448
394;471;542;705;1017;1649;2904;5412;10440
388;474;549;707;1018;1643;2903;5413;10439
388;466;551;707;1018;1648;2904;5420;10446
387;466;544;699;1018;1650;2903;5415;10447
393;464;542;705;1018;1649;2904;5413;10441
395;471;549;707;1018;1642;2905;5413;10439
