0B;8B;16B;32B;64B;128B;256B;512B;1024B
310;368;418;521;723;1130;1946;3583;6846
309;363;411;519;722;1128;1946;3581;6845
310;367;418;521;723;1130;1947;3583;6845
317;362;411;512;724;1128;1946;3581;6846
310;367;418;521;724;1130;1946;3583;6846
317;362;411;513;724;1128;1944;3574;6838
310;368;419;522;724;1129;1946;3582;6845
317;363;411;512;724;1129;1946;3580;6845
310;368;418;521;724;1130;1946;3582;6846
317;362;413;512;723;1128;1944;3573;6839
310;360;418;521;724;1128;1946;3583;6846
317;363;413;512;716;1129;1945;3573;6838
310;360;419;521;724;1128;1946;3583;6846
318;362;412;512;717;1128;1944;3573;6838
310;360;418;522;723;1128;1946;3583;6845
317;363;413;512;717;1128;1945;3574;6838
310;360;419;521;724;1128;1946;3582;6845
318;362;413;514;716;1128;1946;3575;6839
312;361;418;519;723;1128;1946;3582;6846
318;362;413;514;716;1128;1946;3575;6838
312;360;418;519;722;1128;1946;3581;6843
317;368;413;514;716;1128;1946;3575;6846
311;360;411;520;722;1135;1946;3581;6844
310;367;413;514;723;1127;1946;3576;6845
311;362;411;519;722;1135;1947;3580;6846
310;367;413;514;724;1128;1938;3575;6846
311;363;411;519;722;1127;1946;3580;6846
310;368;418;522;724;1130;1946;3582;6846
310;362;411;519;722;1128;1946;3581;6845
309;368;418;521;724;1130;1946;3582;6846
317;362;411;513;723;1128;1946;3580;6846
310;368;418;521;723;1129;1946;3582;6846
317;363;411;512;724;1128;1946;3581;6846
310;368;418;521;723;1130;1946;3582;6845
317;363;411;512;724;1128;1946;3580;6846
310;369;418;521;723;1130;1946;3582;6846
317;363;411;512;724;1127;1946;3580;6846
310;368;418;521;724;1130;1946;3583;6846
317;362;411;512;724;1128;1947;3581;6846
310;367;418;522;723;1129;1946;3582;6846
317;363;411;512;723;1128;1946;3580;6846
310;368;418;521;723;1130;1946;3583;6846
317;362;411;512;723;1128;1946;3581;6846
310;368;418;521;723;1131;1946;3583;6845
317;362;413;512;724;1128;1944;3573;6839
309;368;418;521;724;1130;1946;3582;6847
317;362;413;513;723;1128;1944;3574;6839
310;360;418;521;723;1128;1946;3582;6845
317;362;413;513;717;1128;1946;3573;6838
311;361;418;519;724;1128;1946;3582;6846
317;363;413;514;716;1128;1946;3575;6838
312;361;418;519;723;1128;1946;3583;6846
318;362;413;514;716;1129;1946;3575;6839
312;361;419;519;723;1128;1946;3582;6846
317;363;413;514;716;1128;1946;3575;6839
312;361;418;519;723;1128;1946;3583;6846
317;362;413;514;716;1128;1947;3575;6838
312;360;418;519;724;1128;1946;3582;6845
317;363;413;514;716;1128;1947;3575;6847
312;360;418;519;722;1128;1946;3580;6847
317;363;413;514;717;1128;1946;3576;6839
312;360;418;519;724;1128;1946;3580;6843
317;363;413;514;716;1128;1946;3575;6847
312;360;418;519;721;1128;1947;3580;6845
317;362;413;514;716;1128;1946;3575;6845
312;361;418;519;721;1128;1947;3580;6844
317;367;413;514;716;1128;1946;3575;6846
312;361;411;519;721;1135;1946;3580;6845
309;368;413;514;724;1128;1946;3575;6846
311;364;411;519;722;1135;1946;3581;6846
310;367;413;514;723;1127;1947;3575;6845
312;363;411;520;721;1135;1946;3580;6846
310;367;413;514;724;1128;1946;3575;6846
312;363;411;519;721;1135;1946;3581;6846
310;368;420;514;723;1128;1939;3575;6845
312;362;411;519;721;1128;1946;3580;6845
310;368;418;521;723;1130;1946;3583;6846
309;363;411;513;724;1128;1946;3580;6846
310;368;419;521;723;1130;1946;3583;6845
317;363;411;512;724;1128;1947;3581;6845
310;368;418;522;723;1129;1946;3582;6846
317;362;411;512;724;1128;1946;3581;6846
310;367;418;522;724;1129;1947;3583;6846
317;363;411;512;724;1127;1946;3582;6845
310;368;418;521;723;1131;1947;3582;6846
317;362;413;512;724;1128;1944;3573;6839
310;368;418;521;724;1130;1947;3582;6846
317;362;412;512;724;1128;1944;3574;6838
310;368;418;521;724;1130;1947;3583;6845
317;363;413;513;724;1128;1946;3580;6845
309;368;419;521;724;1130;1946;3582;6846
317;363;413;513;723;1128;1946;3581;6846
310;368;418;521;723;1129;1946;3583;6845
317;362;411;512;723;1128;1946;3580;6846
310;367;419;521;724;1129;1946;3583;6847
317;362;411;512;724;1128;1944;3573;6839
310;368;419;521;723;1130;1946;3583;6846
317;363;413;513;716;1128;1945;3573;6838
310;361;418;521;724;1128;1946;3582;6846
318;363;413;512;717;1128;1944;3574;6839
310;360;418;521;723;1128;1946;3583;6847
317;362;413;513;724;1128;1944;3574;6838
310;368;418;521;723;1129;1947;3582;6845
318;363;413;512;717;1127;1946;3575;6839
310;360;418;521;723;1128;1946;3582;6846
317;363;413;512;716;1128;1944;3574;6838
310;361;418;521;723;1128;1947;3583;6846
317;362;413;512;716;1128;1946;3577;6838
310;361;418;521;723;1128;1946;3582;6846
317;362;413;512;716;1128;1946;3574;6839
310;360;418;521;724;1128;1946;3583;6846
318;362;413;512;716;1128;1945;3573;6838
310;360;418;522;724;1128;1946;3582;6846
317;362;413;512;716;1128;1946;3573;6839
310;360;418;521;724;1128;1946;3583;6845
317;362;412;513;717;1128;1946;3575;6839
310;360;419;522;724;1129;1947;3582;6845
317;362;413;514;716;1128;1946;3575;6846
312;361;418;519;722;1128;1946;3580;6844
317;362;413;514;716;1128;1946;3575;6846
312;360;418;520;722;1128;1947;3581;6843
317;362;413;514;716;1128;1946;3575;6838
311;360;418;520;721;1128;1946;3581;6845
317;363;412;514;717;1128;1946;3575;6839
311;360;418;520;721;1128;1946;3581;6844
317;362;413;514;716;1129;1946;3575;6845
312;360;419;519;722;1128;1946;3580;6844
317;367;412;514;716;1128;1946;3575;6847
312;361;411;519;722;1136;1946;3581;6845
310;368;413;514;723;1128;1947;3575;6846
312;362;411;519;722;1135;1946;3580;6845
310;367;413;514;724;1128;1939;3575;6846
312;363;411;519;721;1128;1946;3580;6846
310;368;421;514;723;1128;1939;3576;6845
312;362;411;520;722;1128;1946;3581;6846
310;368;419;514;723;1129;1939;3575;6846
310;363;411;519;721;1128;1946;3580;6846
310;368;418;514;723;1130;1946;3576;6845
310;363;411;519;722;1128;1947;3581;6846
310;367;418;521;724;1129;1946;3582;6845
310;363;411;519;722;1128;1946;3581;6846
310;368;419;521;724;1130;1946;3582;6846
310;363;411;520;721;1128;1946;3581;6846
310;368;418;521;724;1130;1947;3582;6845
317;363;411;512;724;1128;1946;3580;6846
310;368;418;522;723;1130;1947;3583;6846
318;362;414;512;724;1127;1946;3581;6846
310;368;419;522;724;1130;1947;3582;6845
317;362;413;512;724;1128;1946;3581;6845
310;369;418;521;723;1130;1946;3583;6847
318;363;411;512;723;1128;1944;3574;6839
310;368;418;521;724;1129;1946;3583;6846
317;363;413;513;724;1128;1947;3581;6846
309;368;418;522;723;1130;1946;3582;6846
317;362;413;512;723;1128;1944;3573;6839
310;367;418;521;723;1130;1946;3583;6845
317;363;412;512;717;1128;1944;3574;6838
310;367;418;521;723;1130;1946;3583;6845
317;362;413;512;716;1128;1945;3573;6839
310;367;418;521;724;1130;1946;3582;6846
317;362;413;512;724;1128;1944;3574;6838
310;368;418;522;723;1129;1946;3582;6846
317;363;411;513;724;1127;1946;3580;6845
310;368;418;521;723;1129;1946;3583;6846
317;362;411;512;723;1128;1944;3574;6847
310;368;418;521;723;1130;1946;3583;6845
317;362;413;512;723;1129;1945;3573;6839
310;360;419;521;723;1128;1946;3583;6847
317;362;412;512;717;1128;1944;3573;6839
310;360;418;521;723;1128;1946;3583;6846
317;363;413;512;716;1128;1947;3573;6838
310;361;418;521;724;1128;1946;3583;6846
318;362;413;512;716;1128;1946;3573;6840
310;360;419;522;724;1128;1946;3582;6846
317;363;413;512;717;1128;1944;3574;6838
310;367;418;521;724;1130;1946;3582;6846
317;363;413;512;716;1127;1946;3573;6839
310;361;419;521;724;1128;1946;3582;6846
317;362;413;512;716;1128;1946;3574;6839
310;360;418;521;724;1128;1947;3582;6845
317;363;413;512;716;1128;1946;3573;6838
310;360;418;522;723;1128;1946;3583;6846
317;363;413;512;716;1128;1946;3574;6839
310;361;419;522;724;1128;1946;3583;6845
318;363;413;512;717;1128;1945;3573;6838
310;367;418;522;723;1130;1946;3582;6847
317;362;413;512;716;1128;1944;3573;6839
310;361;418;521;723;1128;1946;3583;6846
317;363;413;512;716;1128;1946;3575;6838
310;360;418;522;723;1129;1946;3582;6845
317;362;413;512;716;1128;1946;3575;6840
310;360;418;521;723;1128;1946;3582;6846
317;362;413;514;716;1128;1946;3576;6838
312;360;418;520;724;1128;1947;3582;6845
317;362;413;514;717;1128;1946;3575;6839
311;361;418;519;724;1128;1946;3582;6846
317;362;413;514;717;1128;1946;3575;6838
312;361;418;519;724;1128;1946;3582;6846
317;362;412;514;716;1129;1946;3575;6838
312;360;419;520;723;1128;1946;3583;6846
317;362;413;514;716;1128;1946;3575;6846
312;361;418;519;721;1128;1946;3581;6844
317;368;413;514;716;1128;1947;3575;6846
312;360;419;520;723;1128;1946;3580;6843
309;368;413;514;724;1128;1946;3575;6846
312;362;411;519;722;1135;1946;3580;6846
310;367;413;514;723;1128;1946;3575;6845
312;362;411;520;722;1136;1946;3581;6844
310;367;413;514;723;1128;1946;3575;6846
312;362;411;519;722;1136;1946;3581;6847
309;368;413;514;723;1130;1939;3575;6846
312;362;411;519;721;1128;1947;3580;6846
310;368;419;514;724;1129;1946;3575;6845
310;363;411;519;721;1128;1946;3581;6847
309;368;418;514;724;1129;1947;3575;6847
310;363;411;520;722;1128;1946;3581;6846
310;368;418;514;724;1130;1946;3582;6845
310;363;411;520;724;1127;1946;3580;6846
310;368;418;521;723;1130;1946;3582;6846
310;362;411;512;723;1128;1946;3582;6845
310;367;418;521;723;1130;1946;3582;6846
310;362;411;519;721;1128;1946;3580;6845
310;368;418;522;724;1129;1946;3582;6846
310;362;411;520;725;1127;1946;3580;6846
310;368;419;522;724;1129;1946;3583;6845
310;363;411;512;724;1127;1946;3580;6845
310;368;418;522;723;1130;1946;3582;6846
310;362;411;520;723;1128;1946;3580;6846
310;367;419;522;723;1129;1946;3583;6846
310;363;411;512;724;1128;1946;3581;6845
310;368;418;521;723;1131;1946;3582;6846
317;362;413;512;723;1128;1944;3574;6839
309;368;418;521;724;1128;1946;3582;6846
318;362;413;512;724;1128;1944;3574;6838
310;367;418;521;724;1128;1947;3583;6845
317;362;413;512;725;1128;1944;3573;6839
309;368;419;522;723;1128;1946;3583;6847
317;362;413;514;716;1128;1946;3575;6838
310;360;418;521;724;1128;1946;3583;6846
317;362;413;514;716;1128;1946;3575;6838
310;360;419;521;724;1128;1946;3583;6846
317;363;413;512;716;1128;1947;3573;6839
310;367;418;522;723;1128;1946;3583;6846
317;362;413;513;717;1128;1947;3573;6838
309;368;418;521;724;1128;1946;3583;6845
318;362;413;512;723;1128;1944;3573;6839
310;367;418;521;723;1130;1946;3582;6846
318;362;411;512;723;1128;1946;3581;6846
310;368;418;521;723;1130;1946;3582;6846
317;363;413;512;716;1127;1945;3573;6839
309;360;418;521;724;1127;1946;3583;6846
317;363;413;513;716;1128;1944;3573;6839
310;368;418;522;724;1128;1947;3583;6845
317;362;413;512;716;1128;1946;3575;6839
310;360;418;519;723;1128;1946;3582;6846
317;363;412;514;717;1128;1946;3575;6839
312;360;419;519;723;1128;1946;3581;6844
317;362;413;514;716;1128;1946;3575;6838
312;360;418;520;724;1128;1946;3582;6846
317;363;413;514;717;1128;1946;3575;6839
311;360;419;519;724;1128;1946;3583;6846
318;363;413;514;716;1128;1946;3575;6838
312;360;418;519;723;1128;1946;3580;6844
317;362;413;514;716;1128;1946;3575;6840
312;360;418;519;723;1128;1946;3583;6846
317;362;413;514;716;1128;1946;3576;6838
312;360;418;520;722;1128;1947;3580;6843
317;363;413;514;716;1128;1946;3575;6838
312;360;418;520;721;1128;1946;3581;6845
317;360;413;514;717;1128;1947;3575;6845
312;360;419;520;722;1128;1946;3581;6843
317;360;413;514;717;1129;1946;3575;6846
312;361;419;520;721;1128;1946;3580;6844
317;363;413;514;717;1128;1946;3575;6847
312;360;418;519;721;1128;1946;3581;6844
317;368;413;514;716;1128;1947;3575;6845
311;360;419;519;722;1128;1946;3581;6844
310;368;413;514;723;1128;1946;3575;6846
312;363;411;519;722;1135;1946;3580;6846
310;368;413;514;723;1130;1939;3575;6845
309;363;411;520;722;1129;1946;3581;6846
310;368;419;514;723;1130;1946;3575;6846
310;362;411;519;721;1128;1946;3580;6846
310;368;418;514;724;1130;1946;3576;6845
310;363;411;519;723;1128;1946;3580;6845
310;367;418;521;724;1129;1946;3582;6845
310;362;411;519;723;1128;1946;3580;6847
309;367;418;521;724;1130;1946;3582;6846
310;362;411;519;721;1128;1946;3581;6845
310;367;419;514;724;1130;1946;3582;6845
310;362;411;520;724;1128;1946;3580;6846
309;368;418;521;724;1130;1946;3582;6846
310;362;411;512;723;1128;1946;3581;6845
310;368;418;521;724;1130;1947;3583;6845
317;362;411;512;723;1128;1946;3580;6845
310;368;418;521;723;1130;1946;3582;6846
317;363;411;512;724;1128;1946;3580;6846
310;368;418;521;723;1130;1946;3583;6845
310;362;411;519;724;1128;1947;3581;6846
310;368;419;514;723;1130;1946;3575;6846
310;363;411;519;722;1128;1946;3580;6846
310;368;419;514;723;1130;1939;3575;6846
310;363;411;520;722;1128;1946;3581;6846
310;368;419;515;724;1130;1946;3582;6846
310;362;411;520;723;1128;1946;3581;6846
309;368;418;521;724;1130;1946;3582;6846
310;363;411;512;723;1128;1946;3581;6845
310;368;419;522;724;1130;1947;3582;6845
310;363;411;512;724;1128;1946;3581;6846
310;367;418;521;723;1130;1946;3582;6846
317;363;411;513;724;1128;1944;3581;6847
310;368;418;521;724;1130;1946;3583;6845
318;362;413;513;724;1129;1944;3580;6846
310;368;419;521;723;1130;1946;3582;6846
317;362;411;512;723;1128;1946;3580;6846
310;368;418;521;723;1130;1946;3583;6846
317;362;411;512;723;1128;1947;3581;6846
310;367;418;521;724;1130;1946;3582;6846
310;362;411;513;724;1128;1946;3580;6846
310;368;418;521;723;1130;1946;3582;6846
310;362;411;519;722;1128;1946;3581;6845
310;368;418;514;723;1130;1939;3575;6845
310;362;411;520;722;1128;1946;3580;6846
310;367;418;514;723;1129;1939;3575;6846
310;363;411;520;723;1128;1946;3581;6845
310;367;418;521;723;1129;1946;3582;6846
310;362;411;512;723;1128;1946;3580;6846
310;368;418;521;723;1130;1946;3583;6846
317;362;411;512;723;1128;1947;3580;6846
310;368;419;521;724;1130;1946;3583;6845
317;362;411;512;723;1128;1946;3581;6846
310;367;419;522;724;1130;1946;3582;6846
310;362;411;519;723;1128;1946;3580;6847
310;367;418;522;724;1130;1946;3583;6846
310;362;411;519;723;1128;1946;3581;6846
310;368;419;521;723;1131;1946;3583;6846
317;362;411;512;723;1128;1946;3581;6846
310;368;418;521;724;1130;1946;3582;6846
317;362;413;512;723;1128;1945;3581;6845
310;367;418;521;723;1130;1947;3582;6845
317;362;413;512;725;1128;1945;3580;6845
310;367;418;521;723;1130;1946;3582;6847
317;363;412;513;724;1128;1944;3581;6847
310;367;418;521;723;1130;1946;3583;6846
317;362;413;512;723;1129;1944;3581;6845
310;368;419;522;724;1129;1947;3582;6846
317;362;413;512;723;1128;1944;3581;6846
310;367;418;521;723;1130;1946;3583;6845
317;362;413;512;723;1128;1945;3581;6846
309;368;418;521;724;1130;1946;3582;6845
318;362;413;513;724;1128;1944;3580;6846
310;368;418;521;724;1130;1946;3582;6847
310;362;411;520;724;1128;1946;3581;6845
310;368;418;521;723;1130;1946;3582;6846
317;362;411;512;724;1128;1946;3580;6846
310;367;418;522;723;1129;1946;3582;6846
317;363;413;512;724;1128;1946;3581;6845
310;367;419;521;724;1130;1947;3582;6845
317;363;413;513;723;1128;1944;3580;6845
310;368;418;521;723;1130;1946;3582;6846
317;362;413;512;724;1128;1944;3573;6839
310;367;418;521;723;1130;1946;3583;6845
317;363;412;512;724;1128;1947;3581;6845
310;368;418;522;723;1130;1946;3582;6846
317;362;411;512;724;1128;1946;3581;6846
310;368;419;522;724;1129;1947;3583;6846
317;363;412;512;723;1128;1944;3581;6845
310;368;419;522;723;1130;1946;3582;6846
317;362;413;513;716;1128;1946;3573;6839
310;361;419;522;724;1128;1946;3583;6846
317;362;413;514;716;1128;1946;3574;6838
310;360;418;522;723;1128;1946;3582;6845
317;362;413;512;716;1128;1946;3573;6838
310;360;418;521;724;1128;1946;3582;6846
317;363;413;514;716;1128;1946;3575;6838
310;361;418;521;723;1128;1946;3583;6846
317;362;413;514;716;1129;1946;3575;6838
312;360;419;519;724;1128;1946;3582;6846
317;363;413;514;717;1128;1946;3575;6839
312;361;418;519;723;1128;1946;3582;6845
317;362;413;514;716;1128;1947;3575;6838
312;360;418;519;722;1128;1946;3580;6843
318;362;413;514;716;1128;1946;3575;6847
312;360;418;519;721;1128;1946;3581;6844
318;363;413;514;717;1128;1946;3576;6838
311;360;418;520;722;1128;1946;3581;6844
317;361;413;514;716;1128;1946;3575;6846
312;361;419;519;722;1128;1946;3580;6844
317;368;413;514;716;1128;1946;3576;6846
312;360;411;519;721;1135;1947;3580;6845
310;367;413;514;724;1128;1946;3575;6845
311;362;411;519;721;1135;1946;3580;6846
310;368;413;514;723;1127;1946;3575;6846
312;362;411;520;722;1135;1946;3581;6846
309;368;420;514;724;1130;1939;3575;6846
309;362;411;520;723;1128;1946;3580;6846
310;367;418;521;723;1129;1946;3582;6846
310;362;411;519;723;1127;1946;3581;6845
310;367;419;521;724;1130;1947;3582;6846
310;362;411;519;724;1128;1946;3580;6846
310;368;418;521;723;1130;1946;3583;6846
310;363;411;519;723;1128;1946;3580;6846
310;367;418;521;723;1130;1946;3583;6845
310;362;411;512;723;1127;1947;3580;6845
310;368;418;514;724;1130;1946;3575;6846
310;362;411;519;723;1128;1946;3580;6846
310;368;418;521;724;1130;1946;3583;6845
309;362;411;512;723;1128;1946;3581;6845
310;367;418;521;724;1130;1947;3582;6845
317;362;413;512;723;1128;1944;3574;6839
310;367;418;522;724;1128;1946;3582;6846
317;363;413;513;724;1128;1944;3574;6838
310;367;418;521;724;1130;1946;3582;6846
317;362;413;512;724;1128;1944;3574;6838
310;368;418;521;724;1128;1946;3582;6846
317;363;413;512;724;1128;1944;3573;6846
310;367;418;522;724;1130;1946;3583;6845
317;362;413;512;723;1128;1944;3580;6845
310;368;419;521;724;1130;1946;3582;6846
317;362;413;512;723;1128;1945;3573;6840
310;368;418;522;723;1130;1946;3583;6845
317;362;413;512;723;1128;1944;3580;6845
310;368;419;521;724;1130;1946;3583;6846
318;362;413;512;723;1128;1945;3574;6839
310;367;418;521;723;1130;1946;3582;6846
317;362;411;512;723;1128;1946;3581;6846
310;367;419;522;724;1129;1946;3582;6846
317;362;413;512;724;1128;1944;3581;6846
310;367;419;521;724;1130;1946;3582;6846
317;362;413;512;724;1128;1944;3581;6845
309;368;418;521;724;1130;1947;3582;6846
317;362;413;512;723;1128;1944;3580;6846
309;369;419;521;724;1129;1946;3583;6846
317;362;412;512;724;1128;1944;3574;6839
310;367;418;521;723;1128;1946;3583;6846
317;363;412;512;716;1128;1947;3573;6838
310;361;418;522;723;1128;1946;3583;6847
317;362;413;512;717;1128;1946;3575;6839
312;360;418;520;724;1128;1947;3583;6845
317;362;413;514;716;1128;1946;3575;6838
312;360;418;521;724;1128;1946;3582;6845
317;362;413;514;716;1128;1946;3575;6846
312;361;418;519;721;1128;1946;3580;6845
318;361;413;514;716;1128;1946;3576;6845
312;361;418;520;721;1128;1947;3580;6844
317;360;413;514;716;1128;1946;3575;6847
312;360;418;519;722;1128;1946;3581;6845
317;367;412;514;716;1128;1946;3575;6845
311;361;418;519;721;1128;1946;3581;6843
310;368;413;514;724;1129;1946;3575;6846
310;363;411;519;721;1128;1946;3581;6846
309;368;418;514;724;1130;1946;3575;6846
310;362;411;519;721;1128;1946;3581;6845
310;368;418;514;724;1130;1947;3575;6845
310;362;411;519;724;1128;1946;3580;6845
310;368;418;521;723;1130;1946;3583;6846
317;362;413;512;724;1128;1944;3581;6846
310;367;419;521;724;1130;1946;3583;6845
318;362;413;513;724;1128;1944;3581;6845
310;367;418;521;724;1130;1946;3582;6846
317;362;413;512;724;1128;1945;3573;6839
310;367;418;522;724;1128;1947;3583;6845
317;362;413;512;724;1128;1945;3573;6839
310;367;419;522;724;1128;1947;3582;6845
318;362;412;513;716;1128;1944;3573;6840
310;368;418;521;724;1130;1946;3582;6846
318;362;411;512;724;1128;1946;3581;6845
310;367;418;521;723;1130;1946;3582;6845
317;362;413;512;723;1128;1944;3580;6846
310;368;418;521;724;1130;1946;3583;6846
317;363;413;512;724;1128;1944;3581;6846
310;368;418;522;724;1130;1947;3583;6846
317;363;413;513;724;1128;1944;3580;6845
310;369;419;521;724;1129;1946;3583;6846
317;363;413;512;723;1128;1944;3573;6839
309;367;418;521;723;1128;1946;3582;6845
317;362;413;513;723;1128;1945;3580;6846
310;368;419;522;723;1130;1946;3582;6846
317;362;412;512;723;1128;1944;3580;6846
309;368;418;521;723;1129;1946;3583;6845
317;362;413;512;723;1128;1944;3581;6845
310;368;418;522;724;1130;1946;3582;6846
317;362;413;512;723;1128;1944;3573;6839
310;367;418;521;723;1130;1946;3583;6846
317;362;412;512;723;1128;1944;3574;6839
310;367;418;522;723;1127;1946;3582;6845
317;362;413;513;724;1128;1944;3574;6839
309;368;419;521;724;1128;1946;3583;6847
317;363;413;513;723;1128;1944;3573;6846
