0B;8B;16B;32B;64B;128B;256B;512B;1024B
272;321;374;484;712;1154;2043;3810;7364
265;328;377;487;707;1153;2041;3818;7364
267;320;382;494;713;1155;2041;3818;7368
267;322;375;491;711;1162;2042;3817;7361
273;322;377;485;706;1153;2041;3818;7364
265;327;376;486;706;1153;2041;3818;7363
265;320;383;494;714;1156;2043;3818;7368
266;319;375;492;713;1153;2041;3815;7362
272;322;375;484;712;1153;2041;3810;7362
265;327;377;487;707;1153;2041;3819;7363
265;320;382;493;714;1155;2042;3817;7368
267;319;375;493;712;1153;2042;3816;7362
272;322;375;485;711;1153;2042;3810;7362
265;327;377;486;706;1153;2042;3819;7363
265;320;382;494;714;1156;2041;3817;7369
267;321;375;492;711;1160;2041;3818;7362
272;322;377;484;706;1153;2042;3810;7364
265;328;377;487;707;1153;2041;3818;7363
267;320;382;494;713;1156;2041;3817;7368
267;321;375;492;712;1160;2042;3818;7362
272;322;377;485;706;1153;2042;3819;7363
265;327;384;487;714;1153;2042;3818;7369
267;319;382;492;714;1153;2041;3816;7369
265;322;377;485;713;1153;2044;3810;7364
265;328;377;487;707;1153;2041;3818;7363
265;320;382;494;714;1155;2042;3818;7368
267;320;375;492;711;1153;2041;3817;7362
272;322;376;485;714;1154;2043;3810;7364
265;328;377;486;706;1153;2041;3818;7363
267;320;382;494;714;1155;2041;3817;7368
267;322;375;492;712;1160;2042;3817;7361
272;327;377;487;706;1153;2041;3818;7363
265;328;382;487;714;1153;2041;3819;7368
267;320;382;492;714;1154;2042;3816;7368
265;322;375;492;712;1161;2041;3817;7362
272;322;377;487;706;1153;2041;3818;7363
265;327;377;486;706;1153;2041;3818;7363
267;320;382;494;714;1155;2041;3818;7369
267;322;375;492;712;1160;2042;3818;7362
272;321;377;485;706;1153;2041;3812;7363
265;327;377;487;706;1153;2042;3818;7363
267;320;382;495;714;1155;2042;3818;7369
267;320;375;492;711;1153;2041;3818;7362
272;322;377;485;714;1154;2043;3811;7363
265;327;377;487;706;1153;2042;3818;7363
265;320;383;494;713;1155;2041;3817;7369
267;322;375;492;711;1160;2041;3818;7362
272;322;377;486;706;1153;2042;3818;7363
265;327;384;487;713;1154;2048;3818;7371
267;320;382;494;713;1155;2041;3818;7369
267;322;375;492;712;1160;2042;3817;7361
272;322;377;484;706;1153;2041;3818;7363
265;327;384;486;706;1153;2041;3817;7363
266;320;383;494;714;1155;2041;3818;7369
266;320;375;491;711;1153;2041;3818;7361
272;322;375;485;711;1153;2044;3810;7363
265;327;376;487;706;1153;2041;3818;7364
265;320;382;494;713;1155;2041;3817;7369
267;320;382;492;711;1153;2042;3817;7362
272;322;374;484;712;1153;2042;3810;7361
265;327;377;487;706;1153;2042;3818;7364
265;328;382;486;714;1155;2041;3818;7369
267;320;382;492;714;1154;2042;3817;7369
265;322;375;492;711;1161;2041;3818;7361
272;322;377;487;707;1154;2041;3818;7364
265;327;377;486;706;1153;2041;3817;7364
267;319;382;494;713;1155;2042;3818;7369
267;320;374;492;711;1154;2041;3815;7362
273;322;375;485;712;1153;2043;3810;7364
265;327;377;486;706;1153;2041;3818;7363
265;320;382;494;713;1155;2042;3818;7368
267;320;382;492;712;1154;2041;3816;7362
272;322;375;485;711;1153;2041;3810;7362
265;327;376;487;706;1153;2041;3819;7363
265;327;382;487;714;1155;2042;3818;7368
267;320;382;493;713;1153;2041;3816;7369
265;322;375;492;712;1160;2041;3818;7362
272;322;377;485;706;1153;2042;3818;7364
264;327;377;486;707;1153;2042;3817;7363
265;320;383;494;714;1155;2041;3818;7369
267;320;375;492;712;1153;2042;3816;7362
272;322;375;485;712;1153;2042;3811;7361
265;327;377;487;706;1153;2042;3817;7363
265;328;384;486;714;1155;2041;3817;7369
267;320;382;491;713;1153;2041;3816;7369
265;322;375;492;712;1161;2041;3818;7361
272;322;377;485;706;1154;2041;3810;7363
265;327;377;487;706;1154;2042;3817;7364
265;319;382;494;714;1155;2041;3818;7368
267;320;375;492;711;1153;2042;3816;7361
272;322;375;484;712;1153;2041;3811;7362
265;327;377;487;707;1153;2041;3818;7364
265;327;382;486;714;1155;2041;3819;7368
267;320;382;492;714;1153;2042;3816;7369
265;322;375;493;712;1161;2041;3817;7362
273;322;377;484;707;1153;2041;3810;7364
265;327;377;487;706;1153;2041;3818;7363
267;320;382;494;714;1155;2041;3816;7368
265;321;375;492;712;1160;2041;3817;7362
272;322;376;487;707;1154;2042;3817;7364
265;327;377;486;707;1153;2042;3818;7363
266;320;382;494;714;1156;2041;3818;7368
266;320;375;492;712;1153;2042;3816;7362
272;322;375;485;711;1153;2043;3810;7363
265;327;377;487;707;1153;2042;3818;7363
267;320;382;494;714;1155;2041;3818;7369
267;320;382;491;712;1153;2042;3815;7362
272;322;375;492;711;1153;2042;3811;7361
265;327;377;486;707;1153;2042;3818;7363
264;327;384;487;714;1155;2042;3817;7369
267;320;382;492;713;1153;2041;3816;7369
265;322;375;492;711;1160;2041;3819;7361
272;322;376;485;707;1153;2042;3818;7364
265;327;385;486;713;1154;2048;3818;7370
267;320;382;493;713;1155;2041;3817;7369
266;320;375;492;712;1153;2041;3818;7361
272;322;375;484;714;1154;2044;3810;7363
265;328;377;486;707;1153;2041;3818;7364
265;320;382;493;713;1155;2042;3818;7369
267;319;375;492;711;1153;2041;3816;7361
273;322;375;485;712;1153;2041;3810;7361
265;327;376;487;706;1153;2041;3818;7364
265;327;384;487;714;1155;2041;3819;7368
267;319;382;492;713;1153;2042;3815;7368
265;322;375;492;712;1160;2042;3817;7361
272;322;377;484;706;1153;2041;3818;7364
265;327;377;486;706;1153;2042;3818;7363
265;319;382;494;714;1155;2042;3818;7368
267;320;382;493;712;1154;2042;3815;7362
272;322;375;485;711;1153;2042;3810;7361
265;327;377;487;707;1153;2042;3818;7363
265;328;382;486;713;1155;2041;3817;7368
267;320;383;492;713;1153;2041;3816;7369
265;322;375;492;712;1160;2041;3817;7362
272;321;377;485;706;1153;2041;3811;7363
265;327;377;486;706;1154;2042;3818;7363
267;320;382;494;713;1155;2041;3817;7369
267;320;382;492;712;1153;2041;3816;7362
272;321;375;485;712;1153;2043;3810;7363
265;327;377;487;706;1153;2041;3818;7363
265;320;382;494;713;1155;2041;3818;7369
267;320;382;492;712;1153;2042;3817;7361
272;322;375;485;712;1153;2044;3810;7363
265;328;377;487;706;1154;2041;3818;7363
267;320;382;494;714;1155;2041;3818;7369
267;319;374;492;712;1153;2042;3819;7361
272;321;375;484;711;1153;2042;3810;7363
265;328;377;487;706;1153;2041;3817;7364
265;320;382;494;714;1156;2041;3818;7369
266;320;382;492;712;1154;2041;3816;7361
272;321;375;485;712;1154;2041;3810;7361
265;328;376;486;706;1153;2041;3818;7364
265;327;382;487;714;1155;2042;3818;7369
266;320;383;492;714;1153;2041;3816;7368
265;322;375;492;711;1161;2041;3817;7361
273;322;377;484;706;1153;2041;3818;7364
265;328;377;487;714;1153;2049;3818;7368
267;320;382;494;714;1153;2042;3816;7369
265;322;375;492;713;1161;2042;3817;7362
272;322;376;485;707;1153;2041;3818;7364
265;328;377;487;713;1153;2048;3818;7368
267;320;382;494;714;1155;2042;3817;7368
267;322;375;492;712;1161;2042;3818;7361
272;322;377;487;707;1153;2041;3818;7364
265;327;382;486;714;1155;2041;3819;7369
267;320;382;492;714;1154;2041;3816;7368
265;321;374;492;712;1160;2041;3818;7362
272;320;377;485;707;1153;2042;3810;7364
265;327;377;486;707;1153;2041;3819;7363
265;320;382;493;713;1156;2041;3817;7368
267;320;375;492;712;1153;2041;3817;7362
272;322;377;485;706;1153;2041;3810;7363
265;327;376;487;706;1153;2042;3818;7363
265;320;382;494;715;1155;2041;3818;7369
267;320;375;491;711;1154;2042;3817;7362
272;321;375;484;714;1153;2044;3811;7363
265;327;377;487;707;1153;2043;3818;7363
265;320;382;495;714;1155;2041;3818;7369
266;320;383;491;712;1153;2041;3818;7362
272;322;375;485;711;1153;2044;3811;7363
265;327;377;487;707;1153;2042;3817;7363
265;327;383;486;714;1155;2041;3817;7370
267;321;375;492;712;1160;2041;3818;7362
272;322;377;488;706;1153;2042;3818;7363
265;327;384;486;713;1154;2041;3818;7369
267;320;382;492;713;1153;2041;3815;7369
265;321;375;492;712;1160;2041;3818;7362
272;321;377;487;707;1153;2041;3817;7363
265;328;382;487;714;1155;2041;3817;7369
267;320;382;492;713;1153;2042;3817;7362
272;322;375;485;715;1153;2043;3811;7364
265;328;377;486;706;1153;2042;3818;7363
267;320;382;495;714;1155;2041;3818;7369
267;320;375;492;711;1153;2041;3817;7362
272;322;377;485;713;1153;2043;3811;7363
265;327;377;487;707;1153;2049;3817;7368
267;319;383;494;714;1153;2042;3816;7369
265;322;374;492;712;1160;2041;3818;7361
272;322;377;487;707;1153;2042;3811;7363
265;328;377;486;706;1154;2041;3818;7364
267;320;382;494;714;1155;2041;3817;7369
267;320;375;492;711;1153;2041;3817;7361
272;321;377;484;714;1154;2041;3811;7363
265;327;376;487;706;1153;2041;3818;7363
267;320;382;494;714;1155;2041;3817;7369
266;320;382;492;712;1153;2042;3819;7361
272;322;375;485;714;1153;2044;3811;7363
265;327;377;487;707;1154;2041;3817;7364
267;320;382;494;714;1155;2041;3818;7369
267;319;374;492;712;1153;2041;3818;7361
273;322;377;485;713;1153;2042;3810;7363
265;327;377;487;707;1153;2041;3818;7364
267;320;382;493;714;1155;2042;3818;7369
267;320;382;492;711;1153;2041;3818;7361
272;321;375;485;711;1154;2041;3810;7361
265;328;377;487;706;1153;2041;3818;7364
265;327;382;486;714;1155;2041;3818;7369
267;320;382;492;714;1153;2041;3817;7369
265;322;375;491;711;1161;2041;3818;7362
273;320;377;486;706;1153;2041;3811;7363
265;327;377;487;706;1153;2041;3818;7363
267;319;382;494;714;1156;2043;3818;7369
267;322;375;492;712;1160;2041;3818;7362
272;327;376;487;706;1154;2041;3818;7364
265;328;382;487;714;1155;2041;3819;7368
267;320;382;492;714;1153;2042;3815;7368
265;321;375;493;712;1161;2041;3817;7362
273;322;377;487;707;1154;2041;3818;7364
265;327;377;487;707;1153;2041;3819;7364
267;320;382;494;714;1155;2041;3817;7369
267;322;375;492;711;1160;2041;3818;7362
272;322;377;487;707;1153;2041;3811;7364
265;327;377;487;707;1153;2041;3819;7363
267;319;382;494;714;1156;2042;3818;7369
267;320;375;492;712;1154;2041;3818;7361
272;321;377;485;714;1153;2043;3810;7363
265;327;377;487;706;1153;2041;3817;7363
267;320;382;494;715;1155;2041;3818;7369
267;320;382;491;712;1153;2041;3818;7362
272;322;375;485;713;1153;2044;3811;7363
265;327;384;487;714;1153;2042;3817;7362
267;320;382;495;714;1155;2042;3817;7369
267;322;375;492;712;1160;2042;3817;7362
272;322;376;486;706;1153;2042;3818;7363
265;328;384;486;713;1155;2041;3817;7368
267;320;383;492;713;1153;2042;3816;7369
265;322;375;492;712;1160;2041;3818;7362
272;327;377;487;707;1153;2042;3818;7364
265;327;384;486;706;1154;2048;3818;7368
267;320;382;494;714;1153;2041;3815;7370
265;322;375;492;711;1160;2041;3817;7361
272;321;377;487;706;1153;2041;3817;7363
265;327;382;487;714;1155;2041;3818;7369
267;320;382;492;713;1153;2041;3818;7362
272;321;375;485;712;1153;2043;3811;7363
265;327;377;487;706;1153;2042;3818;7363
265;327;382;486;714;1155;2041;3818;7369
267;320;382;492;714;1153;2042;3815;7369
265;322;376;484;714;1153;2041;3811;7364
265;328;377;486;707;1153;2049;3818;7368
267;319;383;494;714;1155;2041;3817;7369
266;322;375;492;711;1160;2041;3817;7362
273;322;377;486;706;1153;2042;3818;7364
265;327;384;487;714;1154;2049;3818;7368
267;320;382;492;712;1153;2042;3818;7362
272;321;375;484;713;1153;2043;3811;7363
265;327;377;487;706;1153;2041;3817;7363
267;320;382;494;714;1155;2041;3818;7369
267;320;375;492;712;1154;2041;3817;7362
272;322;377;484;714;1153;2044;3811;7363
264;327;377;486;707;1153;2042;3817;7363
266;320;382;492;713;1153;2041;3815;7369
265;322;375;492;712;1161;2041;3818;7361
272;322;377;487;706;1153;2041;3819;7363
264;327;384;487;713;1155;2041;3818;7368
267;320;383;492;714;1153;2041;3815;7369
265;321;377;485;713;1153;2041;3811;7364
264;327;377;487;707;1153;2041;3818;7363
267;320;382;494;713;1156;2041;3817;7368
266;320;375;492;712;1154;2042;3818;7362
273;321;377;484;714;1154;2041;3810;7363
265;327;377;487;706;1154;2041;3817;7363
267;320;382;494;714;1155;2041;3818;7369
267;320;375;492;711;1154;2041;3817;7362
273;322;374;484;712;1153;2043;3811;7363
265;327;377;487;706;1153;2042;3817;7363
267;319;382;494;713;1155;2041;3818;7369
267;320;375;492;712;1153;2041;3818;7362
272;321;375;484;714;1153;2043;3811;7363
265;327;377;487;706;1153;2049;3818;7368
267;320;383;492;714;1154;2041;3816;7369
265;322;374;492;712;1160;2042;3810;7362
265;320;377;486;706;1154;2041;3818;7363
265;327;384;487;714;1154;2048;3818;7368
266;320;382;494;713;1153;2041;3816;7369
265;322;374;492;712;1160;2041;3818;7361
272;320;377;487;706;1153;2041;3818;7363
265;327;382;487;715;1155;2042;3818;7370
267;320;382;492;713;1153;2041;3816;7370
265;322;375;492;712;1161;2041;3818;7361
273;322;377;487;706;1153;2043;3818;7363
265;327;377;487;707;1153;2042;3818;7364
267;320;382;494;714;1155;2041;3817;7369
267;320;382;492;712;1154;2041;3819;7361
272;321;375;485;711;1153;2043;3810;7361
265;327;377;487;706;1153;2042;3818;7363
265;327;382;487;714;1155;2041;3817;7369
267;319;382;492;714;1153;2042;3817;7368
265;327;377;486;706;1154;2041;3818;7363
265;328;382;487;714;1155;2041;3817;7370
267;320;383;492;713;1153;2041;3816;7369
265;322;375;492;711;1160;2041;3819;7361
273;322;377;487;707;1153;2041;3810;7363
265;327;376;487;706;1153;2041;3817;7364
267;320;382;492;714;1153;2041;3816;7368
265;322;377;485;713;1153;2042;3811;7364
265;327;384;487;714;1155;2042;3818;7369
266;320;375;492;712;1153;2041;3818;7362
272;322;377;485;714;1153;2042;3811;7363
265;327;377;486;706;1153;2042;3817;7363
267;320;383;494;713;1155;2041;3817;7369
267;320;375;492;711;1153;2041;3818;7362
272;322;377;484;714;1153;2043;3811;7363
265;327;377;487;707;1154;2042;3818;7363
267;320;382;494;714;1155;2041;3817;7369
267;320;375;492;712;1153;2041;3817;7361
272;322;375;485;712;1153;2043;3811;7363
265;327;376;487;707;1153;2041;3818;7363
265;328;383;487;714;1155;2042;3818;7369
267;320;382;492;714;1154;2041;3817;7368
265;322;377;485;713;1153;2042;3810;7363
265;327;376;487;706;1153;2041;3818;7362
267;320;382;493;714;1155;2041;3818;7369
267;322;374;492;712;1161;2041;3818;7361
272;322;377;487;706;1153;2042;3818;7363
265;327;377;486;713;1153;2041;3818;7364
267;320;382;494;713;1153;2041;3816;7369
265;322;375;492;712;1160;2041;3819;7361
272;320;377;487;707;1154;2041;3811;7364
265;328;382;487;714;1155;2041;3817;7369
267;320;382;492;714;1153;2041;3816;7369
265;321;375;492;712;1160;2041;3818;7361
273;322;377;487;706;1153;2041;3818;7363
265;327;385;486;713;1153;2041;3818;7364
267;320;382;494;714;1155;2041;3818;7369
267;320;375;492;712;1153;2042;3818;7361
272;321;375;485;714;1153;2044;3810;7364
265;327;377;486;707;1153;2041;3817;7364
267;320;382;494;713;1155;2042;3818;7368
267;320;375;492;712;1153;2042;3818;7361
272;321;377;485;713;1153;2042;3810;7364
265;327;382;487;714;1156;2042;3817;7369
267;320;382;492;713;1153;2041;3816;7369
265;322;375;492;711;1161;2042;3810;7361
265;328;377;487;706;1153;2041;3818;7364
265;327;384;487;713;1153;2041;3818;7362
267;320;382;494;714;1155;2041;3819;7368
267;319;374;492;712;1154;2042;3818;7361
273;322;377;485;714;1154;2041;3811;7364
265;327;377;487;706;1154;2042;3819;7363
267;319;382;493;714;1155;2042;3818;7368
267;320;382;492;713;1153;2041;3817;7362
272;322;377;484;714;1153;2041;3811;7364
265;328;382;486;714;1156;2041;3818;7369
267;320;382;492;714;1153;2042;3816;7368
265;322;375;493;712;1161;2041;3817;7362
272;320;377;486;706;1153;2041;3810;7364
265;327;376;487;706;1153;2041;3818;7361
267;320;382;494;713;1155;2041;3818;7369
267;320;383;492;711;1153;2041;3817;7362
272;322;377;485;713;1153;2042;3810;7364
265;327;377;487;707;1153;2042;3818;7361
267;320;382;494;714;1156;2041;3818;7369
267;320;375;492;711;1154;2041;3818;7362
272;321;375;485;712;1153;2043;3811;7363
265;327;377;487;707;1153;2041;3818;7363
265;327;382;487;715;1155;2041;3818;7369
267;320;382;492;714;1154;2041;3816;7369
265;322;375;492;711;1160;2042;3818;7361
272;322;377;486;706;1153;2042;3810;7363
265;327;376;487;706;1153;2041;3818;7364
266;320;382;493;714;1155;2041;3817;7369
267;320;374;492;712;1153;2042;3818;7361
272;322;377;485;713;1153;2042;3810;7363
264;327;377;487;706;1153;2041;3817;7364
267;320;382;493;713;1155;2041;3818;7369
266;320;382;492;712;1153;2042;3819;7361
272;327;377;486;706;1154;2041;3817;7361
267;320;382;494;714;1155;2041;3817;7369
267;320;375;492;712;1153;2041;3817;7361
272;322;377;485;714;1153;2042;3811;7364
265;327;377;487;707;1153;2041;3818;7361
267;320;382;494;713;1155;2041;3818;7369
267;320;382;492;712;1153;2042;3819;7361
272;322;374;485;712;1153;2042;3811;7361
265;327;377;487;706;1153;2042;3818;7363
265;327;382;487;714;1156;2042;3817;7369
267;320;382;492;714;1153;2041;3817;7368
265;321;375;492;711;1161;2042;3818;7361
272;322;377;487;706;1154;2041;3810;7364
265;327;377;487;707;1154;2041;3817;7364
266;320;382;491;714;1153;2041;3817;7368
265;322;375;492;712;1162;2042;3818;7361
272;320;377;487;707;1153;2041;3810;7364
265;327;377;486;707;1154;2041;3817;7363
266;320;382;494;714;1155;2041;3818;7368
267;319;382;492;712;1154;2041;3818;7361
273;322;375;485;712;1153;2043;3811;7364
265;327;377;487;706;1154;2041;3819;7363
267;320;382;494;714;1155;2042;3817;7369
267;320;375;492;712;1153;2041;3818;7362
272;322;378;485;714;1153;2041;3810;7364
265;327;377;486;706;1153;2041;3818;7361
267;320;382;494;714;1155;2042;3818;7369
267;320;375;492;711;1153;2041;3817;7362
272;322;377;484;713;1153;2041;3811;7364
265;327;377;487;706;1153;2041;3818;7363
267;320;382;494;713;1155;2041;3818;7368
267;320;383;492;711;1153;2041;3818;7362
272;322;377;485;714;1153;2041;3810;7364
265;327;377;487;706;1153;2041;3818;7363
267;320;383;494;713;1155;2042;3817;7368
267;320;382;492;712;1153;2041;3818;7362
272;322;375;492;711;1153;2044;3810;7363
264;327;377;487;707;1153;2041;3818;7363
267;320;382;492;714;1153;2041;3815;7369
265;322;375;492;711;1160;2042;3817;7362
273;322;377;487;707;1154;2041;3818;7364
265;327;382;486;713;1155;2043;3817;7369
267;320;382;493;714;1153;2041;3815;7369
265;322;377;485;713;1153;2042;3810;7364
265;327;377;486;706;1153;2041;3818;7361
267;320;382;492;714;1153;2041;3816;7368
265;322;374;492;712;1160;2041;3818;7362
272;321;377;486;706;1153;2042;3810;7364
265;327;377;486;707;1153;2041;3818;7363
266;320;382;494;714;1156;2042;3818;7368
267;320;382;491;711;1153;2041;3818;7362
273;322;377;485;714;1153;2041;3811;7363
265;327;377;486;706;1153;2041;3818;7363
267;320;382;494;715;1155;2041;3818;7369
267;320;375;492;711;1153;2042;3817;7362
273;322;377;485;714;1153;2041;3811;7364
265;328;382;486;713;1155;2042;3817;7369
267;320;382;493;713;1153;2041;3815;7369
265;321;375;492;712;1161;2041;3818;7362
272;327;377;487;706;1153;2041;3818;7363
267;320;382;494;714;1155;2041;3817;7369
267;320;382;492;712;1153;2041;3818;7362
272;322;374;485;713;1154;2044;3810;7364
265;327;376;487;706;1153;2041;3818;7363
267;320;382;494;713;1155;2042;3817;7369
267;320;382;492;712;1153;2041;3817;7362
272;322;377;485;713;1153;2042;3811;7363
265;327;377;486;706;1153;2042;3818;7361
267;320;382;493;715;1153;2041;3815;7369
264;322;375;492;712;1161;2041;3817;7362
272;322;377;487;707;1153;2042;3818;7363
265;327;376;487;706;1153;2042;3818;7361
267;320;382;495;714;1153;2041;3815;7369
265;323;375;491;711;1153;2041;3818;7362
272;322;375;485;712;1153;2043;3812;7363
265;327;377;487;706;1153;2042;3817;7363
265;327;383;486;714;1155;2041;3818;7369
267;320;382;492;714;1153;2041;3816;7369
265;322;375;492;711;1160;2041;3818;7361
272;327;377;487;706;1154;2041;3818;7363
265;328;382;487;713;1155;2042;3818;7369
267;320;382;492;714;1153;2041;3816;7369
265;322;375;492;712;1160;2041;3818;7361
273;322;376;487;707;1153;2041;3810;7363
265;327;376;487;707;1153;2041;3818;7364
267;320;382;494;714;1156;2041;3819;7368
266;320;382;492;712;1153;2042;3817;7361
273;322;374;485;715;1153;2043;3811;7364
265;327;377;486;706;1153;2041;3817;7364
265;327;382;487;714;1155;2041;3819;7368
267;320;382;492;714;1154;2042;3816;7368
265;322;375;493;712;1161;2041;3817;7362
272;327;377;486;706;1153;2042;3817;7364
267;320;382;494;713;1155;2041;3819;7369
267;321;375;491;711;1161;2041;3818;7361
272;322;377;486;706;1154;2041;3817;7364
265;327;382;486;714;1153;2048;3818;7369
267;320;382;494;714;1153;2041;3816;7369
265;322;375;492;712;1161;2041;3817;7361
273;322;377;486;706;1153;2041;3818;7364
265;327;382;487;713;1153;2049;3818;7368
267;319;382;492;713;1153;2042;3816;7369
