0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;362;731;612;1234;1149;2306
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1234;1149;2305
111;229;112;232;114;235;116;240;156;320;236;480;362;731;612;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2305
112;230;112;232;114;235;116;241;156;320;236;480;362;731;612;1233;1149;2306
112;230;112;232;114;235;117;241;156;320;236;480;362;731;612;1233;1149;2305
111;230;112;232;114;235;117;241;156;320;236;481;362;731;611;1233;1149;2306
111;230;112;232;114;235;116;241;156;320;236;481;362;731;611;1233;1149;2306
111;229;112;232;114;235;116;241;156;320;236;481;361;731;611;1233;1149;2306
111;229;112;232;114;235;116;240;156;320;236;481;361;731;611;1233;1149;2305
111;229;112;232;114;235;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1149;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;115;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;237;481;361;730;613;1233;1150;2307
111;229;112;232;114;236;116;240;156;320;236;481;361;730;613;1233;1149;2307
111;229;112;232;114;235;116;240;156;320;236;481;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;232;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;112;233;114;235;116;240;156;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1233;1149;2305
111;229;113;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2305
111;229;112;233;114;235;116;240;157;321;236;480;361;731;613;1234;1149;2306
111;229;112;233;114;235;116;240;156;321;236;480;362;731;613;1234;1149;2305
