0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;40;86;43;93;59;124;91;189;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;39;83;40;86;43;93;59;124;91;189;144;296;253;514;479;965
36;80;38;83;39;86;44;93;59;124;90;188;144;296;253;512;478;965
36;80;38;83;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;479;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;478;965
36;80;38;84;39;86;43;93;59;124;90;189;144;296;253;514;478;965
36;80;38;83;39;86;43;94;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;253;514;478;965
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
36;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;964
36;80;38;83;39;86;43;93;59;124;90;188;146;297;253;512;479;965
38;80;38;83;39;86;43;93;59;124;90;188;144;296;254;514;478;965
36;80;38;83;41;86;43;93;59;124;90;188;145;297;253;512;479;965
36;80;38;83;39;86;43;93;60;124;90;188;144;296;254;514;478;965
36;80;38;83;40;86;43;93;59;124;90;188;145;297;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;145;296;253;512;479;965
36;81;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
36;80;38;83;40;88;43;93;59;124;90;188;144;296;253;512;479;965
37;80;38;83;39;86;43;93;59;126;90;188;144;296;254;514;478;965
