0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
224;431;276;537;353;690;442;876;522;1055;611;1240
216;432;277;537;354;697;433;876;531;1053;611;1240
215;432;267;538;344;699;433;876;532;1053;611;1232
216;441;268;547;345;699;434;876;531;1054;611;1233
215;441;267;547;344;699;433;876;531;1053;620;1231
215;441;267;547;344;699;434;876;531;1053;620;1230
215;441;267;547;345;699;433;876;531;1053;620;1230
215;441;267;547;344;698;433;876;531;1053;620;1230
215;441;267;548;345;699;433;876;531;1053;611;1231
215;441;267;538;344;699;433;876;532;1053;611;1232
215;441;268;546;345;699;433;876;532;1053;620;1230
215;441;268;548;344;691;442;876;522;1053;611;1231
216;432;276;537;354;690;443;876;522;1053;611;1231
215;432;277;537;354;699;434;876;531;1054;611;1239
215;441;267;547;344;699;433;876;531;1053;621;1230
215;442;267;546;345;699;434;876;532;1053;620;1231
215;441;268;546;345;698;434;876;531;1053;621;1230
215;441;267;546;344;698;433;876;532;1054;621;1231
215;441;268;546;344;699;433;869;532;1053;620;1230
215;434;267;547;345;699;443;867;522;1053;620;1231
215;433;267;547;344;699;442;867;523;1053;620;1230
215;433;268;547;344;699;442;867;523;1053;620;1231
216;434;268;547;345;699;442;867;522;1054;620;1230
215;434;268;547;345;698;442;867;522;1054;621;1230
215;434;267;547;345;699;443;867;522;1053;620;1231
215;434;268;547;345;699;442;867;523;1053;620;1231
215;433;267;547;344;699;443;867;522;1053;620;1230
215;434;267;547;344;699;443;867;522;1053;620;1231
216;434;268;547;345;698;442;866;523;1053;620;1231
215;434;267;546;344;699;442;874;522;1053;620;1231
216;432;267;547;344;699;442;874;523;1054;620;1230
216;432;267;547;345;699;442;867;522;1053;621;1230
216;434;267;538;354;689;442;876;522;1054;611;1231
215;432;276;538;353;690;443;876;523;1055;611;1239
215;432;276;537;353;690;433;876;531;1054;611;1240
215;432;277;538;354;690;433;876;529;1053;611;1239
215;432;276;537;353;689;434;877;530;1053;611;1240
215;432;276;537;354;690;434;876;529;1053;611;1239
215;432;267;538;344;699;434;876;531;1054;612;1232
215;441;267;547;345;698;433;876;531;1053;621;1230
216;441;267;546;345;699;433;867;522;1054;621;1232
216;432;268;547;344;698;442;866;523;1054;620;1230
215;432;267;547;344;699;443;867;522;1054;620;1232
215;432;268;547;344;699;442;867;522;1053;621;1231
216;432;267;547;345;699;443;867;522;1054;620;1231
215;432;267;547;345;690;442;877;522;1054;621;1230
224;432;276;538;354;690;443;876;523;1053;611;1232
216;441;267;547;345;699;434;867;522;1053;620;1231
215;432;267;547;345;699;443;867;522;1054;621;1231
216;432;267;547;344;699;443;876;522;1053;620;1231
216;432;267;546;345;699;443;867;522;1053;621;1231
215;432;267;537;345;689;442;876;522;1053;621;1231
224;432;267;538;344;690;443;876;523;1053;621;1231
225;432;277;537;354;698;434;876;531;1053;611;1231
215;441;267;547;344;699;442;876;522;1054;620;1231
215;432;267;547;344;698;443;877;522;1053;621;1230
215;432;267;538;344;689;443;876;523;1054;621;1230
224;432;276;538;353;689;442;876;522;1054;611;1230
216;431;276;538;354;690;443;876;522;1054;611;1231
215;431;276;538;353;690;442;876;522;1053;611;1230
215;432;276;538;354;690;433;877;530;1053;611;1240
215;432;268;538;345;698;433;876;531;1053;611;1231
215;441;267;547;344;699;433;876;532;1053;620;1230
216;441;267;547;344;698;434;876;531;1053;620;1231
215;441;267;546;345;698;434;876;532;1053;620;1230
215;441;267;546;344;699;433;876;531;1053;620;1231
215;441;267;547;344;698;433;876;532;1054;620;1230
215;431;267;538;353;690;434;876;531;1053;612;1240
216;432;276;547;344;698;434;867;522;1053;621;1230
215;432;267;547;344;699;442;876;522;1053;621;1231
224;432;267;538;353;689;443;876;522;1053;611;1230
216;432;276;537;353;689;442;876;522;1053;611;1231
215;432;277;538;354;690;443;876;523;1053;611;1230
215;432;276;537;354;690;443;876;522;1053;611;1231
216;432;277;538;353;690;434;877;531;1053;611;1239
215;432;267;538;345;699;433;876;531;1054;611;1231
216;441;268;546;344;699;433;876;531;1053;621;1230
215;441;267;547;345;699;434;876;532;1054;611;1231
215;441;267;537;344;699;434;876;531;1053;611;1230
215;441;267;538;344;698;434;876;531;1053;611;1231
215;441;267;538;344;699;434;876;531;1053;611;1231
215;441;267;537;345;698;434;876;531;1054;612;1231
215;441;268;537;345;700;433;876;532;1054;611;1230
215;441;267;538;344;699;434;876;532;1053;611;1230
216;441;267;537;345;699;433;876;532;1053;611;1231
215;441;267;537;344;698;433;876;531;1053;611;1230
215;441;267;538;345;700;433;876;531;1054;611;1230
216;440;268;538;344;699;434;876;532;1053;611;1230
215;441;267;538;344;700;434;876;531;1053;611;1231
215;441;267;538;345;699;433;876;531;1053;611;1230
215;442;267;537;344;700;434;876;531;1054;611;1230
216;442;267;538;344;699;433;876;532;1053;611;1230
216;441;268;538;345;699;433;876;531;1053;611;1232
215;441;267;537;345;698;434;876;532;1053;611;1230
215;441;267;538;344;700;434;876;531;1053;611;1230
215;441;267;537;345;698;434;876;532;1053;611;1233
215;440;267;537;345;700;433;876;531;1053;611;1230
215;441;267;538;344;698;433;876;531;1053;611;1230
216;441;268;538;345;699;433;876;532;1053;611;1230
215;441;267;537;345;698;433;876;531;1053;611;1230
215;441;267;538;345;700;433;876;532;1053;611;1230
216;441;267;547;345;699;433;876;532;1054;620;1230
215;441;267;538;344;699;433;876;531;1053;611;1230
215;441;267;537;344;699;434;876;531;1053;611;1231
216;441;267;538;344;699;433;876;531;1053;612;1230
215;441;267;547;344;699;433;867;523;1053;620;1231
215;432;267;547;344;699;442;876;522;1053;620;1230
215;432;267;538;344;689;442;876;522;1053;620;1230
224;432;267;537;354;690;442;876;522;1053;611;1230
216;431;276;538;345;699;433;876;532;1054;611;1231
215;441;267;538;345;699;433;876;532;1053;612;1230
215;441;267;547;344;699;433;876;531;1053;620;1231
215;441;267;538;345;699;434;876;532;1053;611;1230
215;442;267;547;345;699;433;876;531;1053;621;1230
215;441;267;547;344;698;434;867;532;1054;620;1231
215;441;268;547;345;699;434;866;532;1053;620;1231
215;441;267;547;344;699;433;867;532;1053;620;1230
215;432;267;547;345;690;443;876;522;1053;620;1230
224;432;267;538;354;690;443;876;522;1053;611;1230
215;432;276;538;354;699;433;876;531;1054;611;1239
216;432;268;537;345;699;433;876;531;1053;611;1230
215;441;267;538;345;699;433;876;531;1053;611;1231
215;442;267;537;345;699;434;876;531;1053;611;1230
216;441;268;538;344;699;433;876;531;1054;611;1230
215;441;267;547;344;699;433;876;531;1053;611;1230
215;441;267;538;344;699;433;876;531;1053;612;1231
215;441;267;547;344;699;433;876;531;1053;621;1230
215;441;267;547;344;699;433;876;531;1053;620;1231
215;442;267;547;345;698;434;876;531;1053;620;1231
215;441;267;547;345;698;433;876;532;1053;620;1231
216;442;268;547;345;699;434;877;532;1054;620;1231
215;441;267;547;345;699;433;876;532;1054;620;1231
215;442;267;547;345;699;433;876;531;1053;620;1231
215;432;267;537;353;699;434;876;531;1053;620;1231
215;441;267;547;345;699;433;876;532;1054;621;1230
215;441;267;546;345;699;433;876;531;1053;621;1231
215;441;267;546;344;698;433;876;531;1053;620;1230
215;441;267;547;345;699;434;876;532;1054;620;1231
216;442;267;547;345;699;433;876;531;1053;620;1231
216;441;267;547;345;699;434;867;532;1053;620;1231
216;432;267;546;345;699;443;867;522;1053;620;1231
215;432;267;547;345;698;442;867;523;1054;621;1231
215;432;268;547;344;699;443;867;523;1053;620;1231
216;432;267;547;345;699;443;867;522;1053;620;1231
215;432;267;547;345;699;443;867;522;1053;621;1230
216;434;267;546;344;698;443;867;522;1053;621;1231
215;434;267;547;345;699;442;867;522;1053;621;1230
215;434;267;547;344;699;442;867;523;1053;620;1231
216;432;267;547;344;699;443;867;522;1053;620;1231
216;432;267;547;345;699;443;867;522;1053;621;1232
216;432;267;547;345;699;443;867;522;1053;621;1231
215;432;267;547;344;699;443;867;522;1053;620;1232
215;432;267;546;345;699;442;867;522;1053;620;1231
216;432;267;547;345;699;443;867;522;1053;620;1232
215;432;267;547;344;698;442;867;523;1053;620;1230
215;432;267;547;345;699;442;876;522;1053;620;1231
215;432;267;547;345;699;443;867;522;1054;620;1231
216;431;267;547;345;699;442;867;522;1053;620;1231
215;432;267;546;344;699;443;867;522;1053;620;1231
215;432;267;538;345;690;442;876;522;1053;621;1231
224;432;277;537;354;690;443;876;522;1053;611;1230
216;432;276;537;353;690;434;876;531;1053;611;1240
216;432;276;537;354;690;433;876;531;1053;612;1240
216;432;276;538;353;689;433;876;529;1053;611;1241
215;432;277;538;353;690;433;876;529;1053;611;1239
215;432;276;538;354;690;433;876;530;1054;611;1241
216;432;276;538;354;689;433;876;529;1053;611;1240
215;432;276;547;344;699;433;876;531;1054;620;1231
215;441;267;546;344;699;433;876;531;1053;621;1230
215;441;268;547;344;699;434;876;531;1053;621;1231
216;441;268;547;345;699;434;876;531;1053;620;1231
215;441;267;547;344;698;433;877;532;1054;621;1231
215;441;267;547;345;698;433;876;532;1054;620;1231
216;441;267;547;345;699;433;876;531;1053;621;1230
215;441;267;546;345;699;434;876;531;1054;620;1231
216;441;267;546;344;698;433;867;522;1053;621;1230
216;432;276;538;354;690;442;876;522;1053;611;1230
215;432;276;538;354;690;443;876;522;1054;611;1240
216;432;276;538;354;690;433;876;530;1053;611;1239
215;432;277;538;353;689;433;876;529;1054;612;1239
215;441;267;547;344;698;442;867;522;1053;620;1231
215;434;268;547;344;698;442;867;522;1054;620;1231
216;432;277;537;353;689;442;876;522;1053;612;1240
215;432;276;537;354;689;442;876;523;1053;611;1239
215;441;268;547;344;699;434;867;522;1053;620;1231
215;432;268;538;354;699;434;877;532;1054;611;1239
215;432;267;547;345;690;443;876;522;1054;621;1231
224;432;276;537;353;690;443;876;522;1053;611;1230
215;432;276;537;354;690;442;876;522;1053;611;1240
216;432;276;538;354;690;433;876;530;1053;611;1240
215;432;276;538;353;690;434;876;530;1053;611;1240
216;432;276;538;353;690;433;876;529;1054;611;1239
215;432;276;538;353;690;434;876;530;1053;611;1239
215;432;276;537;354;690;444;876;522;1053;611;1240
215;432;277;538;354;690;433;876;530;1053;611;1239
215;432;276;538;354;689;434;876;530;1054;611;1240
216;432;277;538;353;690;433;876;530;1054;611;1240
216;432;277;538;354;690;433;876;530;1053;611;1240
215;441;267;547;344;699;433;867;532;1054;620;1231
215;431;267;546;345;700;443;876;522;1053;620;1230
215;431;268;547;345;699;443;877;522;1054;620;1231
216;432;268;537;354;699;433;876;531;1053;612;1230
216;441;267;538;353;690;433;876;531;1054;611;1240
216;442;267;545;344;699;433;876;531;1053;612;1233
215;441;267;546;344;698;433;876;532;1054;620;1231
215;442;268;547;345;699;434;876;532;1054;620;1231
215;441;267;547;344;699;433;867;531;1053;621;1230
215;441;267;546;345;698;433;867;523;1053;620;1231
215;433;267;547;345;699;442;867;522;1054;620;1231
216;434;268;547;345;698;443;867;522;1053;621;1230
215;434;267;538;353;690;442;876;522;1053;611;1230
216;432;277;537;354;689;443;876;522;1054;611;1230
215;432;277;537;353;699;433;877;531;1053;611;1240
215;431;267;537;353;698;434;876;531;1054;611;1239
215;432;267;537;345;698;433;876;531;1053;611;1231
215;441;267;538;344;699;433;876;532;1053;611;1231
216;441;267;537;344;699;433;876;531;1053;611;1232
215;441;267;537;345;699;433;876;531;1053;611;1231
215;441;267;538;345;699;433;876;531;1053;611;1231
215;440;267;537;345;698;433;876;531;1053;620;1231
216;441;267;547;344;699;433;876;531;1053;620;1231
215;432;267;547;345;699;442;867;522;1054;620;1231
216;432;267;546;345;698;442;877;523;1053;620;1232
225;432;268;538;344;690;443;876;522;1053;620;1231
224;431;276;538;353;689;442;876;522;1053;611;1241
215;432;268;538;354;699;433;876;531;1053;611;1240
215;432;268;538;353;698;433;876;531;1054;611;1231
215;441;268;537;344;699;434;876;532;1053;611;1230
216;441;268;547;345;699;434;876;532;1053;621;1230
216;441;267;547;344;699;433;867;531;1053;620;1231
215;441;267;547;345;699;433;867;531;1053;621;1231
215;441;267;547;345;699;434;867;531;1053;620;1231
216;441;267;547;345;699;433;867;532;1053;621;1231
215;432;267;538;345;689;443;876;522;1054;620;1231
225;432;267;547;344;689;443;876;523;1054;621;1230
224;431;267;547;344;699;434;867;531;1053;620;1231
216;432;267;547;344;698;442;876;522;1054;621;1230
215;432;267;538;344;690;442;876;522;1054;620;1230
224;432;276;538;353;689;442;876;522;1054;611;1230
215;432;277;538;353;690;434;876;529;1053;612;1239
215;432;276;538;354;690;434;876;532;1053;611;1240
216;432;268;538;354;699;433;876;531;1053;612;1239
215;441;267;547;344;699;433;876;532;1054;620;1230
215;441;267;546;345;699;433;876;531;1053;621;1230
215;441;268;547;345;699;433;876;532;1053;620;1231
215;441;267;547;344;699;433;876;531;1053;620;1230
215;441;267;547;345;699;433;876;532;1053;620;1231
216;441;267;547;345;699;433;876;531;1053;620;1231
215;441;267;547;344;699;433;876;532;1053;620;1231
216;441;267;547;345;699;433;876;531;1053;621;1230
215;441;267;547;344;698;433;876;532;1053;620;1231
215;441;267;546;344;699;434;876;531;1053;620;1231
216;441;268;547;344;699;434;876;532;1053;620;1230
215;441;267;547;344;699;433;869;531;1053;620;1230
215;434;268;546;345;699;442;877;523;1054;620;1231
225;432;267;547;345;699;442;874;522;1053;620;1230
215;432;267;547;344;699;443;867;522;1053;620;1231
215;433;267;547;345;699;443;867;522;1054;620;1231
215;433;267;547;344;698;442;867;522;1053;620;1230
215;434;267;547;345;699;442;867;522;1053;620;1230
215;432;267;547;344;692;442;876;522;1053;620;1231
224;432;267;540;345;690;443;876;522;1054;620;1231
224;432;267;539;345;691;443;877;522;1053;621;1230
224;432;267;547;344;691;442;876;522;1053;621;1230
224;432;267;546;345;699;443;877;523;1054;620;1231
225;432;268;547;345;699;443;876;522;1053;620;1231
225;432;267;538;354;699;433;877;531;1053;620;1231
215;441;267;538;353;699;433;876;531;1053;611;1231
215;434;267;538;355;690;442;876;522;1056;611;1239
215;432;276;538;353;689;434;876;529;1053;612;1239
215;432;267;546;344;699;433;876;531;1053;620;1230
215;441;267;547;345;698;433;876;532;1053;620;1231
215;432;267;548;344;699;443;876;522;1053;620;1231
216;432;268;538;354;689;442;876;522;1053;621;1231
224;432;277;537;353;689;433;876;531;1053;612;1240
215;432;268;538;344;698;434;876;532;1054;611;1233
215;442;268;547;344;699;434;876;531;1053;620;1230
215;441;267;547;344;698;433;876;531;1053;620;1230
216;442;267;546;345;698;434;876;532;1053;620;1230
215;441;267;546;345;699;433;876;531;1053;621;1230
215;442;267;547;344;698;433;876;531;1053;621;1230
215;441;268;547;345;698;434;876;532;1053;620;1231
216;442;268;547;344;699;433;868;532;1053;620;1230
215;441;267;546;344;699;433;869;531;1054;621;1230
216;442;267;547;345;698;433;869;532;1053;620;1231
216;433;268;547;344;698;444;867;523;1053;620;1231
215;434;267;546;344;699;443;867;522;1053;620;1231
215;434;267;547;344;699;442;867;522;1053;621;1231
215;432;267;547;344;692;442;876;523;1053;620;1230
224;432;277;538;354;690;443;876;522;1055;611;1241
215;432;267;547;344;699;434;876;531;1053;620;1230
215;441;267;547;344;699;434;876;532;1054;620;1231
215;441;267;547;345;699;433;869;531;1054;620;1230
215;433;267;547;345;699;443;867;522;1053;621;1231
215;432;267;547;345;699;442;876;522;1053;620;1231
224;432;268;546;345;698;442;874;522;1053;620;1231
215;432;267;547;345;699;442;874;522;1053;620;1230
215;434;267;546;344;699;442;867;523;1053;620;1231
216;434;267;547;345;699;443;867;522;1053;620;1231
215;432;268;546;345;699;443;876;523;1054;620;1231
215;432;267;539;345;691;443;876;522;1053;620;1230
224;432;277;537;354;689;442;876;522;1054;611;1232
216;432;277;537;353;689;433;876;529;1054;611;1239
215;432;268;537;345;699;433;876;531;1053;611;1233
215;441;267;547;345;699;433;876;532;1054;620;1231
215;441;267;546;344;699;433;876;531;1053;621;1231
216;441;267;547;344;699;433;876;531;1053;621;1230
215;441;267;547;344;698;433;876;531;1053;621;1230
215;441;267;547;344;698;434;876;531;1053;620;1231
215;441;267;547;345;699;434;876;531;1053;621;1230
215;441;267;546;344;698;433;876;531;1053;620;1230
215;441;267;547;344;699;433;876;531;1053;621;1231
215;441;267;538;345;699;433;876;532;1053;611;1230
215;441;267;537;345;699;434;876;532;1053;621;1230
215;432;267;538;353;699;433;876;531;1053;620;1231
215;441;267;547;344;699;442;867;522;1054;620;1231
216;431;277;547;345;699;433;876;531;1054;620;1230
215;441;267;547;344;699;433;876;532;1053;620;1231
215;432;267;547;345;699;443;876;522;1053;620;1231
225;432;267;538;354;690;443;877;522;1053;612;1230
215;432;276;538;353;698;433;876;531;1053;611;1240
216;432;267;538;344;699;434;877;531;1053;611;1230
215;441;267;547;344;699;433;876;531;1053;621;1230
216;441;267;547;344;699;433;867;532;1053;620;1231
216;441;267;547;345;699;433;867;531;1053;620;1231
216;441;268;547;345;699;434;867;532;1053;620;1230
216;441;268;546;344;698;434;867;531;1053;621;1230
215;441;267;547;344;699;433;867;531;1053;620;1231
216;441;267;547;344;699;433;867;531;1053;621;1230
215;432;267;538;344;690;443;876;522;1053;611;1231
216;432;277;537;354;699;434;876;531;1054;611;1240
215;441;267;546;345;699;433;876;531;1053;621;1230
215;441;267;547;344;698;433;867;531;1053;621;1230
215;432;267;547;344;699;442;876;522;1053;620;1230
224;432;267;547;345;699;442;876;522;1054;620;1230
215;432;267;546;344;699;442;876;522;1053;621;1231
215;432;268;547;345;699;443;867;522;1054;620;1231
216;432;267;547;344;700;442;867;522;1054;621;1230
215;432;267;547;344;699;442;867;522;1053;620;1231
215;432;267;547;345;699;443;867;522;1054;620;1231
216;432;267;547;345;699;442;867;523;1053;620;1230
215;432;267;547;345;699;443;867;522;1053;621;1230
215;432;267;547;344;699;443;867;522;1053;620;1230
225;432;277;548;344;699;443;876;522;1054;620;1231
225;431;267;547;344;699;443;876;522;1053;620;1231
224;432;267;538;344;690;443;876;522;1053;621;1231
225;431;267;538;354;690;442;876;522;1054;620;1230
224;432;277;538;353;690;442;876;522;1053;611;1231
216;432;276;538;353;689;433;876;530;1053;611;1239
216;432;267;537;344;699;434;876;531;1053;611;1230
215;441;267;547;344;699;433;876;531;1053;620;1231
216;442;267;547;344;699;433;876;531;1053;620;1231
216;441;268;547;344;699;433;876;531;1054;620;1231
216;442;267;547;344;699;433;876;531;1053;620;1230
215;441;267;547;344;698;433;876;532;1053;621;1230
215;442;267;546;345;698;443;876;523;1054;620;1231
216;431;268;547;345;699;442;876;522;1053;620;1231
225;432;267;547;345;699;443;876;522;1054;620;1231
225;431;268;547;345;698;443;876;522;1054;620;1231
223;432;267;546;344;699;442;867;522;1053;620;1230
216;432;267;547;345;699;443;867;522;1054;620;1231
215;432;267;546;344;698;442;867;523;1053;620;1230
215;432;267;537;344;690;443;876;522;1054;620;1231
225;432;276;538;353;690;443;877;522;1053;611;1240
216;432;276;538;353;699;434;876;531;1054;611;1240
216;441;267;547;345;698;433;876;531;1054;611;1231
216;441;267;538;344;699;433;876;532;1054;611;1232
215;441;267;547;345;699;434;876;532;1053;620;1231
216;441;268;547;344;699;434;876;532;1054;620;1231
215;441;267;547;345;699;433;876;532;1053;620;1231
215;441;267;547;344;699;433;876;531;1053;620;1231
215;441;267;547;345;699;433;876;532;1053;620;1231
215;432;268;546;345;699;443;876;522;1053;620;1231
224;432;267;538;344;690;442;876;522;1053;620;1231
224;431;268;547;344;690;442;876;523;1053;620;1231
225;432;267;538;344;689;442;876;522;1053;620;1230
224;432;267;538;344;690;442;876;522;1053;621;1231
224;432;267;538;354;690;442;876;522;1053;611;1231
216;432;276;538;354;689;442;876;522;1054;611;1232
215;432;276;537;354;690;442;876;522;1053;611;1239
216;441;268;546;345;699;434;876;532;1053;621;1231
216;441;267;547;345;698;434;876;531;1054;612;1230
215;441;267;547;344;699;433;876;531;1053;621;1230
215;441;267;547;344;698;433;867;531;1053;620;1231
215;431;267;547;344;699;442;867;522;1053;621;1231
215;432;267;547;345;699;443;867;522;1054;621;1231
215;432;268;547;344;698;443;876;522;1053;621;1231
215;432;267;538;344;689;443;876;523;1054;620;1230
224;432;268;538;345;690;443;876;522;1053;621;1231
224;432;267;537;354;690;442;877;522;1053;611;1231
215;432;276;538;353;690;442;877;523;1054;611;1231
215;432;277;537;353;689;434;876;529;1053;611;1240
216;432;267;538;344;698;433;876;531;1054;611;1231
215;441;267;538;344;698;433;876;531;1053;611;1231
216;441;268;547;344;699;433;876;532;1054;621;1230
215;441;267;547;344;699;433;876;532;1053;620;1231
216;441;267;547;345;699;433;876;531;1054;620;1231
216;441;267;547;344;699;433;876;532;1054;620;1231
216;441;268;547;345;698;434;867;532;1054;620;1230
215;432;267;547;345;699;442;867;522;1053;620;1230
215;432;267;547;344;698;442;876;523;1054;621;1230
215;432;267;546;345;690;442;876;522;1053;621;1230
224;432;267;538;345;690;443;876;523;1054;620;1231
225;432;267;538;344;690;443;876;523;1053;620;1231
224;432;276;538;353;690;442;876;522;1054;612;1230
215;431;276;538;354;699;433;876;531;1053;611;1239
215;441;267;546;344;698;433;876;532;1054;611;1230
215;441;267;547;344;698;434;876;532;1054;620;1230
216;441;267;547;345;699;434;876;532;1053;620;1231
216;441;267;547;345;699;433;876;531;1053;620;1230
215;441;267;547;345;698;433;876;532;1053;620;1231
216;440;268;537;344;698;434;876;532;1053;611;1230
215;441;267;538;345;699;434;876;532;1053;611;1230
215;441;267;538;344;698;433;876;532;1054;611;1231
216;441;267;538;345;699;434;876;532;1053;611;1231
215;441;267;538;345;699;433;876;531;1053;611;1231
215;441;267;538;345;698;433;876;532;1053;612;1230
215;441;267;537;345;698;433;876;531;1054;611;1230
216;441;267;538;344;699;433;876;532;1053;611;1231
215;441;267;538;345;699;433;876;531;1053;611;1231
215;441;268;537;345;698;434;876;532;1054;611;1231
216;441;267;538;344;699;433;876;531;1053;611;1230
216;441;267;538;345;699;433;876;532;1053;611;1230
215;441;267;537;345;698;433;876;531;1053;612;1230
215;441;267;538;344;699;434;876;532;1054;611;1230
215;442;268;537;344;699;433;876;531;1053;611;1231
215;441;267;538;344;699;434;876;532;1053;612;1230
215;441;267;538;345;699;434;876;532;1053;611;1231
215;441;267;538;345;699;433;876;532;1053;611;1230
215;441;267;538;345;699;434;876;531;1053;611;1232
215;441;267;537;344;699;434;876;532;1053;611;1230
216;441;267;538;345;699;433;876;532;1053;611;1230
215;441;267;538;345;699;433;876;532;1054;611;1231
216;441;267;537;345;699;433;876;531;1053;611;1230
216;441;268;538;344;699;433;876;532;1053;611;1231
216;441;267;538;344;699;433;876;531;1053;611;1231
215;441;267;537;345;699;433;876;532;1053;612;1230
215;441;267;538;345;698;433;876;531;1054;611;1231
215;441;267;547;345;698;433;876;532;1054;621;1231
216;441;267;547;345;699;433;876;532;1054;620;1231
216;441;267;547;345;699;433;876;532;1053;620;1230
215;441;267;547;344;699;433;876;531;1053;620;1230
215;441;267;547;344;699;433;876;532;1053;620;1230
215;441;267;547;344;699;433;868;532;1054;620;1231
216;441;268;538;354;690;433;877;530;1053;611;1240
216;432;268;537;344;698;434;876;531;1053;611;1233
215;441;267;547;345;698;433;877;531;1053;620;1231
216;441;267;546;345;699;433;867;531;1053;620;1231
215;434;267;547;344;699;443;876;522;1053;620;1230
215;432;267;547;344;699;442;877;522;1053;620;1230
215;433;267;547;344;698;443;866;523;1053;620;1231
215;432;267;547;344;699;442;876;522;1053;620;1230
215;432;267;546;344;698;444;876;522;1053;620;1231
224;432;267;539;344;690;442;876;522;1053;620;1231
225;432;267;537;353;690;443;876;522;1053;611;1231
215;432;276;537;354;690;442;876;522;1053;611;1240
216;432;276;538;354;690;433;876;530;1053;611;1240
216;432;276;538;354;690;433;876;533;1054;611;1240
216;432;277;538;354;690;433;876;530;1053;611;1240
215;432;276;538;353;689;433;876;530;1054;611;1240
215;432;277;537;354;690;433;876;532;1054;612;1239
215;432;276;537;353;690;434;876;530;1053;611;1240
216;431;276;537;354;690;434;876;529;1054;611;1240
216;432;276;538;354;690;433;876;529;1054;612;1239
215;432;276;537;353;690;434;876;531;1053;611;1240
215;432;268;537;344;699;433;876;532;1053;611;1230
216;441;268;547;345;700;434;876;531;1053;620;1231
215;441;267;538;344;698;433;876;531;1053;611;1231
215;441;267;538;344;699;433;876;531;1053;611;1230
215;441;267;538;345;699;433;876;531;1053;611;1231
215;441;267;537;344;699;433;876;531;1053;621;1230
215;432;267;537;353;699;433;876;531;1054;611;1231
215;441;267;547;345;699;443;876;523;1053;621;1231
224;432;267;538;344;689;443;876;523;1053;620;1231
224;432;277;538;354;690;443;876;522;1053;612;1231
215;432;277;538;354;690;433;876;529;1054;611;1240
