0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
109;221;142;287;210;428;279;573;350;722;421;868
110;221;142;287;210;428;281;573;350;722;421;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;573;350;722;420;868
111;221;142;287;210;428;281;575;350;721;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;428;281;575;350;720;420;868
109;222;142;287;210;427;281;575;350;720;420;868
109;222;142;287;210;427;280;575;349;720;420;868
109;222;141;287;210;427;280;575;351;720;420;868
109;222;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;720;420;868
109;221;143;287;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;722;420;868
109;221;142;288;210;427;280;575;351;721;419;868
109;221;142;288;209;427;280;575;351;722;421;867
109;221;142;288;211;427;280;575;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;867
109;221;142;288;211;427;280;573;350;722;421;869
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;211;428;280;573;350;722;421;868
109;221;142;287;210;428;280;573;350;721;421;868
109;221;142;287;210;428;280;573;350;722;421;869
