0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;262;531;327;661;392;791
100;205;134;271;198;402;264;531;327;661;392;791
101;205;134;271;198;402;264;531;327;661;391;791
101;205;134;271;198;402;264;531;327;661;391;791
102;205;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;402;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;264;532;327;660;391;791
100;206;134;271;198;401;263;532;326;660;391;791
100;206;133;271;198;401;263;532;328;660;391;791
100;206;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;660;391;791
100;205;135;271;198;401;263;532;328;661;391;791
100;205;135;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;791
100;205;134;273;198;401;263;532;328;661;391;790
100;205;134;273;198;401;263;532;328;661;390;790
100;205;134;273;197;401;263;532;328;661;392;790
100;205;134;273;200;401;263;531;327;661;392;790
100;205;134;273;199;401;263;531;327;661;392;790
100;205;134;271;199;401;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;200;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
100;205;134;271;198;402;263;531;327;661;392;791
