0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
1;1;1;2;1;2;1;1;2;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;3;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;2;2;4;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;2;2;4;3;6;4;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;6;4;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;17;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;2;2;4;3;6;4;9;8;17
1;2;1;2;1;2;1;2;1;3;1;4;2;5;4;9;9;17
1;1;1;2;1;2;1;2;2;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;1;1;2;1;3;1;3;3;5;4;9;9;17
1;2;1;2;1;2;1;1;1;2;2;3;3;5;13;9;8;16
1;2;1;1;1;2;1;2;1;2;2;4;3;6;4;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;6;4;9;9;17
1;2;1;2;1;1;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;2;1;2;1;2;1;3;3;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;2;1;2;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;3;2;12;2;5;4;9;9;17
1;1;1;2;1;2;1;2;1;3;1;3;3;5;5;9;8;17
1;2;1;2;1;2;1;1;2;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;3;2;4;2;5;4;9;14;17
1;2;1;2;1;2;1;2;2;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;4;34;9;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;18;17
1;1;1;2;1;2;1;2;2;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;3;2;4;2;6;4;9;9;17
1;2;1;2;1;1;1;2;1;3;2;4;2;5;4;10;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;4;9;8;17
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;2;1;2;1;1;1;2;1;3;1;3;3;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;1;3;3;5;5;9;9;17
1;2;1;2;1;2;1;2;1;2;2;4;2;6;5;9;9;17
1;2;1;2;1;1;1;2;1;3;1;3;3;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;17
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;4;9;9;17
1;2;1;2;1;1;1;2;1;3;1;3;3;5;5;9;8;17
1;2;1;2;1;2;1;2;2;2;2;4;3;6;5;9;9;17
1;2;1;2;1;1;1;2;1;3;1;4;3;6;4;9;9;17
1;1;1;2;1;2;1;2;1;2;1;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;16
1;2;1;2;1;1;1;2;1;3;1;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;3;2;4;2;5;4;9;17;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;4;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;2;6;4;9;9;17
1;2;1;2;1;1;1;2;1;2;2;3;3;5;5;9;8;17
1;2;1;2;1;1;1;2;1;3;2;3;3;5;4;9;9;17
1;2;1;2;1;2;1;2;2;2;2;3;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;3;2;3;2;5;4;9;9;17
1;1;1;2;1;2;1;2;2;2;2;3;3;5;13;9;8;17
1;2;1;2;1;1;1;2;1;3;1;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;2;6;4;9;9;17
1;1;1;2;1;2;1;1;2;2;2;3;3;6;5;31;8;17
1;2;1;1;1;2;1;2;1;3;2;4;2;6;4;9;18;17
1;2;1;1;1;2;1;2;2;2;2;4;2;6;4;9;9;17
1;2;1;2;1;1;1;2;1;3;1;3;3;5;4;9;8;17
1;1;1;2;1;2;1;2;1;2;2;4;2;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;11;1;2;1;2;1;3;3;5;5;9;8;17
1;2;1;2;1;2;1;2;2;2;2;3;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;13;9;9;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;17
1;2;1;2;1;1;1;2;1;2;2;3;5;6;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;9;8;27
1;2;1;2;1;1;1;2;1;3;2;4;3;5;4;9;9;17
1;1;1;2;1;2;1;2;2;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;4;9;9;17
1;1;1;2;1;1;1;2;1;3;1;3;3;5;4;9;9;17
1;2;1;2;1;2;1;1;1;2;2;4;3;5;4;9;8;17
1;2;1;2;1;2;1;2;2;2;2;4;3;6;5;9;8;16
1;2;1;1;1;2;1;2;1;3;2;4;2;6;4;9;9;17
1;1;1;2;1;2;1;2;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;2;5;4;9;9;16
1;1;1;2;1;2;1;2;1;3;1;3;3;5;4;9;9;17
1;1;1;2;1;2;1;2;2;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;16
1;2;1;1;1;2;1;2;1;3;2;4;3;6;4;9;8;16
1;2;1;2;10;2;1;2;1;2;1;3;3;5;5;9;8;17
1;2;1;2;1;2;1;2;2;2;2;3;3;6;5;9;8;17
1;2;1;1;1;2;1;2;1;3;2;4;2;5;4;10;9;17
1;1;1;2;1;2;1;2;1;2;1;3;3;5;4;9;9;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;9;8;16
1;2;1;1;1;2;1;2;1;2;2;4;3;6;4;9;13;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;30;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;2;1;2;1;3;1;3;3;5;4;9;19;17
1;1;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;2;1;2;1;2;2;2;2;4;3;6;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;4;9;8;17
1;2;1;2;1;1;1;1;2;3;2;4;2;5;4;10;9;17
1;1;1;2;1;2;1;1;1;2;1;3;3;5;4;9;8;17
1;2;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;2;2;2;4;3;6;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;13;9;9;17
1;1;1;2;1;2;1;2;1;2;2;3;3;5;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;5;4;9;9;17
1;2;1;2;1;1;1;2;1;3;2;4;2;5;4;10;9;17
1;2;1;2;1;2;1;1;1;2;2;3;3;5;5;9;8;17
1;2;1;2;1;2;1;2;2;2;2;4;3;6;5;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;6;4;9;8;17
1;2;1;2;1;1;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;1;1;2;1;3;1;3;3;6;5;9;9;17
1;2;1;2;1;1;1;2;1;3;2;4;2;5;4;9;9;17
1;1;1;2;1;1;1;2;1;3;1;3;3;5;5;9;8;17
1;2;1;2;1;2;1;2;2;2;2;4;3;6;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;87;9;17
1;2;1;1;1;2;1;2;1;3;2;4;2;6;5;9;8;16
1;2;1;2;1;2;1;2;1;2;2;4;2;6;4;9;8;16
1;2;1;2;1;2;1;2;1;3;2;4;2;16;5;9;8;17
1;2;1;1;1;2;1;2;1;2;2;4;3;6;5;9;8;16
