0B;8B;16B;32B;64B;128B;256B;512B;1024B
195;226;264;349;499;806;1423;2650;5105
190;225;264;349;501;806;1423;2652;5105
187;233;264;340;502;806;1424;2651;5105
187;234;263;340;494;806;1414;2652;5112
188;227;264;339;493;798;1414;2644;5105
187;225;273;339;492;807;1415;2649;5105
197;226;263;349;501;805;1424;2650;5106
188;226;263;342;501;806;1424;2651;5106
188;235;264;340;501;806;1417;2651;5113
188;227;264;340;492;799;1415;2643;5105
188;226;273;340;492;804;1415;2642;5105
197;225;264;349;499;806;1422;2651;5105
190;226;264;349;501;806;1424;2651;5105
188;234;264;339;501;805;1423;2651;5105
188;234;263;340;494;805;1415;2651;5107
188;225;271;340;492;799;1415;2642;5105
188;225;273;340;492;805;1414;2649;5105
197;226;264;349;501;806;1424;2651;5105
188;225;263;342;501;806;1424;2650;5105
187;235;264;340;501;806;1417;2651;5112
188;227;263;340;492;799;1414;2643;5105
188;226;273;340;492;806;1415;2650;5105
197;226;264;349;501;806;1424;2651;5105
187;225;264;341;501;805;1424;2651;5105
188;235;263;340;501;806;1417;2651;5113
188;227;264;340;492;798;1415;2644;5106
188;226;273;340;492;797;1415;2641;5106
187;225;266;347;492;805;1414;2649;5106
197;226;264;349;501;806;1423;2651;5105
187;226;264;341;501;805;1424;2651;5105
187;235;264;340;494;805;1415;2643;5107
187;225;271;339;492;797;1414;2642;5105
187;226;266;347;492;806;1415;2649;5105
197;226;264;349;501;806;1424;2651;5105
187;226;264;342;501;806;1424;2651;5105
188;234;264;340;494;806;1415;2650;5107
188;226;271;340;492;796;1415;2642;5105
187;225;265;347;492;807;1422;2649;5105
190;226;264;349;501;806;1424;2650;5105
187;226;264;341;501;806;1425;2651;5105
188;234;263;339;501;806;1416;2652;5113
187;227;263;340;492;799;1415;2644;5105
188;226;273;340;492;797;1415;2643;5105
188;226;266;347;492;806;1415;2649;5105
197;225;264;349;501;806;1424;2651;5106
188;226;264;342;502;806;1424;2651;5106
188;235;264;340;492;798;1415;2643;5105
188;225;273;340;492;804;1415;2642;5106
197;226;264;349;500;806;1422;2651;5106
190;226;264;349;501;806;1424;2651;5106
188;232;264;340;501;806;1424;2651;5105
188;235;263;340;494;806;1414;2651;5107
188;226;270;340;492;796;1415;2642;5105
188;226;265;347;493;805;1414;2649;5105
196;225;263;350;501;806;1424;2651;5104
188;226;263;342;501;806;1424;2651;5105
187;235;263;340;501;807;1416;2650;5112
188;227;263;339;492;798;1414;2643;5105
188;226;273;340;492;796;1416;2642;5105
188;226;264;349;499;806;1423;2651;5105
190;226;264;349;501;806;1423;2652;5105
187;233;264;340;501;805;1424;2651;5105
188;235;263;339;494;806;1414;2652;5107
188;226;271;340;492;798;1415;2641;5105
187;226;272;339;492;804;1414;2642;5106
197;225;264;349;499;805;1422;2651;5106
189;225;264;349;501;805;1424;2651;5106
187;233;264;340;501;805;1424;2651;5105
188;234;263;340;494;805;1415;2651;5107
187;226;270;340;492;797;1414;2642;5106
187;226;265;347;493;806;1415;2649;5105
197;226;263;349;501;805;1424;2650;5105
187;225;263;342;502;806;1423;2651;5105
187;235;264;340;501;806;1416;2651;5112
188;228;264;340;492;799;1415;2644;5105
188;226;272;340;492;803;1415;2642;5105
194;225;266;347;492;806;1422;2649;5105
190;226;264;349;501;806;1424;2651;5105
188;226;264;342;501;806;1424;2650;5105
187;235;264;340;501;806;1416;2651;5114
188;226;264;340;492;799;1414;2644;5105
187;226;272;340;493;803;1415;2642;5105
196;225;264;349;499;806;1422;2651;5105
190;225;264;349;501;805;1424;2651;5106
187;233;264;340;501;806;1424;2651;5105
187;235;264;340;494;806;1415;2651;5115
188;226;271;339;492;799;1415;2644;5106
187;226;273;340;492;804;1415;2642;5105
195;226;266;349;492;806;1422;2649;5106
190;226;264;349;502;806;1424;2650;5105
188;226;264;342;502;806;1423;2651;5105
187;236;264;340;501;806;1417;2651;5112
187;228;263;339;492;799;1415;2642;5105
188;225;273;340;492;804;1415;2642;5105
196;226;264;349;500;806;1422;2651;5105
190;225;264;348;501;806;1423;2650;5105
188;233;264;340;502;806;1425;2651;5105
188;234;264;340;494;806;1415;2650;5107
187;226;271;340;492;797;1415;2642;5105
187;226;273;339;492;805;1414;2650;5105
196;225;264;349;501;805;1424;2652;5105
187;225;264;342;502;805;1424;2651;5105
188;235;264;340;501;806;1414;2651;5113
188;226;264;340;492;799;1415;2643;5106
188;225;273;340;492;797;1414;2642;5105
187;225;266;347;492;805;1415;2649;5105
196;226;264;349;501;806;1424;2651;5105
188;226;263;342;501;806;1424;2651;5105
188;235;264;340;501;806;1415;2651;5115
188;226;271;340;492;797;1415;2642;5105
187;225;273;340;492;806;1415;2649;5105
197;226;264;349;501;805;1424;2651;5104
188;225;263;342;501;805;1423;2651;5105
187;235;263;340;502;806;1416;2651;5112
188;227;264;339;492;799;1414;2643;5105
187;226;273;340;492;796;1415;2642;5105
187;226;265;347;492;806;1415;2648;5105
196;225;264;349;501;806;1425;2651;5105
187;226;264;342;502;806;1424;2651;5105
188;235;263;340;494;805;1415;2652;5114
188;226;264;340;492;799;1415;2643;5105
188;226;273;340;492;806;1415;2649;5105
196;226;264;349;501;806;1424;2651;5105
188;226;264;342;502;806;1424;2651;5106
188;235;264;340;501;806;1414;2651;5115
187;225;263;339;492;799;1415;2642;5106
187;225;273;340;493;806;1415;2649;5106
196;226;264;349;501;806;1424;2651;5106
187;226;264;342;502;806;1424;2651;5105
188;235;264;340;501;806;1416;2651;5112
188;228;264;340;492;799;1415;2644;5105
187;226;273;340;492;797;1414;2641;5105
187;226;266;348;493;806;1415;2649;5105
197;225;263;349;502;806;1423;2651;5104
187;235;264;340;501;807;1416;2651;5113
187;227;264;340;493;798;1414;2644;5105
187;226;272;340;492;797;1415;2642;5105
187;225;266;347;493;806;1415;2649;5105
196;226;263;349;501;806;1424;2652;5105
187;233;263;340;501;805;1424;2652;5105
188;235;264;340;494;806;1415;2651;5107
187;226;271;340;492;797;1415;2642;5105
188;226;273;340;492;805;1414;2649;5106
196;225;264;349;501;805;1423;2651;5106
188;226;264;341;501;806;1423;2651;5106
188;235;264;340;501;806;1416;2650;5113
188;228;264;340;492;799;1415;2644;5106
188;226;273;340;493;797;1414;2642;5106
187;226;266;347;492;806;1415;2649;5105
197;225;264;349;501;806;1424;2651;5105
188;226;264;341;502;806;1424;2651;5105
188;234;264;340;501;805;1416;2651;5112
188;228;264;340;492;799;1415;2643;5105
188;226;272;340;492;797;1414;2641;5105
187;226;266;347;492;806;1422;2650;5105
189;226;264;349;501;805;1425;2650;5105
188;233;263;340;501;805;1424;2651;5105
188;234;264;340;494;805;1414;2651;5107
188;226;271;340;492;797;1414;2642;5105
188;226;266;347;492;805;1415;2650;5105
189;226;264;348;501;806;1424;2651;5105
187;226;264;341;502;806;1423;2651;5106
187;235;264;340;501;805;1415;2650;5112
188;227;263;340;492;799;1415;2643;5106
188;226;273;339;492;804;1415;2642;5105
195;226;264;349;492;806;1422;2651;5106
189;226;264;349;502;806;1423;2651;5105
188;226;264;342;501;806;1424;2651;5105
187;235;263;340;501;805;1416;2651;5112
187;227;263;340;492;799;1415;2644;5105
187;226;274;340;492;796;1415;2642;5105
187;225;265;348;492;805;1414;2649;5105
196;225;264;349;502;806;1423;2651;5105
188;226;264;339;502;807;1424;2651;5105
187;235;264;340;494;805;1414;2651;5107
187;226;271;340;492;796;1415;2641;5105
188;226;273;340;492;805;1415;2649;5105
197;225;264;349;501;806;1424;2651;5105
188;226;263;342;501;806;1424;2652;5105
188;234;263;340;502;806;1417;2652;5112
188;227;263;340;492;799;1415;2643;5105
188;225;273;340;493;796;1415;2641;5106
187;225;266;347;492;805;1414;2649;5106
190;225;264;349;501;805;1424;2650;5105
188;225;264;342;501;805;1424;2651;5105
188;235;264;339;501;806;1416;2651;5113
187;227;264;340;492;798;1415;2643;5106
187;225;273;340;492;797;1415;2642;5105
187;225;266;349;492;806;1415;2648;5105
189;225;263;349;501;805;1424;2651;5105
188;225;264;342;501;806;1424;2651;5105
188;235;264;340;502;806;1417;2651;5113
187;228;264;340;492;799;1415;2644;5105
188;225;273;340;492;797;1415;2642;5105
188;226;266;347;492;805;1416;2649;5105
196;226;263;348;502;806;1424;2651;5105
188;225;264;341;502;806;1424;2651;5105
188;235;264;340;494;806;1414;2652;5114
187;225;264;340;492;799;1414;2642;5105
187;225;273;339;492;796;1414;2642;5105
188;226;266;347;492;806;1415;2649;5106
197;226;264;349;501;805;1424;2650;5105
187;226;263;340;501;806;1423;2651;5106
188;235;264;339;501;806;1414;2651;5115
188;225;263;340;492;799;1415;2644;5105
188;226;272;339;492;796;1415;2641;5105
188;225;266;347;492;806;1415;2649;5105
197;226;264;349;501;805;1424;2651;5105
187;226;263;342;501;806;1424;2651;5105
188;225;264;340;492;798;1415;2644;5105
187;226;273;340;492;797;1415;2642;5105
187;226;265;347;492;806;1414;2649;5105
196;226;264;348;501;806;1424;2650;5105
187;225;264;342;501;805;1424;2651;5105
187;234;263;340;501;805;1416;2651;5114
188;226;264;340;493;797;1415;2642;5105
188;225;273;340;492;806;1414;2643;5105
197;225;264;349;501;806;1423;2651;5105
188;225;264;342;502;806;1424;2652;5106
188;235;264;340;501;806;1415;2651;5113
188;227;264;340;492;799;1414;2641;5106
187;226;273;339;492;797;1414;2642;5105
188;226;263;349;501;805;1424;2650;5105
188;226;263;342;501;806;1423;2651;5106
188;235;264;340;501;805;1414;2651;5113
188;228;263;340;492;799;1415;2642;5106
187;225;272;340;492;805;1415;2649;5105
198;225;264;349;501;805;1424;2651;5105
187;226;264;349;501;806;1424;2651;5105
188;233;264;340;501;805;1424;2650;5105
188;235;264;340;494;806;1415;2651;5107
187;226;271;339;492;796;1415;2642;5105
187;225;272;340;492;806;1415;2642;5105
196;226;264;349;499;806;1425;2651;5105
187;226;264;349;501;805;1424;2651;5105
187;233;263;340;501;806;1424;2651;5105
187;234;264;340;494;806;1415;2652;5114
187;225;263;340;492;797;1415;2642;5105
188;225;272;340;492;804;1415;2642;5105
196;225;264;349;499;806;1424;2651;5106
188;225;264;349;501;805;1424;2650;5105
188;232;263;340;501;806;1424;2651;5105
187;235;264;340;494;805;1415;2651;5107
187;225;271;339;492;797;1415;2641;5106
188;226;273;340;492;806;1415;2642;5105
197;226;263;349;501;806;1424;2651;5105
190;225;264;349;502;806;1423;2651;5105
187;233;264;340;501;806;1424;2651;5105
187;234;263;339;494;805;1415;2651;5107
188;226;271;340;492;797;1414;2642;5105
188;226;265;347;492;806;1415;2651;5105
196;226;264;349;502;807;1424;2651;5105
188;225;264;342;501;805;1424;2651;5105
187;235;264;339;501;806;1416;2651;5114
188;226;264;340;492;798;1415;2642;5105
188;226;272;340;492;804;1415;2643;5105
195;225;264;349;492;806;1422;2651;5105
190;225;264;349;501;805;1424;2651;5105
188;226;264;341;501;806;1423;2650;5105
188;235;264;340;501;805;1415;2650;5114
188;225;264;340;492;798;1415;2641;5106
188;226;273;340;492;797;1415;2641;5106
187;225;264;349;493;806;1414;2651;5106
196;225;263;349;502;806;1423;2651;5105
187;226;264;340;502;805;1424;2650;5105
188;235;263;340;501;805;1415;2651;5114
187;226;264;340;492;798;1415;2642;5105
188;226;274;340;492;804;1415;2642;5105
195;226;264;350;492;805;1415;2650;5105
196;226;264;349;502;806;1424;2651;5105
188;226;264;340;501;807;1424;2651;5105
188;235;263;340;494;805;1415;2651;5107
188;225;271;340;492;797;1415;2641;5105
188;226;265;349;492;806;1414;2651;5105
196;226;264;349;501;806;1424;2652;5104
188;225;264;340;501;806;1424;2651;5105
188;235;263;340;501;806;1415;2651;5114
187;226;263;340;492;798;1414;2642;5105
187;226;273;340;492;797;1414;2642;5106
188;225;265;347;492;806;1414;2650;5106
196;225;264;349;501;805;1424;2651;5106
188;226;263;340;501;806;1424;2651;5105
188;235;264;339;501;806;1415;2651;5115
187;226;271;339;493;797;1414;2642;5106
188;226;273;340;492;806;1415;2649;5105
198;226;263;348;502;806;1423;2650;5105
188;226;263;340;501;806;1424;2651;5105
188;235;263;340;501;806;1414;2651;5114
188;226;264;340;493;796;1415;2642;5105
188;226;273;339;492;804;1415;2642;5105
188;225;264;349;492;807;1422;2651;5105
190;226;264;349;502;806;1425;2651;5105
188;226;264;340;501;806;1425;2651;5105
188;235;264;340;501;806;1416;2651;5114
188;226;263;340;492;798;1414;2643;5105
187;225;273;340;492;797;1415;2642;5105
188;226;264;349;492;806;1415;2651;5105
196;226;263;349;501;805;1423;2651;5106
187;226;264;340;501;805;1424;2650;5105
188;234;264;339;501;806;1414;2651;5115
188;225;264;339;492;797;1415;2642;5106
188;226;273;340;492;803;1414;2641;5106
194;226;264;349;493;806;1414;2651;5105
196;226;263;349;501;806;1424;2650;5105
187;226;263;340;501;806;1424;2651;5105
187;235;264;340;494;806;1415;2651;5105
188;225;274;340;492;797;1415;2642;5105
188;226;273;340;492;805;1415;2641;5105
197;226;263;349;502;806;1424;2651;5105
188;225;264;349;501;806;1423;2651;5104
188;235;263;340;502;806;1417;2651;5105
188;228;264;340;492;806;1415;2651;5107
188;226;273;340;492;797;1414;2642;5105
188;226;266;347;492;805;1414;2652;5105
190;226;264;349;501;806;1424;2651;5105
188;233;264;340;501;806;1424;2651;5105
188;235;264;340;492;806;1414;2651;5105
188;226;273;340;493;797;1415;2642;5106
187;226;266;349;493;806;1415;2651;5105
196;226;264;349;501;806;1424;2651;5106
188;226;264;340;501;806;1424;2651;5106
188;235;263;339;501;806;1414;2651;5115
188;226;264;340;492;797;1415;2642;5106
187;225;273;339;492;805;1414;2652;5105
198;226;263;349;502;806;1423;2651;5105
188;226;264;340;501;806;1424;2651;5105
188;235;264;340;501;806;1415;2650;5114
188;226;264;340;492;796;1414;2641;5105
188;225;272;340;492;796;1415;2642;5105
187;225;264;349;492;807;1422;2651;5105
189;226;263;349;501;806;1425;2651;5105
188;226;263;340;501;806;1425;2651;5105
187;234;264;340;501;805;1415;2652;5114
187;225;264;340;492;796;1415;2643;5105
188;225;273;340;492;796;1415;2642;5105
187;225;264;349;492;806;1414;2652;5105
196;226;264;349;501;806;1424;2651;5106
188;225;264;339;502;806;1424;2651;5106
188;234;264;340;501;805;1415;2650;5114
187;226;264;340;492;796;1414;2642;5105
188;226;272;340;492;797;1414;2641;5106
187;226;266;349;492;805;1414;2651;5106
197;226;264;349;501;806;1424;2650;5105
188;226;263;340;501;806;1424;2650;5105
187;236;264;340;501;805;1415;2651;5114
188;225;264;340;493;797;1414;2642;5106
188;226;272;340;492;797;1414;2641;5105
187;225;265;347;492;805;1414;2651;5105
196;225;264;349;501;807;1423;2651;5105
188;233;264;340;501;806;1425;2651;5105
188;235;264;340;494;806;1415;2651;5107
187;226;270;340;492;797;1415;2642;5105
188;225;273;340;492;806;1415;2643;5105
197;226;264;349;502;806;1423;2652;5105
188;225;264;349;501;806;1424;2651;5105
188;235;264;340;501;806;1424;2651;5106
188;235;264;339;492;805;1414;2651;5106
188;225;273;340;492;797;1415;2642;5105
187;225;273;339;492;806;1415;2641;5105
197;226;264;349;502;806;1423;2651;5106
187;226;264;340;502;806;1424;2651;5106
187;235;264;339;501;805;1415;2651;5115
188;226;264;340;492;796;1414;2642;5105
188;226;273;340;493;797;1414;2641;5105
188;225;263;349;492;806;1415;2650;5105
197;226;264;350;502;806;1423;2651;5105
188;225;264;340;502;806;1424;2651;5105
188;234;264;340;501;806;1415;2651;5114
188;226;264;340;492;797;1415;2642;5105
187;226;272;340;492;797;1415;2641;5105
188;225;266;349;492;806;1414;2650;5105
197;225;264;349;501;806;1424;2652;5105
187;226;263;340;502;806;1423;2652;5105
188;235;264;340;501;805;1415;2652;5114
188;225;264;340;492;796;1414;2642;5105
187;226;273;340;492;797;1414;2642;5106
187;226;264;349;492;806;1415;2650;5106
197;226;264;349;501;805;1424;2651;5106
188;226;264;340;501;806;1424;2651;5106
188;235;264;340;501;805;1415;2651;5115
187;226;264;340;492;797;1414;2642;5105
187;225;273;340;492;796;1415;2641;5105
188;226;263;349;492;806;1414;2651;5105
196;225;263;349;501;805;1424;2651;5105
188;225;263;340;501;806;1424;2651;5105
188;234;264;340;502;806;1415;2651;5114
188;226;264;340;492;796;1415;2642;5105
187;226;272;340;492;806;1414;2651;5105
197;226;263;349;501;806;1424;2651;5105
188;226;264;340;501;806;1424;2650;5105
188;235;264;340;501;806;1415;2651;5114
188;226;264;340;492;796;1415;2643;5105
188;226;272;340;492;805;1415;2651;5105
197;226;263;349;501;806;1424;2651;5105
188;225;264;340;501;806;1424;2651;5106
188;235;264;340;501;806;1415;2651;5114
188;226;264;340;492;797;1415;2642;5105
188;226;272;340;492;797;1415;2641;5106
188;226;264;348;492;805;1414;2651;5105
197;226;264;349;501;805;1423;2651;5106
187;226;264;340;501;805;1424;2650;5105
188;235;264;340;501;806;1424;2651;5104
188;235;263;339;492;805;1415;2651;5105
188;226;274;340;492;796;1415;2642;5105
187;226;264;349;493;806;1415;2651;5105
197;225;264;349;501;806;1423;2651;5105
187;225;263;340;501;806;1423;2651;5105
187;235;264;340;492;806;1415;2651;5107
188;226;273;340;492;797;1416;2642;5105
188;226;272;340;492;805;1414;2651;5105
196;226;263;349;501;806;1424;2652;5105
187;226;264;340;501;806;1424;2651;5105
188;235;264;340;501;806;1414;2651;5114
187;226;264;340;492;796;1414;2642;5105
187;226;273;340;492;806;1415;2642;5106
197;226;264;349;492;805;1424;2651;5105
189;226;263;349;501;806;1424;2651;5106
187;225;263;339;501;805;1423;2651;5106
187;235;264;340;492;806;1414;2651;5106
188;225;273;340;492;797;1414;2642;5106
188;225;265;347;492;805;1415;2651;5105
198;226;263;349;502;806;1423;2651;5105
188;226;264;340;501;806;1424;2651;5105
187;235;264;340;501;806;1415;2651;5114
187;226;264;340;492;796;1414;2641;5105
187;226;272;340;492;796;1414;2642;5105
187;226;265;349;492;807;1423;2651;5104
190;226;264;349;501;806;1424;2650;5105
187;233;264;340;501;805;1425;2651;5105
187;235;264;339;492;806;1415;2651;5105
188;226;272;340;492;797;1415;2642;5105
188;226;272;340;492;806;1415;2651;5105
196;226;263;349;501;806;1423;2652;5105
188;225;264;340;501;805;1424;2651;5106
188;235;264;339;502;806;1415;2651;5115
188;226;263;340;492;796;1415;2642;5106
187;226;273;339;492;796;1415;2642;5106
188;226;266;349;492;805;1415;2651;5106
197;226;264;349;501;806;1424;2651;5105
188;226;263;340;501;806;1424;2651;5105
187;235;264;340;501;805;1414;2651;5114
188;225;264;340;492;797;1415;2642;5105
188;225;274;340;492;805;1414;2651;5105
197;226;264;349;501;806;1424;2651;5105
187;226;264;340;502;806;1423;2651;5105
188;234;264;339;502;807;1415;2651;5114
188;225;264;340;492;797;1415;2642;5105
187;226;272;340;492;797;1416;2642;5105
188;225;266;349;492;805;1414;2651;5105
197;226;264;349;502;806;1423;2652;5105
187;226;264;340;501;805;1423;2652;5105
187;235;263;339;492;806;1414;2652;5106
187;226;273;340;492;797;1414;2642;5105
188;225;273;340;493;806;1414;2651;5106
197;226;264;349;501;805;1423;2651;5106
187;226;264;340;502;806;1423;2651;5106
187;235;264;340;501;805;1414;2651;5115
188;226;264;340;493;796;1415;2641;5106
188;226;273;340;492;806;1414;2642;5105
197;226;264;349;492;806;1415;2651;5105
197;225;264;349;501;805;1424;2650;5105
188;225;264;340;501;805;1424;2650;5105
188;235;263;340;501;806;1415;2651;5115
188;226;264;339;492;797;1415;2641;5105
188;226;273;340;492;797;1414;2642;5105
187;226;264;349;492;806;1423;2651;5105
187;226;264;349;502;806;1425;2651;5105
187;226;264;340;501;805;1424;2651;5105
187;235;264;340;501;806;1414;2652;5114
188;226;264;340;492;797;1415;2643;5105
188;226;272;340;492;806;1415;2651;5105
197;225;264;349;501;805;1423;2652;5105
188;235;264;340;501;805;1415;2651;5106
188;235;264;340;492;806;1415;2651;5105
187;226;273;340;493;796;1415;2642;5106
187;225;272;340;492;806;1414;2651;5105
197;226;264;349;501;806;1424;2650;5105
188;235;263;339;502;805;1415;2651;5106
188;228;264;340;492;796;1415;2642;5106
187;226;273;339;492;796;1415;2642;5105
187;225;264;349;492;805;1414;2651;5105
197;226;264;349;501;805;1423;2651;5106
187;226;264;340;501;805;1423;2651;5105
188;235;264;339;502;806;1414;2651;5114
188;226;264;339;492;797;1415;2642;5105
188;226;273;340;492;806;1414;2641;5105
196;226;264;349;501;806;1424;2651;5105
187;225;264;340;501;805;1425;2651;5105
188;234;263;340;501;806;1415;2652;5114
188;226;263;340;492;797;1414;2642;5105
187;225;273;340;492;804;1414;2642;5105
187;225;264;349;492;805;1415;2651;5105
196;226;264;348;502;805;1423;2651;5106
188;225;264;340;501;805;1423;2651;5106
188;234;263;340;501;806;1415;2651;5115
188;225;263;340;492;796;1415;2642;5105
187;225;273;339;492;796;1415;2641;5105
187;226;264;349;493;806;1415;2650;5106
196;226;264;348;501;806;1423;2651;5105
188;225;264;340;501;806;1424;2651;5105
187;236;264;340;502;806;1415;2651;5114
187;225;264;340;492;797;1415;2642;5105
188;225;273;340;492;797;1415;2642;5105
187;226;264;349;492;805;1414;2651;5105
197;225;264;349;501;806;1424;2651;5105
188;225;264;340;501;805;1425;2651;5105
188;235;264;340;502;806;1416;2651;5114
188;226;264;340;492;796;1415;2642;5105
187;226;273;340;492;806;1415;2651;5105
197;226;264;349;501;806;1424;2651;5105
188;226;264;340;501;806;1424;2652;5105
187;234;264;340;501;806;1415;2651;5115
