0B;8B;16B;32B;64B;128B;256B;512B;1024B
191;229;277;346;497;804;1421;2654;5122
193;229;267;353;499;812;1431;2661;5123
191;232;267;351;506;811;1429;2661;5124
191;236;269;344;504;809;1423;2660;5122
193;229;274;346;497;804;1424;2654;5122
199;229;267;353;499;811;1430;2662;5122
191;232;267;351;505;811;1429;2662;5124
191;236;270;343;503;809;1422;2660;5129
191;229;276;345;497;804;1422;2654;5122
193;229;267;353;499;811;1430;2662;5123
191;232;268;344;503;811;1429;2661;5123
192;237;269;343;496;811;1421;2652;5123
193;229;275;346;499;804;1424;2654;5123
199;229;267;351;506;811;1431;2661;5123
191;231;267;351;506;811;1429;2661;5123
192;236;269;344;504;809;1421;2660;5123
191;230;275;346;497;804;1423;2654;5122
199;229;268;353;498;811;1431;2662;5123
191;231;267;351;506;811;1429;2662;5124
191;236;267;344;504;809;1422;2660;5130
191;229;276;345;496;804;1422;2654;5122
193;229;268;353;498;811;1431;2662;5123
192;231;267;351;505;812;1429;2661;5124
192;236;267;344;504;809;1422;2659;5130
191;229;270;344;496;804;1422;2652;5123
193;230;267;353;498;811;1431;2661;5122
191;231;268;351;506;811;1429;2662;5124
192;237;270;343;504;809;1422;2660;5130
191;229;277;346;497;804;1424;2655;5122
198;230;267;353;505;811;1430;2663;5122
191;232;267;351;506;811;1429;2661;5125
191;237;270;344;504;809;1421;2659;5130
191;229;274;345;496;804;1422;2655;5123
191;230;268;353;498;811;1431;2662;5123
191;232;267;351;506;811;1429;2661;5125
191;236;267;344;504;809;1421;2660;5130
192;229;270;344;496;804;1421;2654;5123
193;229;268;353;499;811;1431;2662;5122
191;232;268;351;505;811;1429;2662;5124
192;238;267;344;504;809;1421;2660;5130
191;229;269;344;496;804;1421;2652;5122
193;229;275;346;498;811;1424;2661;5122
199;231;268;351;506;811;1429;2662;5124
192;237;267;344;504;810;1422;2659;5130
191;230;269;343;497;804;1421;2652;5122
194;229;267;353;498;811;1431;2661;5122
191;231;268;351;506;811;1430;2662;5124
192;237;270;344;503;809;1422;2661;5130
191;229;274;346;496;804;1422;2655;5122
191;230;267;353;498;811;1431;2662;5122
191;231;268;351;505;810;1428;2662;5124
191;236;267;344;503;809;1422;2659;5130
191;229;274;345;496;804;1421;2654;5123
191;229;268;353;499;811;1431;2661;5123
191;231;267;351;506;811;1429;2661;5123
192;237;269;344;504;809;1422;2659;5131
192;229;274;345;496;804;1424;2654;5123
198;229;268;353;498;811;1431;2661;5123
191;232;268;351;505;811;1429;2661;5124
191;237;270;343;504;809;1421;2659;5130
191;229;276;346;496;804;1422;2654;5122
194;230;268;353;499;811;1431;2662;5122
191;231;267;352;506;811;1429;2661;5124
192;236;269;344;504;809;1421;2659;5130
191;230;274;345;497;804;1423;2654;5123
198;230;267;353;499;812;1431;2661;5122
191;231;267;351;505;811;1430;2661;5124
191;236;269;344;504;809;1423;2659;5130
191;229;275;346;496;804;1421;2654;5122
191;229;268;353;499;811;1430;2662;5122
191;231;267;351;505;811;1429;2662;5124
192;237;270;344;504;809;1422;2660;5129
191;229;269;346;496;804;1422;2654;5122
193;230;268;353;498;811;1431;2661;5123
191;231;268;351;506;811;1428;2661;5125
191;237;269;344;504;809;1421;2660;5130
192;229;270;344;496;804;1421;2654;5123
193;229;268;353;499;811;1431;2662;5123
191;231;267;351;505;811;1429;2661;5125
191;237;270;344;503;809;1422;2659;5131
191;230;274;346;497;804;1423;2654;5123
200;229;267;353;499;811;1431;2661;5122
191;231;267;351;505;811;1429;2661;5125
191;237;269;344;503;809;1422;2659;5130
191;230;275;346;497;803;1421;2654;5122
192;229;267;353;498;811;1431;2662;5122
191;231;268;351;506;812;1429;2661;5124
191;237;269;344;504;809;1421;2660;5129
191;229;270;346;496;803;1422;2655;5123
193;229;268;353;499;811;1432;2661;5122
191;231;268;351;506;811;1428;2662;5124
192;236;269;344;504;809;1422;2660;5130
191;229;270;346;496;804;1421;2655;5122
191;229;267;353;499;811;1431;2662;5123
191;232;268;344;504;811;1429;2659;5123
191;236;269;344;497;811;1422;2652;5123
193;229;267;354;499;811;1431;2661;5123
191;232;268;351;505;811;1429;2661;5125
191;236;269;344;504;809;1422;2659;5130
191;229;275;345;499;811;1424;2661;5123
199;232;267;351;505;811;1429;2661;5125
192;237;267;344;504;809;1421;2659;5130
191;229;269;344;497;804;1422;2654;5122
193;230;275;345;499;811;1423;2661;5122
199;231;267;351;505;811;1429;2661;5124
191;236;267;343;504;809;1429;2659;5129
192;229;270;344;496;804;1421;2654;5123
193;229;275;346;498;811;1424;2661;5122
199;231;268;351;506;812;1429;2662;5124
191;236;267;344;504;809;1429;2660;5130
191;229;269;344;496;804;1423;2654;5122
193;229;275;346;498;811;1424;2661;5122
198;231;268;351;505;811;1429;2662;5124
191;237;268;343;504;810;1422;2660;5129
191;229;269;344;497;804;1422;2655;5122
193;229;267;353;498;811;1431;2662;5123
191;231;267;351;506;811;1429;2662;5124
192;236;269;344;504;809;1422;2659;5130
191;230;275;346;497;803;1423;2654;5123
191;229;268;353;498;811;1431;2661;5123
191;232;267;351;506;811;1429;2662;5123
191;236;269;344;504;809;1421;2660;5130
191;229;267;346;496;803;1422;2654;5123
191;229;268;353;498;810;1431;2662;5122
191;231;267;351;506;811;1429;2661;5123
191;237;269;344;504;809;1421;2660;5129
192;229;275;345;496;803;1422;2654;5123
191;229;267;354;499;811;1431;2661;5122
191;232;267;351;507;811;1429;2661;5122
191;237;270;344;504;810;1422;2659;5130
191;229;274;345;496;803;1421;2654;5122
191;229;267;353;499;811;1432;2661;5122
191;231;268;351;506;811;1430;2661;5122
192;237;270;344;504;809;1422;2660;5130
192;230;275;346;497;804;1423;2655;5122
199;229;267;351;499;811;1431;2663;5123
192;231;268;351;506;811;1429;2662;5122
191;237;269;344;503;809;1422;2659;5130
193;230;275;346;496;803;1424;2654;5124
198;229;268;351;498;811;1431;2661;5123
191;232;267;351;506;811;1428;2661;5123
192;237;269;344;504;809;1421;2660;5130
191;230;275;346;497;804;1424;2654;5123
191;230;267;353;499;811;1430;2661;5123
191;231;268;351;506;811;1429;2661;5124
191;236;269;344;503;809;1422;2659;5129
191;229;270;346;497;803;1421;2654;5122
191;229;267;353;498;811;1431;2661;5122
191;232;267;352;505;811;1429;2661;5122
191;237;269;344;504;809;1421;2660;5129
193;229;275;346;497;804;1423;2654;5123
191;230;267;353;499;812;1431;2661;5122
191;232;267;351;505;811;1430;2662;5125
191;236;269;344;504;809;1422;2659;5129
191;230;267;346;497;803;1422;2654;5123
193;229;267;353;499;811;1431;2662;5122
191;231;267;351;505;811;1429;2662;5122
191;237;270;344;504;809;1422;2660;5129
191;229;274;345;496;804;1424;2654;5122
192;229;268;353;499;811;1431;2662;5123
191;231;267;351;506;811;1429;2662;5125
192;236;269;344;504;809;1422;2659;5131
191;229;275;346;497;804;1425;2654;5123
191;229;268;353;498;811;1431;2661;5123
191;231;267;351;506;811;1429;2661;5125
191;236;270;344;504;809;1421;2659;5131
192;229;270;346;497;803;1421;2654;5122
193;230;275;346;499;811;1423;2661;5123
198;231;267;351;505;811;1429;2661;5124
191;236;270;344;503;809;1422;2659;5129
191;230;267;346;496;804;1424;2655;5122
191;230;267;354;499;811;1431;2661;5122
192;231;268;351;506;812;1429;2661;5122
191;236;269;344;504;809;1421;2659;5130
191;229;275;346;497;804;1424;2654;5122
191;229;267;353;498;811;1431;2661;5122
191;231;267;351;505;811;1429;2662;5122
191;236;269;344;504;809;1422;2660;5129
191;229;274;346;496;804;1423;2655;5123
191;229;268;351;498;811;1431;2662;5122
191;231;268;351;504;811;1429;2662;5123
191;236;269;344;504;811;1422;2659;5123
193;230;275;346;499;803;1424;2654;5123
198;229;267;351;506;811;1431;2661;5123
191;231;267;351;504;811;1429;2659;5123
191;236;270;344;504;809;1421;2660;5123
193;230;275;346;499;804;1424;2654;5123
198;229;267;351;499;811;1430;2661;5122
192;231;268;351;504;810;1428;2661;5122
191;237;270;344;504;809;1421;2659;5129
193;230;276;346;497;803;1423;2655;5122
191;229;267;354;498;811;1431;2661;5122
191;231;267;351;505;811;1429;2661;5123
191;237;269;344;504;810;1422;2659;5129
193;230;275;346;500;804;1424;2654;5122
199;230;268;351;506;811;1432;2661;5122
191;232;267;351;503;811;1430;2661;5122
192;236;269;344;504;809;1421;2660;5130
193;229;274;346;496;804;1424;2655;5122
198;230;268;351;505;811;1431;2662;5122
191;231;267;351;504;811;1429;2663;5123
191;236;270;344;504;809;1421;2660;5131
193;230;275;346;498;803;1424;2654;5124
198;229;268;351;505;811;1431;2661;5123
191;232;267;351;503;811;1429;2661;5123
191;237;269;344;504;809;1422;2659;5130
193;230;275;346;498;811;1423;2662;5123
199;231;268;351;506;811;1429;2662;5125
191;236;269;344;504;809;1429;2660;5130
191;229;269;346;497;804;1422;2654;5123
194;230;275;345;499;811;1423;2662;5122
198;231;268;351;506;811;1429;2661;5124
191;237;269;343;503;809;1429;2659;5130
191;229;269;345;496;804;1424;2655;5122
192;229;267;353;499;811;1431;2662;5123
191;232;267;351;505;811;1429;2661;5123
191;236;269;344;504;809;1422;2659;5129
191;229;268;346;496;804;1424;2654;5122
191;229;268;353;499;811;1432;2661;5122
191;231;267;351;504;811;1429;2662;5122
192;237;269;344;504;809;1421;2660;5129
193;229;267;346;497;804;1424;2655;5122
191;229;268;351;498;811;1430;2662;5122
191;231;268;351;504;811;1429;2661;5124
191;236;269;344;503;809;1422;2659;5130
193;229;275;346;496;804;1423;2654;5123
191;229;267;353;498;811;1431;2661;5123
192;231;267;351;497;811;1423;2654;5123
199;231;267;351;505;812;1428;2661;5125
191;230;268;344;503;809;1429;2659;5123
191;237;269;345;497;804;1421;2654;5123
191;230;275;346;498;811;1424;2661;5122
199;231;267;351;505;811;1429;2661;5124
191;237;270;344;504;809;1421;2659;5130
191;230;270;345;497;804;1422;2654;5122
191;229;268;354;498;811;1431;2661;5123
191;232;267;351;504;811;1429;2661;5122
191;237;269;344;503;810;1422;2659;5122
193;229;275;346;499;804;1424;2654;5122
199;229;268;351;499;811;1432;2661;5122
191;231;267;351;504;811;1430;2661;5123
191;236;270;344;504;809;1422;2661;5130
193;229;274;345;499;804;1423;2655;5123
198;230;267;351;498;811;1431;2662;5123
191;231;268;351;504;811;1429;2662;5122
191;237;270;344;503;810;1422;2659;5122
193;230;275;346;499;803;1424;2654;5123
198;229;267;351;498;811;1431;2661;5123
191;231;267;352;506;811;1429;2661;5123
192;236;269;344;504;809;1422;2659;5131
193;229;275;346;497;804;1424;2655;5123
191;229;267;353;498;811;1431;2662;5123
191;232;268;351;504;811;1429;2661;5122
191;237;270;343;504;809;1422;2660;5130
191;230;267;345;496;804;1423;2654;5122
191;229;276;345;499;811;1423;2661;5122
198;232;268;352;505;811;1429;2661;5125
192;236;269;344;505;809;1422;2659;5129
191;230;267;346;497;804;1424;2654;5123
191;229;268;351;499;812;1431;2662;5122
191;231;267;351;504;811;1430;2661;5123
191;237;270;344;504;809;1423;2659;5129
193;230;274;345;499;804;1423;2655;5122
191;229;268;351;499;811;1431;2662;5122
191;232;268;351;504;811;1429;2662;5122
191;237;270;343;504;809;1422;2660;5129
191;229;268;346;496;804;1424;2654;5122
191;229;268;351;498;811;1431;2661;5124
191;231;268;351;504;811;1429;2660;5123
191;237;269;344;504;811;1422;2659;5123
193;229;275;346;499;804;1424;2654;5123
198;229;267;351;498;811;1431;2661;5123
191;232;267;351;503;811;1428;2661;5123
191;237;270;344;504;809;1421;2659;5130
193;230;275;346;497;804;1423;2654;5122
199;230;268;351;499;811;1431;2662;5123
192;231;268;351;504;811;1429;2662;5122
191;237;270;344;503;809;1421;2659;5130
191;229;267;345;496;804;1424;2654;5122
191;230;267;351;498;811;1431;2661;5123
192;232;268;351;504;812;1429;2662;5123
191;237;269;344;504;809;1422;2659;5130
193;229;274;346;498;804;1424;2654;5122
191;229;268;351;498;810;1431;2661;5123
191;231;267;352;504;811;1429;2662;5122
192;237;269;344;504;809;1422;2660;5130
194;229;268;346;496;804;1423;2655;5122
191;229;268;351;498;811;1431;2662;5122
191;232;267;351;504;811;1429;2661;5123
192;236;269;344;503;809;1421;2659;5131
193;229;274;345;499;804;1424;2654;5123
198;230;267;351;506;811;1431;2662;5123
191;232;267;351;504;811;1429;2660;5123
191;237;269;344;504;809;1422;2659;5130
193;230;268;346;496;804;1423;2654;5123
192;229;267;351;498;811;1431;2661;5122
192;231;267;351;504;811;1429;2661;5123
191;238;270;343;504;810;1422;2660;5129
193;229;276;346;498;804;1424;2654;5123
199;230;268;352;498;811;1431;2661;5122
191;231;268;351;505;811;1429;2662;5123
191;236;269;344;504;810;1422;2659;5130
193;229;267;346;496;804;1422;2654;5122
191;230;275;346;498;811;1425;2654;5122
198;231;268;351;505;811;1429;2661;5124
191;229;268;344;504;809;1429;2660;5122
191;236;270;344;497;811;1422;2660;5123
193;230;275;345;499;804;1423;2655;5122
198;230;267;351;506;810;1431;2663;5122
191;232;268;351;504;811;1429;2660;5124
191;236;269;344;497;811;1421;2654;5123
193;230;274;346;499;811;1423;2661;5123
198;231;268;351;506;811;1429;2661;5123
192;237;269;344;504;809;1429;2659;5130
191;229;268;346;497;804;1423;2654;5123
191;229;275;346;499;811;1424;2661;5123
199;231;268;351;506;811;1429;2661;5122
192;237;270;344;504;809;1422;2660;5129
191;229;267;345;497;804;1424;2654;5123
191;229;276;346;498;811;1423;2661;5122
199;231;268;352;504;811;1429;2661;5122
191;237;270;343;505;809;1422;2660;5129
193;229;274;346;498;804;1423;2654;5123
191;230;268;351;499;812;1431;2662;5123
192;231;268;351;503;811;1430;2662;5122
192;237;269;344;504;809;1423;2659;5130
193;229;274;346;498;804;1424;2655;5122
192;229;268;351;498;811;1431;2662;5123
191;231;268;351;504;811;1429;2660;5122
191;237;270;344;504;811;1422;2660;5130
193;229;275;346;498;804;1423;2654;5122
191;229;267;351;498;811;1431;2661;5123
191;232;268;351;504;811;1429;2662;5124
191;236;269;343;504;811;1421;2659;5131
193;229;274;345;499;804;1423;2654;5123
198;231;268;351;506;811;1431;2661;5123
191;230;267;351;504;811;1429;2660;5123
191;236;269;344;503;811;1421;2659;5130
193;230;275;346;498;804;1423;2654;5122
191;230;268;351;498;811;1431;2661;5122
191;232;268;351;504;811;1429;2659;5123
191;236;270;344;504;811;1422;2659;5130
193;229;275;346;498;803;1424;2654;5122
192;229;268;351;498;811;1431;2661;5122
191;232;267;351;503;812;1429;2661;5122
191;237;270;344;504;811;1422;2659;5122
193;229;274;345;498;803;1425;2654;5122
198;231;268;351;505;811;1432;2661;5124
191;230;268;351;504;811;1429;2660;5122
191;237;270;344;503;811;1421;2660;5130
193;229;274;345;498;803;1424;2655;5123
199;231;268;351;498;811;1431;2662;5123
192;231;267;351;504;811;1429;2660;5123
191;237;269;344;504;811;1422;2659;5131
193;230;275;346;499;803;1423;2654;5123
191;229;268;351;499;811;1431;2661;5123
191;231;267;351;503;811;1428;2659;5123
191;237;270;344;504;811;1422;2660;5130
193;229;275;346;498;804;1424;2654;5123
199;231;268;351;506;811;1431;2662;5124
191;229;267;351;504;811;1429;2660;5123
191;237;269;344;503;809;1422;2659;5129
194;229;276;346;498;804;1424;2654;5122
191;229;267;352;499;811;1431;2661;5123
191;231;268;351;505;811;1429;2660;5122
192;236;269;344;504;812;1422;2659;5130
193;230;275;346;498;804;1424;2654;5122
198;231;267;351;498;811;1431;2661;5123
191;232;268;351;504;811;1430;2660;5123
191;236;269;344;504;811;1422;2660;5129
193;230;275;346;499;804;1423;2655;5122
198;231;268;351;506;811;1431;2662;5124
191;230;268;351;504;811;1429;2660;5122
191;236;269;344;504;811;1421;2660;5131
193;229;275;345;498;804;1424;2654;5123
191;229;268;351;498;811;1431;2661;5123
191;232;268;351;504;810;1428;2659;5123
191;237;270;344;504;810;1422;2660;5130
193;229;275;346;498;804;1424;2654;5123
191;230;268;351;499;811;1431;2661;5123
191;231;268;351;504;811;1429;2661;5122
191;236;270;344;504;809;1421;2659;5129
193;230;267;346;497;804;1424;2654;5123
191;229;268;351;499;811;1431;2662;5123
191;232;268;352;503;811;1429;2661;5123
191;237;269;344;505;811;1422;2659;5130
194;230;267;345;498;804;1424;2654;5122
191;230;268;351;498;812;1431;2661;5122
191;231;268;351;503;811;1430;2662;5122
192;237;270;344;504;809;1423;2659;5130
193;229;268;346;498;804;1424;2655;5122
191;230;268;351;499;811;1431;2662;5122
191;231;267;351;503;811;1429;2661;5122
191;237;270;343;504;811;1421;2660;5130
193;229;267;345;499;804;1424;2654;5122
191;229;268;351;498;811;1431;2662;5123
191;229;267;351;503;811;1429;2659;5123
191;237;269;344;503;811;1422;2659;5130
194;229;274;345;498;804;1424;2654;5123
198;231;268;351;498;811;1431;2661;5123
191;231;267;351;504;811;1429;2661;5123
192;237;269;344;504;809;1421;2659;5131
193;229;267;346;499;804;1423;2654;5122
191;229;274;346;498;811;1424;2661;5122
198;232;267;351;504;811;1428;2661;5123
191;236;270;344;504;810;1421;2659;5130
193;230;267;346;498;803;1424;2655;5122
191;229;275;345;499;811;1424;2661;5122
199;231;268;351;504;812;1429;2662;5122
191;236;269;344;503;809;1429;2659;5130
194;230;267;346;498;804;1424;2654;5122
191;230;268;351;498;811;1431;2662;5125
191;230;268;351;504;811;1429;2660;5122
191;236;269;344;503;811;1422;2660;5129
193;229;275;346;498;803;1423;2655;5122
191;229;268;351;498;811;1430;2663;5124
191;229;267;351;503;811;1429;2659;5124
191;236;270;343;503;811;1421;2659;5131
193;229;274;346;498;803;1423;2654;5123
192;229;267;351;499;811;1431;2661;5125
191;230;268;351;503;809;1429;2659;5123
191;237;270;343;504;811;1421;2659;5130
193;229;275;346;499;804;1423;2654;5123
199;231;267;351;506;811;1429;2661;5124
192;229;267;351;504;809;1429;2660;5122
192;237;269;344;504;811;1421;2659;5123
193;230;276;346;499;803;1424;2654;5122
198;232;268;352;498;811;1431;2661;5124
192;229;268;351;504;811;1429;2659;5122
192;236;269;344;503;812;1421;2660;5130
193;229;274;345;498;804;1424;2654;5123
191;230;268;351;499;811;1432;2662;5124
191;229;268;351;504;811;1430;2660;5122
191;237;270;344;504;811;1421;2660;5130
193;230;268;346;499;803;1423;2655;5123
191;230;268;351;499;811;1431;2662;5124
191;229;268;351;504;811;1429;2660;5123
191;236;270;344;503;811;1422;2659;5130
193;229;275;346;498;804;1423;2654;5123
198;231;267;351;506;811;1429;2661;5125
191;229;267;351;503;809;1428;2659;5123
191;237;270;344;504;811;1422;2660;5131
194;229;274;346;498;804;1424;2654;5123
191;229;267;351;498;811;1431;2661;5125
191;229;267;351;504;812;1428;2659;5122
191;237;269;344;503;811;1422;2660;5129
193;229;275;346;498;804;1423;2654;5122
191;229;267;351;499;811;1431;2661;5124
191;229;267;351;503;811;1429;2659;5122
191;237;269;344;504;811;1422;2659;5130
193;230;268;346;498;804;1424;2654;5123
191;229;268;351;499;812;1431;2661;5124
191;229;267;351;503;811;1429;2659;5122
