0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
42;84;42;86;42;87
41;84;43;86;42;87
41;84;42;86;43;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;84;42;86;42;87
41;85;42;86;42;87
41;84;42;87;42;87
41;84;42;86;42;88
41;84;42;86;42;87
41;85;42;86;42;87
