0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
34;71;35;72;36;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
35;72;35;72;35;72
34;71;35;73;35;72
34;71;35;72;35;73
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
34;71;35;72;35;72
35;71;35;72;35;72
35;71;35;72;35;72
34;71;36;72;35;72
