0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;49;22;48;22;48
22;47;22;49;22;48
22;47;22;48;22;50
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
21;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
22;47;22;48;22;48
